System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
15:08:05:337, 531263362068847,    0.101,   10.000, 4100,  23.972,   2.426,   0.674,  22.317,   2.259,   0.627, 66,  0,   0.866,   0.088,   0.024,   0.114,   0.012,   0.003,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:08:05:447, 531263645702744,    0.211,    8.000, 4400,  20.379,   4.656,   1.293,  19.253,   4.365,   1.213, 85,  0,   0.672,   0.161,   0.045,   0.000,   0.012,   0.003,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:08:05:556, 531263929158640,    0.320,    8.000, 4300,  27.748,   7.691,   2.136,  26.475,   7.261,   2.017, 91,  0,   0.748,   0.243,   0.067,   0.056,   0.018,   0.005,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:08:05:666, 531264212655418,    0.429,    8.000, 4400,  27.018,  10.646,   2.957,  25.580,  10.058,   2.794, 88,  0,   0.749,   0.325,   0.090,   0.000,   0.018,   0.005,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:08:05:775, 531264496391778,    0.539,   12.000, 4400,  28.062,  13.717,   3.810,  26.808,  12.993,   3.609, 90,  0,   0.754,   0.407,   0.113,   0.058,   0.024,   0.007,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:08:05:884, 531264779794482,    0.648,    8.000, 4300,  25.567,  16.513,   4.587,  24.343,  15.654,   4.348, 92,  0,   0.665,   0.480,   0.133,   0.000,   0.024,   0.007,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:08:05:994, 531265063562078,    0.758,    8.000, 4100,  25.159,  19.267,   5.352,  23.836,  18.264,   5.073, 92,  0,   0.704,   0.557,   0.155,   0.000,   0.024,   0.007,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:08:06:103, 531265346505728,    0.867,   25.000, 4100,  33.719,  22.948,   6.374,  32.393,  21.800,   6.056, 76,  0,   0.686,   0.632,   0.176,   0.060,   0.031,   0.008,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:08:06:212, 531265630099825,    0.976,   28.000, 3700,  34.065,  26.675,   7.410,  32.605,  25.367,   7.046, 68,  0,   0.586,   0.696,   0.193,   0.000,   0.031,   0.008,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:08:06:322, 531265913459170,    1.086,   28.000, 4000,  33.427,  30.329,   8.425,  32.325,  28.901,   8.028, 76,  0,   0.583,   0.760,   0.211,   0.000,   0.031,   0.008,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:08:06:431, 531266197156874,    1.195,   28.000, 4000,  33.962,  34.046,   9.457,  32.816,  32.493,   9.026, 71,  0,   0.578,   0.823,   0.229,   0.000,   0.031,   0.008,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:08:06:541, 531266480527915,    1.304,   28.000, 3600,  34.021,  37.766,  10.490,  32.581,  36.055,  10.015, 71,  0,   0.583,   0.887,   0.246,   0.000,   0.031,   0.008,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:08:06:650, 531266763926421,    1.414,   28.000, 3600,  33.143,  41.389,  11.497,  31.903,  39.543,  10.984, 69,  0,   0.640,   0.957,   0.266,   0.055,   0.036,   0.010,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:08:06:759, 531267053706290,    1.525,   34.000, 4000,  35.133,  45.317,  12.588,  33.851,  43.327,  12.035, 71,  0,   0.637,   1.028,   0.286,   0.040,   0.041,   0.011,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:08:06:869, 531267331181528,    1.632,   28.000, 3600,  33.915,  48.948,  13.597,  32.612,  46.818,  13.005, 72,  0,   0.629,   1.096,   0.304,   0.011,   0.042,   0.012,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:08:06:978, 531267614392463,    1.742,   28.000, 3600,  33.497,  52.608,  14.613,  32.415,  50.360,  13.989, 70,  0,   0.587,   1.160,   0.322,   0.000,   0.042,   0.012,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:08:07:087, 531267897896151,    1.851,   28.000, 3600,  33.882,  56.314,  15.643,  32.412,  53.905,  14.974, 74,  0,   0.586,   1.224,   0.340,   0.000,   0.042,   0.012,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:08:07:197, 531268181528516,    1.961,   28.000, 3600,  34.270,  60.064,  16.684,  33.111,  57.529,  15.980, 72,  0,   0.641,   1.294,   0.359,   0.060,   0.049,   0.014,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:08:07:306, 531268465011799,    2.070,   28.000, 3600,  34.349,  63.820,  17.728,  33.167,  61.156,  16.988, 73,  0,   0.598,   1.359,   0.378,   0.000,   0.049,   0.014,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:08:07:416, 531268748408995,    2.179,   28.000, 3600,  33.791,  67.515,  18.754,  32.327,  64.690,  17.970, 69,  0,   0.584,   1.423,   0.395,   0.000,   0.049,   0.014,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:08:07:525, 531269031900962,    2.289,   28.000, 3600,  34.088,  71.243,  19.790,  32.991,  68.299,  18.972, 73,  0,   0.575,   1.486,   0.413,   0.000,   0.049,   0.014,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:08:07:634, 531269315484763,    2.398,   28.000, 3600,  34.458,  75.013,  20.837,  33.307,  71.943,  19.984, 70,  0,   0.581,   1.550,   0.430,   0.000,   0.049,   0.014,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:08:07:759, 531269644136696,    2.525,   34.000, 4000,  35.399,  79.501,  22.084,  34.064,  76.262,  21.184, 73,  0,   0.685,   1.637,   0.455,   0.078,   0.059,   0.016,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:08:07:853, 531269882656098,    2.617,   21.000, 4000,  28.395,  82.114,  22.810,  26.806,  78.729,  21.869, 71,  0,   1.031,   1.731,   0.481,   0.013,   0.060,   0.017,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:08:07:900, 531270039637446,    2.677,   10.000, 4000,  18.864,  83.257,  23.127,  17.285,  79.775,  22.160, 73,  0,   1.277,   1.809,   0.502,   0.000,   0.060,   0.017,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000

Total Elapsed Time (sec) = 2.677420
Measured RDTSC Frequency (GHz) = 2.592

Cumulative Processor Energy_0 (Joules) = 83.256836
Cumulative Processor Energy_0 (mWh) = 23.126899
Average Processor Power_0 (Watt) = 31.095914

Cumulative IA Energy_0 (Joules) = 79.775391
Cumulative IA Energy_0 (mWh) = 22.159831
Average IA Power_0 (Watt) = 29.795616

Cumulative DRAM Energy_0 (Joules) = 1.808777
Cumulative DRAM Energy_0 (mWh) = 0.502438
Average DRAM Power_0 (Watt) = 0.675567

Cumulative GT Energy_0 (Joules) = 0.059937
Cumulative GT Energy_0 (mWh) = 0.016649
Average GT Power_0 (Watt) = 0.022386
