System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
15:08:20:327, 531302215172477,    0.105,    9.000, 4200,  23.373,   2.453,   0.681,  22.029,   2.312,   0.642, 67,  0,   0.794,   0.083,   0.023,   0.052,   0.005,   0.002,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:08:20:436, 531302498572450,    0.214,    8.000, 4400,  20.831,   4.731,   1.314,  19.687,   4.465,   1.240, 83,  0,   0.674,   0.157,   0.044,   0.000,   0.005,   0.002,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:08:20:546, 531302782251652,    0.324,    8.000, 4400,  27.812,   7.775,   2.160,  26.583,   7.374,   2.048, 90,  0,   0.750,   0.239,   0.066,   0.065,   0.013,   0.003,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:08:20:655, 531303065752392,    0.433,    8.000, 4400,  27.186,  10.748,   2.986,  25.709,  10.186,   2.829, 87,  0,   0.754,   0.322,   0.089,   0.000,   0.013,   0.003,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:08:20:764, 531303349494916,    0.543,    8.000, 4400,  26.064,  13.601,   3.778,  24.908,  12.913,   3.587, 89,  0,   0.681,   0.396,   0.110,   0.000,   0.013,   0.003,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:08:20:874, 531303632748602,    0.652,   10.000, 4400,  28.299,  16.694,   4.637,  26.773,  15.838,   4.400, 89,  0,   0.724,   0.475,   0.132,   0.052,   0.018,   0.005,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:08:20:983, 531303917490529,    0.762,    8.000, 4200,  23.668,  19.294,   5.359,  22.659,  18.327,   5.091, 87,  0,   0.706,   0.553,   0.154,   0.000,   0.018,   0.005,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:08:21:093, 531304199513856,    0.871,   20.000, 4100,  31.075,  22.675,   6.299,  29.327,  21.518,   5.977, 76,  0,   1.310,   0.695,   0.193,   0.062,   0.025,   0.007,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:08:21:202, 531304484515868,    0.980,   22.000, 4100,  32.268,  26.223,   7.284,  30.551,  24.878,   6.910, 72,  0,   1.471,   0.857,   0.238,   0.000,   0.025,   0.007,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:08:21:311, 531304766973404,    1.089,   21.000, 3800,  31.242,  29.627,   8.230,  29.579,  28.101,   7.806, 71,  0,   1.497,   1.020,   0.283,   0.000,   0.025,   0.007,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
