System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
15:16:22:296, 532551482996204,    0.104,   10.000, 4100,  25.259,   2.638,   0.733,  23.508,   2.455,   0.682, 67,  0,   0.938,   0.098,   0.027,   0.196,   0.020,   0.006,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:16:22:405, 532551766386578,    0.214,    8.000, 4200,  20.286,   4.855,   1.349,  19.079,   4.541,   1.261, 80,  0,   0.669,   0.171,   0.048,   0.000,   0.020,   0.006,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:16:22:515, 532552049942538,    0.323,    8.000, 4400,  25.968,   7.696,   2.138,  24.827,   7.257,   2.016, 91,  0,   0.680,   0.245,   0.068,   0.000,   0.020,   0.006,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:16:22:624, 532552333367788,    0.432,    8.000, 4300,  27.746,  10.730,   2.981,  26.272,  10.129,   2.814, 91,  0,   0.752,   0.328,   0.091,   0.000,   0.020,   0.006,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:16:22:734, 532552617022582,    0.542,   12.000, 4300,  27.482,  13.738,   3.816,  26.212,  12.998,   3.611, 86,  0,   0.759,   0.411,   0.114,   0.060,   0.027,   0.008,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:16:22:843, 532552900674736,    0.651,    8.000, 4400,  24.346,  16.402,   4.556,  22.910,  15.505,   4.307, 91,  0,   0.723,   0.490,   0.136,   0.052,   0.033,   0.009,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:16:22:952, 532553183926122,    0.761,    8.000, 4300,  26.922,  19.344,   5.373,  25.643,  18.307,   5.085, 89,  0,   0.702,   0.567,   0.157,   0.000,   0.033,   0.009,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:16:23:062, 532553467112529,    0.870,   21.000, 3600,  32.943,  22.943,   6.373,  31.750,  21.776,   6.049, 77,  0,   0.722,   0.646,   0.179,   0.000,   0.033,   0.009,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:16:23:171, 532553750629842,    0.979,   22.000, 4000,  32.352,  26.482,   7.356,  30.882,  25.154,   6.987, 71,  0,   0.674,   0.719,   0.200,   0.000,   0.033,   0.009,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:16:23:280, 532554034200973,    1.089,   24.000, 3600,  31.499,  29.928,   8.313,  30.359,  28.475,   7.910, 69,  0,   0.685,   0.794,   0.221,   0.000,   0.033,   0.009,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:16:23:390, 532554317776850,    1.198,   23.000, 4100,  32.159,  33.446,   9.291,  30.908,  31.857,   8.849, 70,  0,   0.729,   0.874,   0.243,   0.056,   0.039,   0.011,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:16:23:499, 532554601195727,    1.307,   22.000, 4000,  31.548,  36.896,  10.249,  30.062,  35.144,   9.762, 74,  0,   0.662,   0.946,   0.263,   0.000,   0.039,   0.011,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:16:23:609, 532554884719678,    1.417,   22.000, 4100,  31.439,  40.335,  11.204,  30.341,  38.462,  10.684, 71,  0,   0.675,   1.020,   0.283,   0.000,   0.039,   0.011,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
