System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
14:42:50:284, 527336331780046,    0.106,    9.000, 4100,  26.411,   2.808,   0.780,  24.582,   2.613,   0.726, 64,  0,   0.892,   0.095,   0.026,   0.171,   0.018,   0.005,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:42:50:393, 527336615668746,    0.216,    8.000, 4200,  20.241,   5.025,   1.396,  18.737,   4.665,   1.296, 79,  0,   0.669,   0.168,   0.047,   0.000,   0.018,   0.005,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:42:50:503, 527336899049720,    0.325,    8.000, 4300,  26.598,   7.932,   2.203,  24.805,   7.377,   2.049, 85,  0,   0.699,   0.245,   0.068,   0.000,   0.018,   0.005,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:42:50:612, 527337182365310,    0.434,    8.000, 4400,  28.138,  11.008,   3.058,  26.537,  10.278,   2.855, 87,  0,   0.754,   0.327,   0.091,   0.000,   0.018,   0.005,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:42:50:722, 527337465891596,    0.544,    8.000, 4200,  27.191,  13.982,   3.884,  25.572,  13.075,   3.632, 77,  0,   0.726,   0.406,   0.113,   0.053,   0.024,   0.007,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:42:50:831, 527337749472530,    0.653,    8.000, 4400,  26.931,  16.929,   4.702,  25.139,  15.825,   4.396, 92,  0,   0.663,   0.479,   0.133,   0.000,   0.024,   0.007,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:42:50:940, 527338033144316,    0.763,    9.000, 4200,  29.397,  20.146,   5.596,  27.718,  18.859,   5.239, 88,  0,   0.797,   0.566,   0.157,   0.073,   0.032,   0.009,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:42:51:050, 527338316328060,    0.872,   15.000, 4100,  27.739,  23.177,   6.438,  26.191,  21.720,   6.033, 74,  0,   0.602,   0.632,   0.176,   0.000,   0.032,   0.009,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:42:51:159, 527338599561191,    0.981,   15.000, 3600,  27.524,  26.184,   7.273,  25.693,  24.528,   6.813, 66,  0,   0.581,   0.695,   0.193,   0.000,   0.032,   0.009,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:42:51:268, 527338883118849,    1.091,   15.000, 3600,  26.824,  29.119,   8.089,  25.306,  27.296,   7.582, 69,  0,   0.574,   0.758,   0.211,   0.000,   0.032,   0.009,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:42:51:378, 527339166620896,    1.200,   16.000, 3900,  27.700,  32.148,   8.930,  26.172,  30.159,   8.377, 70,  0,   0.638,   0.828,   0.230,   0.058,   0.038,   0.011,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:42:51:487, 527339450219476,    1.309,   15.000, 4100,  27.793,  35.189,   9.775,  25.963,  32.999,   9.166, 69,  0,   0.585,   0.892,   0.248,   0.000,   0.038,   0.011,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:42:51:597, 527339733752859,    1.419,   16.000, 3600,  27.322,  38.178,  10.605,  25.849,  35.827,   9.952, 69,  0,   0.585,   0.956,   0.266,   0.000,   0.038,   0.011,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:42:51:706, 527340017258410,    1.528,   15.000, 4100,  27.212,  41.154,  11.432,  25.422,  38.607,  10.724, 67,  0,   0.581,   1.020,   0.283,   0.000,   0.038,   0.011,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:42:51:815, 527340302122711,    1.638,   16.000, 3800,  27.590,  44.186,  12.274,  25.871,  41.451,  11.514, 68,  0,   0.617,   1.087,   0.302,   0.052,   0.044,   0.012,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:42:51:925, 527340584212976,    1.747,   17.000, 4100,  28.612,  47.300,  13.139,  27.058,  44.395,  12.332, 68,  0,   0.693,   1.163,   0.323,   0.059,   0.050,   0.014,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:42:52:034, 527340867899926,    1.856,   15.000, 3900,  27.716,  50.334,  13.982,  26.057,  47.247,  13.124, 69,  0,   0.584,   1.227,   0.341,   0.000,   0.050,   0.014,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:42:52:144, 527341151279974,    1.966,   15.000, 3700,  28.031,  53.398,  14.833,  26.424,  50.136,  13.927, 68,  0,   0.576,   1.290,   0.358,   0.000,   0.050,   0.014,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:42:52:253, 527341434649512,    2.075,   16.000, 4100,  27.664,  56.423,  15.673,  25.926,  52.970,  14.714, 66,  0,   0.581,   1.353,   0.376,   0.000,   0.050,   0.014,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:42:52:362, 527341718227992,    2.184,   15.000, 4100,  27.395,  59.420,  16.505,  25.863,  55.800,  15.500, 71,  0,   0.572,   1.416,   0.393,   0.000,   0.050,   0.014,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:42:52:472, 527342001594511,    2.294,   16.000, 3800,  27.707,  62.449,  17.347,  26.102,  58.654,  16.293, 69,  0,   0.641,   1.486,   0.413,   0.056,   0.056,   0.016,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:42:52:581, 527342285143529,    2.403,   16.000, 3600,  27.436,  65.450,  18.181,  25.667,  61.461,  17.073, 68,  0,   0.600,   1.552,   0.431,   0.000,   0.056,   0.016,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:42:52:690, 527342568946228,    2.513,   15.000, 4100,  26.778,  68.382,  18.995,  25.284,  64.230,  17.842, 70,  0,   0.573,   1.614,   0.448,   0.000,   0.056,   0.016,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:42:52:800, 527342852424140,    2.622,   16.000, 4100,  26.995,  71.335,  19.815,  25.589,  67.028,  18.619, 70,  0,   0.571,   1.677,   0.466,   0.000,   0.056,   0.016,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:42:52:909, 527343135599349,    2.731,   18.000, 3700,  29.251,  74.530,  20.703,  27.265,  70.007,  19.446, 71,  0,   0.667,   1.750,   0.486,   0.050,   0.062,   0.017,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:42:53:019, 527343419313740,    2.841,   16.000, 4000,  27.190,  77.506,  21.530,  25.564,  72.805,  20.224, 71,  0,   0.646,   1.820,   0.506,   0.057,   0.068,   0.019,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:42:53:128, 527343702735752,    2.950,   16.000, 3700,  27.367,  80.499,  22.361,  25.624,  75.607,  21.002, 71,  0,   0.581,   1.884,   0.523,   0.000,   0.068,   0.019,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:42:53:237, 527343986211488,    3.059,   18.000, 3800,  28.482,  83.614,  23.226,  26.925,  78.552,  21.820, 67,  0,   0.622,   1.952,   0.542,   0.000,   0.068,   0.019,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:42:53:347, 527344269672056,    3.169,   16.000, 4100,  27.257,  86.595,  24.054,  25.716,  81.364,  22.601, 69,  0,   0.577,   2.015,   0.560,   0.000,   0.068,   0.019,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:42:53:456, 527344553230036,    3.278,   16.000, 4100,  27.633,  89.617,  24.894,  25.902,  84.198,  23.388, 71,  0,   0.581,   2.078,   0.577,   0.000,   0.068,   0.019,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:42:53:565, 527344836852061,    3.388,   16.000, 3700,  27.315,  92.606,  25.724,  25.697,  87.009,  24.169, 72,  0,   0.638,   2.148,   0.597,   0.055,   0.074,   0.021,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:42:53:675, 527345120146426,    3.497,   16.000, 3700,  27.851,  95.650,  26.570,  26.291,  89.883,  24.967, 71,  0,   0.587,   2.212,   0.615,   0.000,   0.074,   0.021,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:42:53:784, 527345403645608,    3.606,   16.000, 4100,  27.375,  98.644,  27.401,  25.660,  92.689,  25.747, 71,  0,   0.579,   2.276,   0.632,   0.000,   0.074,   0.021,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:42:53:893, 527345687140911,    3.716,   19.000, 3600,  28.635, 101.776,  28.271,  27.044,  95.647,  26.569, 72,  0,   0.646,   2.346,   0.652,   0.042,   0.079,   0.022,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:42:54:003, 527345970903718,    3.825,   16.000, 4100,  27.382, 104.774,  29.104,  25.608,  98.451,  27.347, 68,  0,   0.604,   2.413,   0.670,   0.000,   0.079,   0.022,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
