System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
15:01:21:293, 530216075061596,    0.104,    9.000, 4100,  24.569,   2.567,   0.713,  23.285,   2.433,   0.676, 70,  0,   0.803,   0.084,   0.023,   0.054,   0.006,   0.002,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:01:21:402, 530216358606659,    0.214,    8.000, 4100,  20.379,   4.797,   1.332,  18.990,   4.511,   1.253, 81,  0,   0.678,   0.158,   0.044,   0.000,   0.006,   0.002,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:01:21:512, 530216642243570,    0.323,    8.000, 4400,  25.751,   7.615,   2.115,  24.604,   7.203,   2.001, 91,  0,   0.682,   0.233,   0.065,   0.000,   0.006,   0.002,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:01:21:621, 530216925512688,    0.433,    8.000, 4300,  27.769,  10.649,   2.958,  26.536,  10.103,   2.806, 92,  0,   0.747,   0.314,   0.087,   0.000,   0.006,   0.002,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:01:21:730, 530217209229100,    0.542,    8.000, 4400,  26.735,  13.576,   3.771,  25.201,  12.861,   3.573, 88,  0,   0.784,   0.400,   0.111,   0.069,   0.013,   0.004,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:01:21:840, 530217494136634,    0.652,    9.000, 4300,  27.425,  16.590,   4.608,  26.040,  15.724,   4.368, 92,  0,   0.738,   0.481,   0.134,   0.057,   0.019,   0.005,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:01:21:949, 530217776037994,    0.761,    8.000, 4300,  23.997,  19.200,   5.333,  22.669,  18.189,   5.053, 87,  0,   0.706,   0.558,   0.155,   0.000,   0.019,   0.005,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:01:22:058, 530218059339389,    0.870,   18.000, 3600,  31.026,  22.591,   6.275,  29.712,  21.437,   5.955, 71,  0,   1.236,   0.693,   0.193,   0.000,   0.019,   0.005,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:01:22:168, 530218343121462,    0.980,   20.000, 4100,  31.460,  26.035,   7.232,  29.847,  24.704,   6.862, 75,  0,   1.479,   0.855,   0.238,   0.000,   0.019,   0.005,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:01:22:277, 530218627183290,    1.089,   20.000, 4100,  31.172,  29.452,   8.181,  29.266,  27.912,   7.753, 70,  0,   1.517,   1.021,   0.284,   0.054,   0.025,   0.007,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:01:22:387, 530218910033008,    1.198,   21.000, 4100,  31.040,  32.839,   9.122,  29.462,  31.127,   8.646, 71,  0,   1.445,   1.179,   0.327,   0.000,   0.025,   0.007,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:01:22:496, 530219194026699,    1.308,   20.000, 3800,  30.823,  36.216,  10.060,  28.976,  34.301,   9.528, 70,  0,   1.551,   1.349,   0.375,   0.000,   0.025,   0.007,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:01:22:605, 530219477558305,    1.417,   21.000, 4100,  30.870,  39.593,  10.998,  29.278,  37.504,  10.418, 71,  0,   1.461,   1.509,   0.419,   0.000,   0.025,   0.007,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:01:22:715, 530219760740968,    1.526,   20.000, 4200,  31.831,  43.070,  11.964,  30.215,  40.805,  11.335, 68,  0,   1.407,   1.662,   0.462,   0.000,   0.025,   0.007,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:01:22:824, 530220044088936,    1.636,   21.000, 4100,  32.017,  46.570,  12.936,  30.049,  44.090,  12.247, 73,  0,   1.611,   1.839,   0.511,   0.111,   0.037,   0.010,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:01:22:933, 530220327624254,    1.745,   20.000, 4100,  30.397,  49.895,  13.860,  28.818,  47.242,  13.123, 73,  0,   1.437,   1.996,   0.554,   0.000,   0.037,   0.010,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:01:23:043, 530220611313384,    1.855,   20.000, 4100,  30.219,  53.203,  14.779,  28.969,  50.413,  14.004, 70,  0,   1.441,   2.153,   0.598,   0.000,   0.037,   0.010,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:01:23:152, 530220894506626,    1.964,   20.000, 3600,  30.426,  56.527,  15.702,  28.309,  53.506,  14.863, 71,  0,   1.483,   2.315,   0.643,   0.000,   0.037,   0.010,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:01:23:262, 530221178218216,    2.073,   21.000, 4100,  32.369,  60.070,  16.686,  30.793,  56.876,  15.799, 71,  0,   1.425,   2.471,   0.687,   0.000,   0.037,   0.010,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:01:23:371, 530221461556388,    2.183,   20.000, 4200,  30.858,  63.443,  17.623,  28.959,  60.042,  16.678, 71,  0,   1.538,   2.640,   0.733,   0.058,   0.044,   0.012,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:01:23:480, 530221745116272,    2.292,   20.000, 4100,  30.474,  66.777,  18.549,  28.887,  63.202,  17.556, 71,  0,   1.454,   2.799,   0.777,   0.000,   0.044,   0.012,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:01:23:590, 530222028634580,    2.401,   21.000, 4200,  31.302,  70.201,  19.500,  29.871,  66.469,  18.464, 73,  0,   1.428,   2.955,   0.821,   0.000,   0.044,   0.012,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
