System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
15:03:46:324, 530591996756192,    0.104,   10.000, 4100,  22.779,   2.367,   0.657,  21.278,   2.211,   0.614, 65,  0,   0.845,   0.088,   0.024,   0.085,   0.009,   0.002,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:03:46:433, 530592280301834,    0.213,    8.000, 4400,  21.013,   4.665,   1.296,  19.631,   4.358,   1.211, 81,  0,   0.683,   0.163,   0.045,   0.000,   0.009,   0.002,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:03:46:543, 530592563525778,    0.323,    8.000, 4300,  27.503,   7.671,   2.131,  26.304,   7.233,   2.009, 90,  0,   0.682,   0.237,   0.066,   0.000,   0.009,   0.002,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:03:46:652, 530592847003298,    0.432,    8.000, 4400,  27.587,  10.688,   2.969,  26.271,  10.106,   2.807, 89,  0,   0.808,   0.325,   0.090,   0.058,   0.015,   0.004,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:03:46:761, 530593130822688,    0.541,    8.000, 4400,  26.533,  13.593,   3.776,  25.176,  12.862,   3.573, 91,  0,   0.685,   0.400,   0.111,   0.000,   0.015,   0.004,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:03:46:871, 530593413982972,    0.651,    8.000, 4300,  25.237,  16.350,   4.542,  23.972,  15.481,   4.300, 92,  0,   0.645,   0.471,   0.131,   0.000,   0.015,   0.004,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:03:46:980, 530593697597650,    0.760,    8.000, 4300,  25.901,  19.184,   5.329,  24.737,  18.188,   5.052, 90,  0,   0.705,   0.548,   0.152,   0.000,   0.015,   0.004,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:03:47:089, 530593980803432,    0.869,   22.000, 4100,  33.190,  22.811,   6.336,  31.727,  21.654,   6.015, 69,  0,   0.641,   0.618,   0.172,   0.000,   0.015,   0.004,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:03:47:199, 530594264442199,    0.979,   25.000, 3600,  34.039,  26.535,   7.371,  32.739,  25.237,   7.010, 70,  0,   0.798,   0.705,   0.196,   0.102,   0.026,   0.007,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:03:47:308, 530594547957984,    1.088,   24.000, 4000,  32.460,  30.086,   8.357,  31.303,  28.661,   7.961, 73,  0,   0.632,   0.774,   0.215,   0.000,   0.026,   0.007,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
