System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
14:45:50:302, 527802940211982,    0.103,    9.000, 4100,  25.545,   2.643,   0.734,  23.690,   2.451,   0.681, 69,  0,   0.881,   0.091,   0.025,   0.166,   0.017,   0.005,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:45:50:412, 527803223982794,    0.213,   11.000, 4200,  23.134,   5.176,   1.438,  21.359,   4.790,   1.330, 79,  0,   0.759,   0.174,   0.048,   0.040,   0.022,   0.006,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:45:50:521, 527803507377047,    0.322,    8.000, 4300,  23.949,   7.795,   2.165,  22.352,   7.234,   2.009, 85,  0,   0.689,   0.250,   0.069,   0.000,   0.022,   0.006,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:45:50:630, 527803790700304,    0.432,    8.000, 4400,  28.383,  10.897,   3.027,  26.543,  10.135,   2.815, 91,  0,   0.761,   0.333,   0.092,   0.000,   0.022,   0.006,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:45:50:740, 527804074567630,    0.541,    8.000, 4200,  26.300,  13.777,   3.827,  24.794,  12.850,   3.570, 89,  0,   0.670,   0.406,   0.113,   0.000,   0.022,   0.006,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:45:50:849, 527804357724044,    0.650,    8.000, 4200,  26.553,  16.678,   4.633,  24.889,  15.569,   4.325, 91,  0,   0.709,   0.484,   0.134,   0.063,   0.028,   0.008,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:45:50:959, 527804641510544,    0.760,    8.000, 4300,  26.569,  19.587,   5.441,  24.786,  18.283,   5.079, 90,  0,   0.701,   0.560,   0.156,   0.000,   0.028,   0.008,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:45:51:068, 527804924572993,    0.869,   21.000, 3700,  31.792,  23.059,   6.405,  30.192,  21.580,   5.995, 71,  0,   0.599,   0.626,   0.174,   0.000,   0.028,   0.008,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:45:51:177, 527805208164856,    0.978,   23.000, 4000,  30.749,  26.423,   7.340,  29.268,  24.782,   6.884, 67,  0,   0.576,   0.689,   0.191,   0.000,   0.028,   0.008,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:45:51:287, 527805491890459,    1.088,   24.000, 3600,  30.664,  29.780,   8.272,  28.882,  27.944,   7.762, 66,  0,   0.578,   0.752,   0.209,   0.000,   0.028,   0.008,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:45:51:396, 527805775215080,    1.197,   27.000, 3600,  31.919,  33.269,   9.241,  30.217,  31.247,   8.680, 70,  0,   0.699,   0.829,   0.230,   0.101,   0.039,   0.011,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:45:51:505, 527806058668938,    1.307,   24.000, 4000,  30.875,  36.645,  10.179,  29.114,  34.431,   9.564, 67,  0,   0.624,   0.897,   0.249,   0.010,   0.041,   0.011,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:45:51:615, 527806342023853,    1.416,   24.000, 3600,  30.376,  39.966,  11.102,  28.835,  37.583,  10.440, 68,  0,   0.574,   0.960,   0.267,   0.000,   0.041,   0.011,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:45:51:724, 527806625747488,    1.525,   24.000, 4000,  30.520,  43.306,  12.030,  29.027,  40.760,  11.322, 66,  0,   0.587,   1.024,   0.284,   0.000,   0.041,   0.011,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:45:51:833, 527806909115190,    1.635,   24.000, 3600,  30.641,  46.656,  12.960,  28.896,  43.919,  12.200, 70,  0,   0.578,   1.087,   0.302,   0.000,   0.041,   0.011,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:45:51:943, 527807192801704,    1.744,   24.000, 4000,  30.295,  49.972,  13.881,  28.694,  47.060,  13.072, 72,  0,   0.641,   1.157,   0.321,   0.054,   0.046,   0.013,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:45:52:052, 527807476268861,    1.853,   24.000, 4000,  30.514,  53.309,  14.808,  28.959,  50.227,  13.952, 73,  0,   0.577,   1.220,   0.339,   0.000,   0.046,   0.013,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:45:52:162, 527807759611564,    1.963,   24.000, 3600,  30.655,  56.660,  15.739,  28.868,  53.383,  14.828, 69,  0,   0.578,   1.283,   0.356,   0.000,   0.046,   0.013,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:45:52:271, 527808043440976,    2.072,   24.000, 4000,  30.524,  60.002,  16.667,  29.051,  56.564,  15.712, 70,  0,   0.575,   1.346,   0.374,   0.000,   0.046,   0.013,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:45:52:380, 527808331048642,    2.183,   30.000, 4000,  31.653,  63.515,  17.643,  30.071,  59.900,  16.639, 69,  0,   0.603,   1.413,   0.393,   0.019,   0.048,   0.013,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:45:52:490, 527808610551796,    2.291,   24.000, 3600,  30.842,  66.840,  18.567,  28.939,  63.021,  17.506, 69,  0,   0.702,   1.489,   0.414,   0.084,   0.057,   0.016,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:45:52:599, 527808893898883,    2.400,   24.000, 3600,  30.541,  70.179,  19.494,  29.029,  66.194,  18.387, 73,  0,   0.581,   1.552,   0.431,   0.000,   0.057,   0.016,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:45:52:708, 527809177113871,    2.510,   24.000, 3600,  30.797,  73.544,  20.429,  28.999,  69.363,  19.267, 71,  0,   0.589,   1.617,   0.449,   0.000,   0.057,   0.016,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:45:52:818, 527809460661000,    2.619,   24.000, 4000,  30.566,  76.888,  21.358,  29.115,  72.548,  20.152, 69,  0,   0.584,   1.681,   0.467,   0.000,   0.057,   0.016,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:45:52:927, 527809744256876,    2.728,   24.000, 4000,  30.929,  80.272,  22.298,  29.376,  75.762,  21.045, 72,  0,   0.589,   1.745,   0.485,   0.000,   0.057,   0.016,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:45:53:037, 527810027582425,    2.838,   24.000, 3700,  31.562,  83.721,  23.256,  29.647,  79.002,  21.945, 69,  0,   0.648,   1.816,   0.504,   0.058,   0.064,   0.018,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:45:53:146, 527810311153816,    2.947,   25.000, 3600,  32.399,  87.266,  24.241,  30.967,  82.390,  22.886, 68,  0,   0.621,   1.884,   0.523,   0.000,   0.064,   0.018,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
