System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
15:15:20:269, 532390708934172,    0.100,   10.000, 4100,  25.617,   2.563,   0.712,  24.255,   2.427,   0.674, 69,  0,   0.816,   0.082,   0.023,   0.046,   0.005,   0.001,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:15:20:379, 532390992218318,    0.209,    8.000, 4300,  20.879,   4.845,   1.346,  19.681,   4.578,   1.272, 85,  0,   0.686,   0.157,   0.044,   0.000,   0.005,   0.001,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:15:20:488, 532391275782498,    0.319,    8.000, 4300,  24.515,   7.527,   2.091,  23.330,   7.130,   1.981, 91,  0,   0.682,   0.231,   0.064,   0.000,   0.005,   0.001,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:15:20:597, 532391559297944,    0.428,    8.000, 4300,  27.062,  10.487,   2.913,  25.606,   9.931,   2.759, 92,  0,   0.751,   0.313,   0.087,   0.000,   0.005,   0.001,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:15:20:707, 532391842925134,    0.538,    9.000, 4300,  25.989,  13.330,   3.703,  24.649,  12.628,   3.508, 88,  0,   0.814,   0.402,   0.112,   0.114,   0.017,   0.005,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:15:20:816, 532392126282236,    0.647,    8.000, 4200,  23.563,  15.906,   4.418,  22.352,  15.071,   4.186, 92,  0,   0.646,   0.473,   0.131,   0.000,   0.017,   0.005,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:15:20:926, 532392409982418,    0.756,    8.000, 4300,  26.167,  18.770,   5.214,  24.746,  17.780,   4.939, 92,  0,   0.708,   0.551,   0.153,   0.000,   0.017,   0.005,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:15:21:035, 532392693401407,    0.866,   22.000, 3600,  33.705,  22.456,   6.238,  32.582,  21.342,   5.928, 78,  0,   0.602,   0.616,   0.171,   0.000,   0.017,   0.005,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:15:21:144, 532392976575354,    0.975,   25.000, 3600,  31.911,  25.942,   7.206,  30.730,  24.700,   6.861, 77,  0,   0.575,   0.679,   0.189,   0.000,   0.017,   0.005,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:15:21:254, 532393260174951,    1.084,   25.000, 3600,  32.726,  29.523,   8.201,  31.224,  28.116,   7.810, 74,  0,   0.662,   0.752,   0.209,   0.064,   0.024,   0.007,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:15:21:363, 532393543828120,    1.194,   27.000, 4000,  33.856,  33.228,   9.230,  32.788,  31.704,   8.807, 75,  0,   0.621,   0.820,   0.228,   0.000,   0.024,   0.007,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:15:21:472, 532393827268598,    1.303,   25.000, 4000,  32.686,  36.802,  10.223,  31.155,  35.111,   9.753, 77,  0,   0.588,   0.884,   0.246,   0.000,   0.024,   0.007,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:15:21:582, 532394110594026,    1.412,   25.000, 4000,  32.316,  40.334,  11.204,  31.225,  38.524,  10.701, 74,  0,   0.575,   0.947,   0.263,   0.000,   0.024,   0.007,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:15:21:691, 532394394195129,    1.522,   27.000, 4000,  33.334,  43.981,  12.217,  32.039,  42.029,  11.675, 78,  0,   0.686,   1.022,   0.284,   0.054,   0.030,   0.008,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
