System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
14:53:37:295, 529013390085256,    0.104,   10.000, 4100,  24.637,   2.555,   0.710,  23.123,   2.398,   0.666, 64,  0,   0.851,   0.088,   0.025,   0.097,   0.010,   0.003,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:53:37:405, 529013673730600,    0.213,    8.000, 4200,  20.072,   4.751,   1.320,  18.927,   4.469,   1.241, 77,  0,   0.669,   0.161,   0.045,   0.000,   0.010,   0.003,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:53:37:514, 529013957347684,    0.323,    8.000, 4400,  26.335,   7.633,   2.120,  25.211,   7.228,   2.008, 88,  0,   0.679,   0.236,   0.065,   0.000,   0.010,   0.003,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:53:37:623, 529014240429054,    0.432,   16.000, 4100,  29.855,  10.893,   3.026,  28.164,  10.304,   2.862, 85,  0,   0.863,   0.330,   0.092,   0.103,   0.021,   0.006,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:53:37:733, 529014523975292,    0.541,    8.000, 4300,  21.630,  13.260,   3.683,  20.465,  12.542,   3.484, 80,  0,   0.722,   0.409,   0.114,   0.008,   0.022,   0.006,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:53:37:842, 529014807665002,    0.651,    8.000, 4300,  27.221,  16.239,   4.511,  26.056,  15.394,   4.276, 92,  0,   0.642,   0.479,   0.133,   0.000,   0.022,   0.006,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:53:37:952, 529015091294036,    0.760,    8.000, 4300,  27.874,  19.289,   5.358,  26.506,  18.295,   5.082, 92,  0,   0.704,   0.556,   0.155,   0.000,   0.022,   0.006,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:53:38:061, 529015374312178,    0.869,   18.000, 3900,  31.352,  22.712,   6.309,  30.135,  21.585,   5.996, 70,  0,   0.641,   0.626,   0.174,   0.000,   0.022,   0.006,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:53:38:170, 529015657968200,    0.979,   20.000, 4000,  30.096,  26.006,   7.224,  28.817,  24.739,   6.872, 69,  0,   0.637,   0.696,   0.193,   0.061,   0.029,   0.008,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:53:38:280, 529015941455526,    1.088,   20.000, 3600,  30.074,  29.295,   8.138,  28.703,  27.878,   7.744, 65,  0,   0.613,   0.763,   0.212,   0.000,   0.029,   0.008,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:53:38:389, 529016224849591,    1.197,   20.000, 3600,  29.447,  32.515,   9.032,  28.354,  30.978,   8.605, 66,  0,   0.583,   0.827,   0.230,   0.000,   0.029,   0.008,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:53:38:498, 529016508302378,    1.307,   21.000, 4000,  30.772,  35.880,   9.967,  29.337,  34.186,   9.496, 71,  0,   0.585,   0.891,   0.247,   0.000,   0.029,   0.008,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:53:38:623, 529016835192368,    1.433,   29.000, 4000,  31.886,  39.901,  11.084,  30.646,  38.051,  10.570, 68,  0,   0.634,   0.971,   0.270,   0.033,   0.033,   0.009,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:53:38:717, 529017075344278,    1.525,   21.000, 3500,  30.294,  42.708,  11.863,  29.247,  40.761,  11.322, 67,  0,   0.638,   1.030,   0.286,   0.026,   0.036,   0.010,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:53:38:827, 529017358863413,    1.635,   21.000, 4000,  30.912,  46.089,  12.802,  29.415,  43.978,  12.216, 67,  0,   0.651,   1.101,   0.306,   0.042,   0.040,   0.011,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:53:38:936, 529017642450673,    1.744,   20.000, 3700,  30.169,  49.390,  13.719,  29.077,  47.159,  13.100, 68,  0,   0.583,   1.165,   0.324,   0.000,   0.040,   0.011,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:53:39:045, 529017925844980,    1.854,   20.000, 4000,  30.740,  52.751,  14.653,  29.552,  50.390,  13.997, 69,  0,   0.578,   1.228,   0.341,   0.000,   0.040,   0.011,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:53:39:155, 529018209376326,    1.963,   21.000, 4000,  30.391,  56.075,  15.576,  29.061,  53.569,  14.880, 67,  0,   0.584,   1.292,   0.359,   0.000,   0.040,   0.011,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:53:39:264, 529018493191173,    2.072,   20.000, 3700,  30.311,  59.394,  16.498,  29.085,  56.754,  15.765, 67,  0,   0.630,   1.361,   0.378,   0.059,   0.047,   0.013,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:53:39:373, 529018776328911,    2.182,   20.000, 3600,  30.420,  62.717,  17.421,  28.972,  59.919,  16.644, 70,  0,   0.616,   1.428,   0.397,   0.000,   0.047,   0.013,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:53:39:483, 529019059764007,    2.291,   21.000, 3600,  30.006,  65.998,  18.333,  28.875,  63.076,  17.521, 68,  0,   0.579,   1.492,   0.414,   0.000,   0.047,   0.013,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:53:39:592, 529019343287767,    2.400,   20.000, 3600,  30.230,  69.305,  19.251,  29.123,  66.262,  18.406, 68,  0,   0.578,   1.555,   0.432,   0.000,   0.047,   0.013,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
