System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
14:55:42:325, 529337469188128,    0.108,   10.000, 4100,  22.564,   2.432,   0.676,  21.108,   2.275,   0.632, 66,  0,   0.835,   0.090,   0.025,   0.097,   0.010,   0.003,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:55:42:435, 529337752815292,    0.217,    8.000, 4000,  20.822,   4.710,   1.308,  19.671,   4.428,   1.230, 81,  0,   0.674,   0.164,   0.045,   0.000,   0.010,   0.003,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:55:42:544, 529338036386244,    0.327,    8.000, 4400,  28.017,   7.775,   2.160,  26.852,   7.365,   2.046, 88,  0,   0.676,   0.238,   0.066,   0.000,   0.010,   0.003,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:55:42:654, 529338319718920,    0.436,    8.000, 4200,  27.852,  10.820,   3.006,  26.304,  10.240,   2.845, 86,  0,   0.809,   0.326,   0.091,   0.065,   0.018,   0.005,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:55:42:763, 529338603248208,    0.545,    8.000, 4400,  26.331,  13.700,   3.806,  25.150,  12.992,   3.609, 89,  0,   0.694,   0.402,   0.112,   0.000,   0.018,   0.005,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:55:42:872, 529338886757506,    0.655,    8.000, 4300,  26.151,  16.560,   4.600,  24.976,  15.723,   4.368, 92,  0,   0.646,   0.473,   0.131,   0.000,   0.018,   0.005,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:55:42:982, 529339170173350,    0.764,    8.000, 4300,  26.442,  19.452,   5.403,  24.981,  18.455,   5.126, 87,  0,   0.716,   0.551,   0.153,   0.000,   0.018,   0.005,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:55:43:091, 529339453400503,    0.873,   20.000, 3700,  31.669,  22.912,   6.364,  30.445,  21.781,   6.050, 70,  0,   0.614,   0.618,   0.172,   0.000,   0.018,   0.005,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:55:43:200, 529339736995225,    0.983,   24.000, 3600,  32.059,  26.420,   7.339,  30.815,  25.153,   6.987, 73,  0,   0.765,   0.702,   0.195,   0.110,   0.030,   0.008,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:55:43:310, 529340020707478,    1.092,   22.000, 3800,  30.684,  29.778,   8.272,  29.241,  28.354,   7.876, 70,  0,   0.629,   0.771,   0.214,   0.000,   0.030,   0.008,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:55:43:419, 529340304176626,    1.202,   21.000, 4000,  29.906,  33.049,   9.180,  28.848,  31.508,   8.752, 72,  0,   0.595,   0.836,   0.232,   0.000,   0.030,   0.008,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:55:43:529, 529340587449755,    1.311,   23.000, 3600,  32.643,  36.616,  10.171,  31.133,  34.911,   9.697, 71,  0,   0.652,   0.907,   0.252,   0.000,   0.030,   0.008,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:55:43:638, 529340870863759,    1.420,   21.000, 3600,  30.319,  39.931,  11.092,  29.164,  38.100,  10.583, 73,  0,   0.594,   0.972,   0.270,   0.000,   0.030,   0.008,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:55:43:747, 529341154410235,    1.530,   21.000, 3600,  31.241,  43.349,  12.041,  30.124,  41.395,  11.499, 71,  0,   0.648,   1.043,   0.290,   0.055,   0.036,   0.010,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
