System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
15:21:16:239, 533313385811056,    0.102,   22.000, 4100,  25.577,   2.599,   0.722,  24.042,   2.443,   0.679, 67,  0,   0.908,   0.092,   0.026,   0.128,   0.013,   0.004,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:21:16:348, 533313669007370,    0.211,    8.000, 4300,  20.459,   4.834,   1.343,  19.203,   4.541,   1.261, 82,  0,   0.721,   0.171,   0.048,   0.010,   0.014,   0.004,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:21:16:458, 533313952387422,    0.320,    8.000, 4300,  24.478,   7.510,   2.086,  23.285,   7.087,   1.969, 91,  0,   0.669,   0.244,   0.068,   0.000,   0.014,   0.004,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:21:16:567, 533314235791550,    0.430,    8.000, 4300,  27.603,  10.529,   2.925,  26.052,   9.935,   2.760, 89,  0,   0.822,   0.334,   0.093,   0.059,   0.021,   0.006,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:21:16:677, 533314519444356,    0.539,    8.000, 4400,  26.761,  13.457,   3.738,  25.585,  12.735,   3.538, 91,  0,   0.677,   0.408,   0.113,   0.000,   0.021,   0.006,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:21:16:786, 533314802909444,    0.648,    8.000, 4200,  25.627,  16.260,   4.517,  24.187,  15.380,   4.272, 91,  0,   0.651,   0.479,   0.133,   0.000,   0.021,   0.006,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:21:16:895, 533315086376688,    0.758,    8.000, 4200,  26.431,  19.150,   5.319,  25.228,  18.139,   5.039, 94,  0,   0.698,   0.556,   0.154,   0.000,   0.021,   0.006,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:21:17:005, 533315369853312,    0.867,   20.000, 4300,  33.335,  22.796,   6.332,  32.185,  21.659,   6.016, 72,  0,   0.738,   0.636,   0.177,   0.000,   0.021,   0.006,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:21:17:114, 533315653129345,    0.976,   25.000, 3600,  33.169,  26.421,   7.339,  31.565,  25.109,   6.975, 70,  0,   0.659,   0.708,   0.197,   0.065,   0.028,   0.008,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
15:21:17:239, 533315984499360,    1.104,   32.000, 4000,  34.927,  30.886,   8.579,  33.928,  29.446,   8.179, 72,  0,   0.678,   0.795,   0.221,   0.036,   0.032,   0.009,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
