System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
14:58:49:317, 529822152925622,    0.105,   10.000, 4100,  23.768,   2.503,   0.695,  22.141,   2.332,   0.648, 66,  0,   0.835,   0.088,   0.024,   0.099,   0.010,   0.003,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:58:49:426, 529822436370766,    0.215,    8.000, 4200,  20.822,   4.780,   1.328,  19.561,   4.471,   1.242, 80,  0,   0.742,   0.169,   0.047,   0.061,   0.017,   0.005,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:58:49:536, 529822720030640,    0.324,   10.000, 4300,  27.825,   7.825,   2.174,  26.542,   7.376,   2.049, 88,  0,   0.775,   0.254,   0.071,   0.070,   0.025,   0.007,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:58:49:645, 529823003521746,    0.433,    8.000, 4400,  23.904,  10.440,   2.900,  22.490,   9.835,   2.732, 87,  0,   0.768,   0.338,   0.094,   0.000,   0.025,   0.007,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:58:49:755, 529823287301286,    0.543,    8.000, 4400,  26.126,  13.300,   3.694,  24.989,  12.571,   3.492, 91,  0,   0.672,   0.412,   0.114,   0.000,   0.025,   0.007,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:58:49:864, 529823570589056,    0.652,    8.000, 4300,  25.938,  16.135,   4.482,  24.478,  15.246,   4.235, 92,  0,   0.649,   0.483,   0.134,   0.000,   0.025,   0.007,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:58:49:973, 529823853966860,    0.762,    8.000, 4300,  26.462,  19.028,   5.286,  25.182,  18.000,   5.000, 90,  0,   0.767,   0.566,   0.157,   0.055,   0.031,   0.009,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:58:50:083, 529824138761273,    0.871,   21.000, 4100,  33.230,  22.679,   6.300,  31.631,  21.475,   5.965, 72,  0,   1.276,   0.707,   0.196,   0.000,   0.031,   0.009,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:58:50:192, 529824421087242,    0.980,   21.000, 4100,  32.334,  26.201,   7.278,  30.614,  24.810,   6.892, 71,  0,   1.469,   0.867,   0.241,   0.000,   0.031,   0.009,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
14:58:50:301, 529824704219884,    1.090,   22.000, 3600,  31.647,  29.658,   8.238,  30.308,  28.120,   7.811, 70,  0,   1.471,   1.027,   0.285,   0.000,   0.031,   0.009,  45.000,  56.250, 128.000,   0.000,   0.000,99999999,   0.000
