System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
18:27:54:357, 778383714671121,    0.112,   13.000, 3600,  14.436,   1.619,   0.450,  12.853,   1.441,   0.400, 66,  0,   0.444,   0.050,   0.014,   0.022,   0.002,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,   33,   3.784
18:27:54:466, 778384021643755,    0.221,   12.000, 3600,  14.538,   3.208,   0.891,  13.013,   2.864,   0.796, 68,  0,   0.424,   0.096,   0.027,   0.006,   0.003,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:27:54:576, 778384328781652,    0.331,   12.000, 3600,  14.848,   4.832,   1.342,  13.192,   4.307,   1.196, 72,  0,   0.429,   0.143,   0.040,   0.012,   0.004,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:27:54:685, 778384635808167,    0.440,   12.000, 3600,  14.596,   6.428,   1.786,  13.049,   5.734,   1.593, 70,  0,   0.463,   0.194,   0.054,   0.011,   0.006,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:27:54:794, 778384942839304,    0.550,   12.000, 3400,  15.001,   8.068,   2.241,  13.471,   7.207,   2.002, 74,  0,   0.398,   0.237,   0.066,   0.006,   0.006,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:27:54:904, 778385250088373,    0.659,   12.000, 3500,  14.725,   9.679,   2.689,  13.094,   8.639,   2.400, 74,  0,   0.327,   0.273,   0.076,   0.006,   0.007,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:27:55:013, 778385557037289,    0.768,   12.000, 3600,  14.699,  11.286,   3.135,  13.168,  10.079,   2.800, 73,  0,   0.428,   0.320,   0.089,   0.005,   0.007,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:27:55:122, 778385864192252,    0.878,   14.000, 3400,  14.649,  12.889,   3.580,  12.874,  11.487,   3.191, 70,  0,   0.602,   0.386,   0.107,   0.050,   0.013,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    5,   0.858
18:27:55:232, 778386171199754,    0.987,   12.000, 3400,  14.769,  14.503,   4.029,  13.247,  12.935,   3.593, 72,  0,   0.377,   0.427,   0.119,   0.011,   0.014,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:27:55:341, 778386477977897,    1.096,   34.000, 3400,  20.599,  16.754,   4.654,  18.975,  15.008,   4.169, 65,  0,   0.745,   0.508,   0.141,   0.011,   0.015,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    2,   0.000
18:27:55:450, 778386785023636,    1.206,   49.000, 3400,  25.890,  19.585,   5.440,  24.179,  17.652,   4.903, 67,  0,   1.128,   0.632,   0.175,   0.009,   0.016,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:27:55:560, 778387092217081,    1.315,   49.000, 3400,  25.535,  22.378,   6.216,  23.522,  20.225,   5.618, 66,  0,   1.083,   0.750,   0.208,   0.006,   0.017,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:27:55:669, 778387399194872,    1.424,   49.000, 3400,  26.072,  25.228,   7.008,  24.291,  22.881,   6.356, 69,  0,   1.141,   0.875,   0.243,   0.005,   0.018,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:27:55:778, 778387706530173,    1.534,   51.000, 3400,  25.248,  27.992,   7.776,  23.277,  25.429,   7.064, 69,  0,   1.111,   0.996,   0.277,   0.011,   0.019,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:27:55:888, 778388013371860,    1.643,   62.000, 3400,  25.964,  30.829,   8.564,  24.049,  28.057,   7.794, 67,  0,   1.387,   1.148,   0.319,   0.005,   0.019,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:27:55:997, 778388320247856,    1.752,   61.000, 3400,  26.443,  33.719,   9.366,  24.569,  30.742,   8.539, 67,  0,   1.266,   1.286,   0.357,   0.007,   0.020,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
