System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
18:18:12:403, 776749586461268,    0.112,   12.000, 3400,  14.191,   1.588,   0.441,  12.583,   1.408,   0.391, 68,  0,   0.453,   0.051,   0.014,   0.022,   0.003,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,   34,   3.805
18:18:12:513, 776749893534662,    0.221,   12.000, 3500,  14.066,   3.126,   0.868,  12.551,   2.780,   0.772, 69,  0,   0.403,   0.095,   0.026,   0.009,   0.004,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:18:12:622, 776750200692981,    0.331,   12.000, 3400,  14.641,   4.728,   1.313,  13.119,   4.216,   1.171, 72,  0,   0.423,   0.141,   0.039,   0.008,   0.004,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:18:12:731, 776750507545553,    0.440,   12.000, 3400,  14.692,   6.333,   1.759,  12.998,   5.636,   1.566, 70,  0,   0.476,   0.193,   0.054,   0.008,   0.005,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:18:12:841, 776750814596944,    0.549,   12.000, 3600,  14.622,   7.932,   2.203,  13.095,   7.068,   1.963, 74,  0,   0.383,   0.235,   0.065,   0.009,   0.006,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:18:12:950, 776751121795048,    0.659,   18.000, 3400,  15.383,   9.615,   2.671,  13.824,   8.580,   2.383, 75,  0,   0.395,   0.278,   0.077,   0.040,   0.011,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    3,   0.512
18:18:13:059, 776751428649145,    0.768,   12.000, 3500,  14.365,  11.185,   3.107,  12.680,   9.966,   2.768, 74,  0,   0.423,   0.325,   0.090,   0.008,   0.012,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,   10,   0.000
18:18:13:169, 776751735767924,    0.877,   12.000, 3500,  13.729,  12.686,   3.524,  12.151,  11.295,   3.137, 72,  0,   0.529,   0.382,   0.106,   0.009,   0.013,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:18:13:278, 776752042873376,    0.987,   15.000, 3600,  15.249,  14.354,   3.987,  13.725,  12.796,   3.554, 72,  0,   0.411,   0.427,   0.119,   0.010,   0.014,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:18:13:387, 776752349705131,    1.096,   35.000, 3400,  19.739,  16.511,   4.586,  18.073,  14.771,   4.103, 72,  0,   0.373,   0.468,   0.130,   0.006,   0.014,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:18:13:497, 776752656763601,    1.205,   49.000, 3400,  25.911,  19.344,   5.373,  24.439,  17.443,   4.845, 67,  0,   0.325,   0.504,   0.140,   0.008,   0.015,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:18:13:606, 776752963860611,    1.315,   51.000, 3400,  27.032,  22.301,   6.195,  25.548,  20.237,   5.621, 72,  0,   0.402,   0.548,   0.152,   0.006,   0.016,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:18:13:715, 776753270863889,    1.424,   51.000, 3400,  26.129,  25.157,   6.988,  24.351,  22.900,   6.361, 74,  0,   0.440,   0.596,   0.165,   0.006,   0.017,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:18:13:825, 776753577888333,    1.533,   49.000, 3400,  26.134,  28.015,   7.782,  24.664,  25.596,   7.110, 69,  0,   0.330,   0.632,   0.176,   0.011,   0.018,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:18:13:926, 776753887487667,    1.644,   60.000, 3400,  26.545,  30.942,   8.595,  25.002,  28.353,   7.876, 70,  0,   0.389,   0.675,   0.187,   0.019,   0.020,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    2,   0.213
18:18:14:036, 776754169962448,    1.744,   50.000, 3400,  27.725,  33.731,   9.370,  25.997,  30.968,   8.602, 74,  0,   0.378,   0.713,   0.198,   0.022,   0.022,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,   23,   2.314
18:18:14:145, 776754476996661,    1.854,   49.000, 3400,  22.474,  36.188,  10.052,  20.973,  33.261,   9.239, 75,  0,   0.324,   0.748,   0.208,   0.005,   0.023,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
