System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
18:05:01:330, 774528249804734,    0.098,   13.000, 3500,  14.506,   1.425,   0.396,  12.780,   1.256,   0.349, 65,  0,   0.488,   0.048,   0.013,   0.050,   0.005,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,   30,   4.151
18:05:01:439, 774528556824462,    0.208,   12.000, 3400,  13.125,   2.860,   0.795,  11.598,   2.524,   0.701, 66,  0,   0.424,   0.094,   0.026,   0.013,   0.006,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:05:01:549, 774528864168463,    0.317,   12.000, 3500,  14.573,   4.456,   1.238,  13.054,   3.953,   1.098, 69,  0,   0.430,   0.141,   0.039,   0.006,   0.007,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:05:01:658, 774529170818587,    0.426,   12.000, 3600,  14.920,   6.085,   1.690,  13.229,   5.397,   1.499, 69,  0,   0.469,   0.193,   0.054,   0.011,   0.008,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:05:01:768, 774529477949864,    0.536,   12.000, 3600,  14.854,   7.710,   2.142,  13.343,   6.857,   1.905, 73,  0,   0.383,   0.235,   0.065,   0.012,   0.009,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:05:01:877, 774529785166482,    0.645,   15.000, 3600,  15.965,   9.456,   2.627,  14.266,   8.418,   2.338, 75,  0,   0.402,   0.279,   0.077,   0.047,   0.015,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    5,   0.829
18:05:01:986, 774530092127056,    0.754,   12.000, 3400,  14.652,  11.058,   3.072,  13.109,   9.851,   2.736, 72,  0,   0.420,   0.324,   0.090,   0.007,   0.015,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:05:02:096, 774530399182680,    0.864,   12.000, 3400,  13.823,  12.570,   3.492,  12.277,  11.193,   3.109, 74,  0,   0.507,   0.380,   0.106,   0.004,   0.016,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:05:02:205, 774530706264853,    0.973,   12.000, 3600,  14.952,  14.205,   3.946,  13.286,  12.646,   3.513, 75,  0,   0.401,   0.424,   0.118,   0.009,   0.017,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:05:02:314, 774531013094798,    1.082,   43.000, 3400,  23.082,  16.727,   4.646,  21.419,  14.987,   4.163, 64,  0,   0.880,   0.520,   0.144,   0.008,   0.018,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:05:02:424, 774531320414605,    1.192,   49.000, 3400,  25.917,  19.563,   5.434,  24.196,  17.635,   4.899, 65,  0,   1.029,   0.633,   0.176,   0.012,   0.019,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:05:02:533, 774531627438796,    1.301,   61.000, 3400,  26.580,  22.470,   6.242,  24.497,  20.313,   5.643, 69,  0,   1.303,   0.775,   0.215,   0.005,   0.020,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:05:02:642, 774531934363424,    1.410,   49.000, 3400,  25.121,  25.215,   7.004,  23.372,  22.868,   6.352, 68,  0,   1.033,   0.888,   0.247,   0.014,   0.021,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:05:02:752, 774532241535655,    1.520,   49.000, 3400,  25.131,  27.965,   7.768,  23.386,  25.426,   7.063, 68,  0,   1.048,   1.003,   0.279,   0.006,   0.022,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:05:02:861, 774532548460674,    1.629,   55.000, 3400,  24.614,  30.655,   8.515,  22.619,  27.898,   7.750, 69,  0,   1.074,   1.120,   0.311,   0.040,   0.026,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    4,   0.571
18:05:02:970, 774532855857713,    1.739,   52.000, 3400,  25.360,  33.431,   9.286,  23.640,  30.486,   8.468, 67,  0,   1.047,   1.235,   0.343,   0.012,   0.028,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    4,   0.000
18:05:03:080, 774533162398878,    1.848,   49.000, 3400,  25.153,  36.177,  10.049,  23.418,  33.043,   9.179, 70,  0,   1.016,   1.346,   0.374,   0.008,   0.028,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:05:03:189, 774533469667851,    1.957,   49.000, 3400,  26.540,  39.081,  10.856,  24.531,  35.727,   9.924, 69,  0,   1.106,   1.467,   0.407,   0.012,   0.030,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:05:03:291, 774533754855125,    2.059,   50.000, 3400,  26.482,  41.771,  11.603,  24.775,  38.243,  10.623, 69,  0,   1.104,   1.579,   0.439,   0.011,   0.031,   0.009,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:05:03:400, 774534061840468,    2.168,   49.000, 3400,  26.706,  44.690,  12.414,  24.694,  40.943,  11.373, 67,  0,   1.123,   1.701,   0.473,   0.005,   0.031,   0.009,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:05:03:509, 774534368949392,    2.277,   61.000, 3400,  26.031,  47.537,  13.205,  24.133,  43.582,  12.106, 67,  0,   1.359,   1.850,   0.514,   0.011,   0.033,   0.009,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:05:03:619, 774534676146275,    2.387,   66.000, 3400,  25.987,  50.380,  13.995,  24.078,  46.217,  12.838, 69,  0,   1.389,   2.002,   0.556,   0.008,   0.033,   0.009,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
