System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
17:49:25:347, 771900006156461,    0.104,   13.000, 3400,  13.875,   1.449,   0.403,  12.245,   1.279,   0.355, 62,  0,   0.466,   0.049,   0.014,   0.028,   0.003,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,   31,   4.203
17:49:25:457, 771900313421434,    0.214,   11.000, 3400,  14.226,   3.006,   0.835,  12.727,   2.672,   0.742, 64,  0,   0.412,   0.094,   0.026,   0.008,   0.004,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    2,   0.000
17:49:25:566, 771900620468706,    0.323,   11.000, 3400,  14.428,   4.583,   1.273,  12.780,   4.069,   1.130, 67,  0,   0.420,   0.140,   0.039,   0.007,   0.005,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
17:49:25:675, 771900927541474,    0.433,   12.000, 3400,  14.469,   6.166,   1.713,  12.951,   5.485,   1.524, 68,  0,   0.462,   0.190,   0.053,   0.005,   0.005,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
17:49:25:785, 771901234426145,    0.542,   12.000, 3400,  14.582,   7.759,   2.155,  13.062,   6.913,   1.920, 74,  0,   0.400,   0.234,   0.065,   0.004,   0.006,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
17:49:25:910, 771901599455161,    0.672,   24.000, 3600,  15.413,   9.763,   2.712,  13.877,   8.717,   2.421, 68,  0,   0.368,   0.282,   0.078,   0.026,   0.009,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    2,   0.404
17:49:26:003, 771901848664479,    0.761,   12.000, 3400,  14.247,  11.027,   3.063,  12.561,   9.831,   2.731, 66,  0,   0.459,   0.322,   0.090,   0.018,   0.011,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,   22,   2.033
17:49:26:113, 771902155879321,    0.870,   11.000, 3400,  13.651,  12.521,   3.478,  12.092,  11.154,   3.098, 66,  0,   0.495,   0.377,   0.105,   0.008,   0.011,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    2,   0.000
17:49:26:231, 771902487403520,    0.988,   14.000, 3400,  14.687,  14.255,   3.960,  13.023,  12.692,   3.526, 66,  0,   0.450,   0.430,   0.119,   0.005,   0.012,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
17:49:26:340, 771902794028933,    1.097,   30.000, 3400,  18.428,  16.267,   4.519,  16.888,  14.536,   4.038, 68,  0,   0.407,   0.474,   0.132,   0.015,   0.014,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
17:49:26:449, 771903101003579,    1.207,   49.000, 3400,  22.246,  18.699,   5.194,  20.780,  16.808,   4.669, 66,  0,   0.284,   0.505,   0.140,   0.010,   0.015,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
17:49:26:551, 771903385608374,    1.308,   49.000, 3400,  25.814,  21.315,   5.921,  24.409,  19.282,   5.356, 68,  0,   0.289,   0.535,   0.148,   0.005,   0.015,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
17:49:26:660, 771903692721560,    1.417,   49.000, 3400,  26.317,  24.194,   6.720,  24.644,  21.977,   6.105, 65,  0,   0.284,   0.566,   0.157,   0.003,   0.016,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
17:49:26:770, 771903999756037,    1.527,   49.000, 3400,  24.076,  26.826,   7.452,  22.627,  24.451,   6.792, 66,  0,   0.298,   0.598,   0.166,   0.009,   0.017,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
17:49:26:879, 771904306763688,    1.636,   49.000, 3400,  26.171,  29.688,   8.247,  24.713,  27.153,   7.543, 70,  0,   0.289,   0.630,   0.175,   0.008,   0.018,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
17:49:26:988, 771904613861056,    1.745,   53.000, 3400,  26.748,  32.613,   9.059,  25.002,  29.888,   8.302, 70,  0,   0.371,   0.670,   0.186,   0.035,   0.021,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    4,   0.537
17:49:27:098, 771904920928353,    1.855,   49.000, 3400,  26.166,  35.474,   9.854,  24.721,  32.591,   9.053, 70,  0,   0.282,   0.701,   0.195,   0.005,   0.022,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    3,   0.000
17:49:27:207, 771905228048666,    1.964,   49.000, 3400,  23.139,  38.005,  10.557,  21.448,  34.937,   9.705, 68,  0,   0.290,   0.733,   0.204,   0.011,   0.023,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
17:49:27:316, 771905535096154,    2.073,   51.000, 3400,  24.390,  40.672,  11.298,  22.932,  37.444,  10.401, 69,  0,   0.315,   0.767,   0.213,   0.009,   0.024,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
17:49:27:426, 771905842074289,    2.183,   49.000, 3400,  24.358,  43.335,  12.038,  22.902,  39.948,  11.097, 66,  0,   0.288,   0.799,   0.222,   0.006,   0.025,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
17:49:27:535, 771906149163743,    2.292,   49.000, 3500,  26.474,  46.230,  12.842,  24.796,  42.660,  11.850, 71,  0,   0.282,   0.830,   0.230,   0.005,   0.025,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
17:49:27:644, 771906456152904,    2.401,   50.000, 3400,  24.332,  48.890,  13.581,  22.872,  45.160,  12.545, 72,  0,   0.288,   0.861,   0.239,   0.010,   0.027,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
17:49:27:754, 771906763226991,    2.511,   49.000, 3400,  24.759,  51.598,  14.333,  23.305,  47.709,  13.252, 70,  0,   0.282,   0.892,   0.248,   0.005,   0.027,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
17:49:27:863, 771907070299258,    2.620,   49.000, 3400,  26.232,  54.467,  15.130,  24.546,  50.393,  13.998, 67,  0,   0.286,   0.923,   0.256,   0.004,   0.028,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
17:49:27:972, 771907377360552,    2.730,   53.000, 3400,  25.978,  57.307,  15.919,  24.467,  53.069,  14.741, 66,  0,   0.352,   0.962,   0.267,   0.037,   0.032,   0.009,  45.000,  60.000,   0.000,   0.000,   0.000,    3,   0.458
17:49:28:082, 771907684366518,    2.839,   49.000, 3400,  25.945,  60.144,  16.707,  24.491,  55.746,  15.485, 70,  0,   0.282,   0.993,   0.276,   0.009,   0.033,   0.009,  45.000,  60.000,   0.000,   0.000,   0.000,    3,   0.000
17:49:28:191, 771907991444006,    2.948,   52.000, 3400,  25.722,  62.957,  17.488,  23.985,  58.369,  16.214, 70,  0,   0.429,   1.039,   0.289,   0.005,   0.033,   0.009,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
17:49:28:309, 771908321683330,    3.066,   51.000, 3400,  23.616,  65.734,  18.259,  22.140,  60.973,  16.937, 70,  0,   0.408,   1.088,   0.302,   0.010,   0.034,   0.010,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
17:49:28:418, 771908628770311,    3.175,   49.000, 3400,  23.357,  68.289,  18.969,  21.702,  63.346,  17.596, 72,  0,   0.289,   1.119,   0.311,   0.006,   0.035,   0.010,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
17:49:28:527, 771908935690118,    3.284,   49.000, 3400,  26.078,  71.139,  19.761,  24.606,  66.036,  18.343, 66,  0,   0.283,   1.150,   0.319,   0.008,   0.036,   0.010,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
17:49:28:637, 771909242802634,    3.394,   49.000, 3400,  26.047,  73.988,  20.552,  24.610,  68.727,  19.091, 70,  0,   0.281,   1.181,   0.328,   0.005,   0.036,   0.010,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
17:49:28:746, 771909549816259,    3.503,   49.000, 3400,  26.383,  76.872,  21.353,  24.696,  71.428,  19.841, 72,  0,   0.284,   1.212,   0.337,   0.005,   0.037,   0.010,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
17:49:28:855, 771909856903035,    3.613,   49.000, 3400,  25.477,  79.658,  22.127,  24.026,  74.055,  20.571, 70,  0,   0.287,   1.243,   0.345,   0.009,   0.038,   0.011,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
17:49:28:965, 771910163988982,    3.722,   55.000, 3400,  25.901,  82.491,  22.914,  24.360,  76.719,  21.311, 71,  0,   0.368,   1.283,   0.357,   0.046,   0.043,   0.012,  45.000,  60.000,   0.000,   0.000,   0.000,    4,   0.508
17:49:29:074, 771910470960725,    3.831,   49.000, 3400,  26.328,  85.369,  23.714,  24.630,  79.412,  22.059, 67,  0,   0.290,   1.315,   0.365,   0.007,   0.044,   0.012,  45.000,  60.000,   0.000,   0.000,   0.000,    5,   0.000
17:49:29:183, 771910777999697,    3.941,   49.000, 3400,  26.289,  88.244,  24.512,  24.834,  82.127,  22.813, 72,  0,   0.285,   1.346,   0.374,   0.008,   0.045,   0.012,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
17:49:29:293, 771911085295061,    4.050,   51.000, 3400,  25.070,  90.987,  25.274,  23.442,  84.692,  23.526, 64,  0,   0.428,   1.393,   0.387,   0.088,   0.054,   0.015,  45.000,  60.000,   0.000,   0.000,   0.000,    8,   1.390
