System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
18:14:35:330, 776140043176895,    0.099,   13.000, 3500,  14.285,   1.416,   0.393,  12.708,   1.259,   0.350, 65,  0,   0.466,   0.046,   0.013,   0.026,   0.003,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,   32,   4.296
18:14:35:439, 776140350058708,    0.208,   12.000, 3500,  14.394,   2.989,   0.830,  12.863,   2.665,   0.740, 67,  0,   0.425,   0.093,   0.026,   0.013,   0.004,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:14:35:548, 776140670993242,    0.323,   24.000, 3600,  15.433,   4.753,   1.320,  13.745,   4.236,   1.177, 68,  0,   0.445,   0.144,   0.040,   0.030,   0.008,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    2,   0.383
18:14:35:658, 776140964184748,    0.427,   12.000, 3500,  13.675,   6.181,   1.717,  12.124,   5.502,   1.528, 66,  0,   0.504,   0.196,   0.054,   0.019,   0.010,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,   24,   2.304
18:14:35:767, 776141271214491,    0.536,   12.000, 3600,  14.793,   7.798,   2.166,  13.278,   6.954,   1.932, 74,  0,   0.397,   0.240,   0.067,   0.008,   0.010,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:14:35:876, 776141578369804,    0.646,   12.000, 3600,  15.030,   9.442,   2.623,  13.389,   8.418,   2.338, 73,  0,   0.334,   0.276,   0.077,   0.004,   0.011,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:14:35:986, 776141885293798,    0.755,   14.000, 3600,  14.884,  11.069,   3.075,  13.333,   9.876,   2.743, 73,  0,   0.441,   0.324,   0.090,   0.004,   0.011,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:14:36:095, 776142192583047,    0.865,   12.000, 3600,  13.759,  12.575,   3.493,  12.196,  11.210,   3.114, 68,  0,   0.518,   0.381,   0.106,   0.011,   0.013,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:14:36:205, 776142499497459,    0.974,   12.000, 3500,  14.618,  14.172,   3.937,  12.969,  12.628,   3.508, 72,  0,   0.369,   0.421,   0.117,   0.011,   0.014,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:14:36:321, 776142827696132,    1.091,   35.000, 3400,  22.041,  16.749,   4.652,  20.467,  15.020,   4.172, 69,  0,   0.392,   0.467,   0.130,   0.006,   0.014,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:14:36:431, 776143134508900,    1.200,   49.000, 3400,  26.859,  19.683,   5.468,  25.370,  17.792,   4.942, 70,  0,   0.324,   0.502,   0.140,   0.004,   0.015,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:14:36:540, 776143468682668,    1.319,   63.000, 3500,  25.603,  22.730,   6.314,  24.004,  20.649,   5.736, 70,  0,   0.379,   0.548,   0.152,   0.030,   0.018,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    2,   0.340
18:14:36:649, 776143748721500,    1.419,   50.000, 3400,  26.052,  25.328,   7.036,  24.391,  23.081,   6.411, 73,  0,   0.390,   0.586,   0.163,   0.018,   0.020,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,   19,   1.340
18:14:36:759, 776144055688574,    1.528,   49.000, 3400,  24.643,  28.022,   7.784,  23.182,  25.615,   7.115, 73,  0,   0.318,   0.621,   0.173,   0.004,   0.021,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:14:36:868, 776144362812190,    1.637,   49.000, 3400,  27.472,  31.027,   8.619,  26.004,  28.460,   7.905, 74,  0,   0.328,   0.657,   0.183,   0.008,   0.022,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:14:36:978, 776144669864723,    1.747,   49.000, 3400,  27.778,  34.065,   9.462,  26.051,  31.308,   8.697, 70,  0,   0.322,   0.692,   0.192,   0.007,   0.022,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:14:37:087, 776144976917939,    1.856,   49.000, 3400,  25.960,  36.903,  10.251,  24.472,  33.984,   9.440, 73,  0,   0.325,   0.728,   0.202,   0.004,   0.023,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:14:37:196, 776145284086843,    1.966,   52.000, 3400,  24.158,  39.546,  10.985,  22.607,  36.457,  10.127, 72,  0,   0.480,   0.780,   0.217,   0.008,   0.024,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:14:37:313, 776145612712515,    2.083,   51.000, 3400,  23.748,  42.325,  11.757,  22.017,  39.034,  10.843, 67,  0,   0.760,   0.869,   0.241,   0.008,   0.025,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:14:37:376, 776145826653178,    2.159,   30.000, 3400,  17.103,  43.628,  12.119,  15.168,  40.190,  11.164, 62,  0,   0.823,   0.932,   0.259,   0.016,   0.026,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000

Total Elapsed Time (sec) = 2.158742
Measured RDTSC Frequency (GHz) = 2.808

Cumulative Processor Energy_0 (Joules) = 43.628296
Cumulative Processor Energy_0 (mWh) = 12.118971
Average Processor Power_0 (Watt) = 20.210059

Cumulative IA Energy_0 (Joules) = 40.189575
Cumulative IA Energy_0 (mWh) = 11.163771
Average IA Power_0 (Watt) = 18.617131

Cumulative DRAM Energy_0 (Joules) = 0.932007
Cumulative DRAM Energy_0 (mWh) = 0.258891
Average DRAM Power_0 (Watt) = 0.431736

Cumulative GT Energy_0 (Joules) = 0.025879
Cumulative GT Energy_0 (mWh) = 0.007189
Average GT Power_0 (Watt) = 0.011988
