System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
18:03:36:323, 774289549619163,    0.113,   13.000, 3600,  14.651,   1.657,   0.460,  13.026,   1.473,   0.409, 70,  0,   0.479,   0.054,   0.015,   0.048,   0.005,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,   30,   4.116
18:03:36:432, 774289856616500,    0.222,   12.000, 3600,  14.384,   3.230,   0.897,  12.836,   2.877,   0.799, 68,  0,   0.438,   0.102,   0.028,   0.011,   0.007,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:03:36:542, 774290163658741,    0.332,   12.000, 3600,  14.592,   4.825,   1.340,  13.089,   4.308,   1.197, 72,  0,   0.401,   0.146,   0.041,   0.005,   0.007,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:03:36:667, 774290525733849,    0.461,   24.000, 3600,  15.236,   6.790,   1.886,  13.630,   6.065,   1.685, 70,  0,   0.484,   0.208,   0.058,   0.024,   0.010,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    2,   0.352
18:03:36:760, 774290777682426,    0.550,   12.000, 3600,  14.961,   8.132,   2.259,  13.276,   7.257,   2.016, 75,  0,   0.428,   0.247,   0.069,   0.020,   0.012,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,   18,   1.172
18:03:36:870, 774291084779617,    0.660,   12.000, 3600,  14.415,   9.709,   2.697,  12.893,   8.667,   2.407, 75,  0,   0.342,   0.284,   0.079,   0.005,   0.013,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:03:36:979, 774291391835285,    0.769,   12.000, 3500,  14.463,  11.290,   3.136,  12.801,  10.067,   2.796, 73,  0,   0.431,   0.331,   0.092,   0.003,   0.013,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:03:37:088, 774291698856281,    0.878,   12.000, 3600,  13.823,  12.802,   3.556,  12.256,  11.407,   3.168, 75,  0,   0.509,   0.387,   0.107,   0.011,   0.014,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:03:37:198, 774292006071167,    0.988,   12.000, 3600,  14.754,  14.416,   4.004,  13.080,  12.838,   3.566, 76,  0,   0.404,   0.431,   0.120,   0.007,   0.015,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:03:37:307, 774292312964837,    1.097,   43.000, 3400,  24.552,  17.099,   4.750,  23.022,  15.354,   4.265, 72,  0,   0.515,   0.487,   0.135,   0.008,   0.016,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:03:37:417, 774292620054235,    1.207,   50.000, 3400,  27.950,  20.156,   5.599,  26.390,  18.240,   5.067, 71,  0,   0.541,   0.547,   0.152,   0.003,   0.016,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:03:37:526, 774292926949726,    1.316,   49.000, 3400,  28.960,  23.321,   6.478,  27.140,  21.206,   5.891, 74,  0,   0.545,   0.606,   0.168,   0.011,   0.017,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:03:37:635, 774293233979768,    1.425,   49.000, 3400,  28.757,  26.465,   7.351,  27.203,  24.180,   6.717, 74,  0,   0.550,   0.666,   0.185,   0.004,   0.018,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:03:37:745, 774293541279277,    1.535,   53.000, 3400,  26.211,  29.334,   8.148,  24.588,  26.871,   7.464, 75,  0,   0.611,   0.733,   0.204,   0.041,   0.022,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    4,   0.483
18:03:37:854, 774293848241230,    1.644,   49.000, 3500,  27.707,  32.363,   8.990,  25.899,  29.702,   8.251, 75,  0,   0.537,   0.792,   0.220,   0.003,   0.022,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    2,   0.000
18:03:37:963, 774294155217291,    1.753,   49.000, 3400,  28.892,  35.521,   9.867,  27.329,  32.690,   9.081, 76,  0,   0.536,   0.850,   0.236,   0.008,   0.023,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:03:38:073, 774294462468649,    1.863,   54.000, 3400,  29.038,  38.698,  10.750,  27.455,  35.694,   9.915, 70,  0,   0.745,   0.932,   0.259,   0.005,   0.024,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:03:38:182, 774294769368845,    1.972,   49.000, 3400,  29.419,  41.914,  11.643,  27.558,  38.706,  10.752, 75,  0,   0.559,   0.993,   0.276,   0.006,   0.025,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:03:38:291, 774295076319992,    2.081,   50.000, 3400,  25.718,  44.725,  12.424,  24.120,  41.343,  11.484, 70,  0,   0.543,   1.052,   0.292,   0.009,   0.026,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:03:38:401, 774295383489773,    2.191,   49.000, 3400,  28.847,  47.881,  13.300,  27.301,  44.329,  12.314, 75,  0,   0.554,   1.113,   0.309,   0.004,   0.026,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:03:38:510, 774295690456759,    2.300,   50.000, 3400,  29.217,  51.075,  14.187,  27.373,  47.322,  13.145, 75,  0,   0.585,   1.177,   0.327,   0.005,   0.027,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:03:38:619, 774295997599624,    2.409,   49.000, 3400,  28.802,  54.225,  15.063,  27.257,  50.303,  13.973, 76,  0,   0.548,   1.237,   0.344,   0.010,   0.028,   0.008,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:03:38:729, 774296304506705,    2.519,   55.000, 3400,  27.220,  57.200,  15.889,  25.538,  53.094,  14.748, 72,  0,   0.619,   1.305,   0.362,   0.042,   0.032,   0.009,  45.000,  60.000,   0.000,   0.000,   0.000,    3,   0.491
18:03:38:838, 774296611671873,    2.628,   49.000, 3400,  29.347,  60.411,  16.781,  27.537,  56.107,  15.585, 72,  0,   0.551,   1.365,   0.379,   0.008,   0.033,   0.009,  45.000,  60.000,   0.000,   0.000,   0.000,    3,   0.000
18:03:38:947, 774296918840157,    2.737,   49.000, 3400,  28.653,  63.545,  17.651,  27.112,  59.072,  16.409, 75,  0,   0.537,   1.424,   0.395,   0.009,   0.034,   0.009,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:03:39:057, 774297225715649,    2.847,   49.000, 3400,  25.665,  66.350,  18.431,  24.059,  61.702,  17.139, 74,  0,   0.523,   1.481,   0.411,   0.011,   0.035,   0.010,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:03:39:166, 774297532932723,    2.956,   49.000, 3400,  29.173,  69.542,  19.317,  27.384,  64.698,  17.972, 75,  0,   0.539,   1.540,   0.428,   0.006,   0.036,   0.010,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:03:39:275, 774297839934444,    3.065,   50.000, 3400,  29.031,  72.716,  20.199,  27.452,  67.699,  18.805, 76,  0,   0.558,   1.601,   0.445,   0.006,   0.036,   0.010,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:03:39:385, 774298146897191,    3.175,   49.000, 3400,  28.599,  75.842,  21.067,  27.059,  70.657,  19.627, 71,  0,   0.528,   1.658,   0.461,   0.004,   0.037,   0.010,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:03:39:494, 774298454060852,    3.284,   50.000, 3400,  27.569,  78.858,  21.905,  25.733,  73.472,  20.409, 75,  0,   0.546,   1.718,   0.477,   0.005,   0.037,   0.010,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
