System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
18:04:54:330, 774508593903009,    0.113,   13.000, 3600,  14.497,   1.640,   0.456,  12.908,   1.461,   0.406, 68,  0,   0.470,   0.053,   0.015,   0.043,   0.005,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,   27,   3.656
18:04:54:440, 774508900982498,    0.223,   12.000, 3400,  14.316,   3.206,   0.891,  12.794,   2.860,   0.794, 67,  0,   0.438,   0.101,   0.028,   0.004,   0.005,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:04:54:549, 774509207955676,    0.332,   12.000, 3500,  14.772,   4.821,   1.339,  13.127,   4.295,   1.193, 74,  0,   0.401,   0.145,   0.040,   0.004,   0.006,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:04:54:658, 774509515086029,    0.441,   12.000, 3600,  14.561,   6.413,   1.782,  13.022,   5.719,   1.589, 72,  0,   0.466,   0.196,   0.054,   0.009,   0.007,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:04:54:760, 774509801565124,    0.543,   14.000, 3600,  15.288,   7.973,   2.215,  13.710,   7.118,   1.977, 74,  0,   0.424,   0.239,   0.066,   0.007,   0.007,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:04:54:870, 774510108659671,    0.653,   15.000, 3600,  15.639,   9.683,   2.690,  13.960,   8.644,   2.401, 74,  0,   0.398,   0.283,   0.079,   0.028,   0.010,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    3,   0.461
18:04:54:979, 774510415722258,    0.762,   12.000, 3400,  14.565,  11.276,   3.132,  13.028,  10.069,   2.797, 72,  0,   0.429,   0.330,   0.092,   0.005,   0.011,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    2,   0.000
18:04:55:088, 774510722803071,    0.871,   12.000, 3600,  13.799,  12.785,   3.551,  12.239,  11.408,   3.169, 72,  0,   0.515,   0.386,   0.107,   0.012,   0.012,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:04:55:198, 774511029968658,    0.981,   12.000, 3600,  14.891,  14.414,   4.004,  13.238,  12.856,   3.571, 73,  0,   0.381,   0.427,   0.119,   0.008,   0.013,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:04:55:307, 774511336782426,    1.090,   37.000, 3500,  20.765,  16.683,   4.634,  19.194,  14.953,   4.154, 69,  0,   0.535,   0.486,   0.135,   0.008,   0.014,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:04:55:416, 774511643907600,    1.199,   50.000, 3400,  28.045,  19.751,   5.486,  26.538,  17.855,   4.960, 70,  0,   0.565,   0.548,   0.152,   0.009,   0.015,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:04:55:526, 774511950925395,    1.309,   50.000, 3400,  28.062,  22.819,   6.339,  26.214,  20.722,   5.756, 71,  0,   0.615,   0.615,   0.171,   0.012,   0.016,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:04:55:635, 774512258053555,    1.418,   49.000, 3400,  25.942,  25.656,   7.127,  24.397,  23.390,   6.497, 73,  0,   0.530,   0.673,   0.187,   0.006,   0.017,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:04:55:744, 774512564985436,    1.527,   49.000, 3400,  28.381,  28.758,   7.988,  26.825,  26.322,   7.312, 68,  0,   0.572,   0.735,   0.204,   0.006,   0.018,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:04:55:854, 774512871952415,    1.637,   53.000, 3400,  25.213,  31.515,   8.754,  23.341,  28.874,   8.020, 69,  0,   0.627,   0.804,   0.223,   0.041,   0.022,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    3,   0.413
18:04:55:963, 774513179009641,    1.746,   49.000, 3400,  26.443,  34.406,   9.557,  24.848,  31.591,   8.775, 71,  0,   0.568,   0.866,   0.241,   0.005,   0.023,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    3,   0.000
18:04:56:072, 774513486135293,    1.855,   51.000, 3400,  28.294,  37.501,  10.417,  26.714,  34.513,   9.587, 71,  0,   0.604,   0.932,   0.259,   0.006,   0.023,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
