System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
18:05:31:296, 774612395220684,    0.098,   13.000, 3400,  13.954,   1.361,   0.378,  12.431,   1.213,   0.337, 62,  0,   0.450,   0.044,   0.012,   0.033,   0.003,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,   33,   3.485
18:05:31:406, 774612702500837,    0.207,   12.000, 3500,  14.556,   2.954,   0.821,  12.923,   2.627,   0.730, 67,  0,   0.419,   0.090,   0.025,   0.008,   0.004,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:05:31:515, 774613009447470,    0.316,   12.000, 3500,  14.636,   4.554,   1.265,  13.089,   4.058,   1.127, 70,  0,   0.429,   0.137,   0.038,   0.012,   0.005,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:05:31:624, 774613316617480,    0.426,   13.000, 3500,  14.782,   6.171,   1.714,  13.255,   5.508,   1.530, 72,  0,   0.476,   0.189,   0.052,   0.004,   0.006,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:05:31:734, 774613623556585,    0.535,   12.000, 3500,  14.878,   7.797,   2.166,  13.223,   6.953,   1.931, 76,  0,   0.399,   0.232,   0.065,   0.007,   0.007,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:05:31:843, 774613930706512,    0.644,   16.000, 3600,  15.711,   9.516,   2.643,  14.162,   8.502,   2.362, 73,  0,   0.387,   0.275,   0.076,   0.045,   0.011,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    4,   0.584
18:05:31:952, 774614237657344,    0.754,   12.000, 3500,  14.352,  11.085,   3.079,  12.804,   9.902,   2.751, 73,  0,   0.407,   0.319,   0.089,   0.011,   0.013,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    4,   0.000
18:05:32:062, 774614544731848,    0.863,   12.000, 3500,  14.069,  12.623,   3.507,  12.365,  11.254,   3.126, 68,  0,   0.540,   0.378,   0.105,   0.005,   0.013,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:05:32:171, 774614851759883,    0.972,   12.000, 3400,  14.502,  14.209,   3.947,  12.989,  12.674,   3.521, 72,  0,   0.361,   0.418,   0.116,   0.004,   0.014,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:05:32:281, 774615158616175,    1.082,   33.000, 3400,  19.357,  16.324,   4.535,  17.784,  14.618,   4.060, 64,  0,   0.671,   0.491,   0.136,   0.013,   0.015,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:05:32:390, 774615465771944,    1.191,   49.000, 3400,  25.117,  19.072,   5.298,  23.164,  17.151,   4.764, 65,  0,   1.065,   0.608,   0.169,   0.009,   0.016,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
