System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
18:03:25:364, 774258777466726,    0.114,   13.000, 3400,  14.809,   1.689,   0.469,  13.063,   1.490,   0.414, 71,  0,   0.483,   0.055,   0.015,   0.056,   0.006,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,   32,   4.576
18:03:25:474, 774259084398702,    0.223,   12.000, 3600,  14.397,   3.263,   0.906,  12.861,   2.896,   0.804, 70,  0,   0.435,   0.103,   0.029,   0.006,   0.007,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:03:25:583, 774259391464665,    0.333,   12.000, 3600,  14.829,   4.885,   1.357,  13.299,   4.350,   1.208, 76,  0,   0.411,   0.148,   0.041,   0.014,   0.009,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:03:25:692, 774259698495517,    0.442,   17.000, 3600,  15.221,   6.549,   1.819,  13.466,   5.823,   1.617, 72,  0,   0.535,   0.206,   0.057,   0.045,   0.013,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    4,   0.567
18:03:25:802, 774260005512442,    0.551,   12.000, 3400,  14.800,   8.167,   2.269,  13.271,   7.274,   2.020, 74,  0,   0.375,   0.247,   0.069,   0.005,   0.014,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    6,   0.000
18:03:25:911, 774260312735018,    0.661,   12.000, 3500,  14.378,   9.740,   2.706,  12.866,   8.681,   2.411, 75,  0,   0.370,   0.287,   0.080,   0.004,   0.014,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:03:26:020, 774260619777895,    0.770,   12.000, 3600,  14.530,  11.329,   3.147,  12.864,  10.088,   2.802, 73,  0,   0.419,   0.333,   0.093,   0.004,   0.015,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:03:26:130, 774260926738640,    0.879,   12.000, 3600,  13.919,  12.851,   3.570,  12.345,  11.438,   3.177, 77,  0,   0.485,   0.386,   0.107,   0.008,   0.016,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:03:26:239, 774261233637699,    0.989,   13.000, 3400,  14.360,  14.420,   4.006,  12.863,  12.843,   3.568, 68,  0,   0.429,   0.433,   0.120,   0.004,   0.016,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:03:26:356, 774261562095289,    1.106,   50.000, 3400,  25.808,  17.439,   4.844,  24.254,  15.680,   4.356, 72,  0,   0.328,   0.471,   0.131,   0.009,   0.017,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:03:26:465, 774261869130612,    1.215,   53.000, 3400,  25.788,  20.258,   5.627,  24.087,  18.314,   5.087, 73,  0,   0.367,   0.512,   0.142,   0.006,   0.018,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:03:26:575, 774262176161540,    1.324,   49.000, 3400,  27.199,  23.232,   6.453,  25.719,  21.126,   5.868, 69,  0,   0.309,   0.545,   0.152,   0.009,   0.019,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:03:26:684, 774262483235730,    1.434,   61.000, 3400,  26.947,  26.179,   7.272,  25.403,  23.904,   6.640, 69,  0,   0.364,   0.585,   0.163,   0.030,   0.022,   0.006,  45.000,  60.000,   0.000,   0.000,   0.000,    2,   0.330
18:03:26:793, 774262790372641,    1.543,   49.000, 3400,  26.987,  29.131,   8.092,  25.276,  26.669,   7.408, 74,  0,   0.348,   0.623,   0.173,   0.013,   0.024,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,   22,   1.823
18:03:26:903, 774263097298641,    1.652,   49.000, 3400,  25.835,  31.955,   8.876,  24.340,  29.329,   8.147, 73,  0,   0.312,   0.657,   0.183,   0.004,   0.024,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:03:27:012, 774263404413302,    1.762,   49.000, 3400,  24.823,  34.670,   9.631,  23.358,  31.884,   8.857, 74,  0,   0.304,   0.691,   0.192,   0.006,   0.025,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:03:27:121, 774263711411016,    1.871,   49.000, 3400,  26.171,  37.531,  10.425,  24.453,  34.558,   9.599, 75,  0,   0.306,   0.724,   0.201,   0.005,   0.025,   0.007,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
