System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
18:10:26:309, 775440791551188,    0.112,   13.000, 3600,  14.432,   1.612,   0.448,  12.792,   1.429,   0.397, 68,  0,   0.463,   0.052,   0.014,   0.030,   0.003,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,   36,   4.782
18:10:26:418, 775441098666738,    0.221,   11.000, 3600,  14.151,   3.160,   0.878,  12.635,   2.811,   0.781, 66,  0,   0.424,   0.098,   0.027,   0.004,   0.004,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:10:26:528, 775441405606873,    0.330,   12.000, 3600,  14.890,   4.787,   1.330,  13.370,   4.272,   1.187, 74,  0,   0.417,   0.144,   0.040,   0.009,   0.005,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:10:26:637, 775441712757910,    0.440,   12.000, 3600,  14.707,   6.396,   1.777,  13.034,   5.698,   1.583, 72,  0,   0.464,   0.194,   0.054,   0.005,   0.005,   0.001,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:10:26:746, 775442019725112,    0.549,   12.000, 3600,  14.921,   8.027,   2.230,  13.404,   7.163,   1.990, 73,  0,   0.363,   0.234,   0.065,   0.004,   0.006,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:10:26:864, 775442350400612,    0.667,   14.000, 3500,  15.399,   9.841,   2.733,  13.798,   8.788,   2.441, 72,  0,   0.401,   0.281,   0.078,   0.011,   0.007,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:10:26:973, 775442657665979,    0.776,   12.000, 3500,  14.423,  11.419,   3.172,  12.886,  10.198,   2.833, 70,  0,   0.421,   0.327,   0.091,   0.010,   0.008,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:10:27:083, 775442964554540,    0.886,   12.000, 3400,  14.279,  12.979,   3.605,  12.598,  11.575,   3.215, 75,  0,   0.474,   0.379,   0.105,   0.004,   0.009,   0.002,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:10:27:192, 775443271690953,    0.995,   21.000, 3400,  15.513,  14.676,   4.077,  13.952,  13.101,   3.639, 66,  0,   0.503,   0.434,   0.121,   0.033,   0.012,   0.003,  45.000,  60.000,   0.000,   0.000,   0.000,    3,   0.502
18:10:27:301, 775443578678573,    1.104,   50.000, 3400,  25.743,  17.490,   4.858,  24.031,  15.728,   4.369, 65,  0,   1.003,   0.544,   0.151,   0.006,   0.013,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,   10,   0.000
18:10:27:411, 775443885660080,    1.214,   49.000, 3400,  26.552,  20.393,   5.665,  24.576,  18.415,   5.115, 65,  0,   1.110,   0.665,   0.185,   0.006,   0.014,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    0,   0.000
18:10:27:520, 775444192948204,    1.323,   51.000, 3400,  26.275,  23.269,   6.464,  24.540,  21.100,   5.861, 66,  0,   1.127,   0.789,   0.219,   0.009,   0.015,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,  157,   0.000
18:10:27:637, 775444521288915,    1.440,   59.000, 3400,  24.998,  26.192,   7.275,  23.068,  23.798,   6.611, 68,  0,   1.278,   0.938,   0.261,   0.010,   0.016,   0.004,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
18:10:27:746, 775444828747113,    1.549,   49.000, 3400,  26.238,  29.064,   8.073,  24.262,  26.454,   7.348, 66,  0,   1.085,   1.057,   0.294,   0.009,   0.017,   0.005,  45.000,  60.000,   0.000,   0.000,   0.000,    1,   0.000
