System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
00:25:21:350, 48250087080447,    0.173,   15.000, 3700,  20.877,   3.609,   1.002,  19.260,   3.330,   0.925, 65,  0,   0.741,   0.128,   0.036,   0.190,   0.033,   0.009,  30.000,  44.000,  71.000,   0.000,   0.000,   41,   2.628
00:25:21:459, 48250283469052,    0.282,   16.000, 3700,  17.088,   5.473,   1.520,  16.168,   5.094,   1.415, 65,  0,   0.735,   0.208,   0.058,   0.013,   0.034,   0.010,  30.000,  44.000,  71.000,   0.000,   0.000,    7,   0.000
00:25:21:568, 48250481083801,    0.392,   12.000, 3800,  20.817,   7.759,   2.155,  19.951,   7.284,   2.023, 70,  0,   0.466,   0.259,   0.072,   0.022,   0.037,   0.010,  30.000,  44.000,  71.000,   0.000,   0.000,    4,   0.000
00:25:21:682, 48250685528544,    0.505,   17.000, 3700,  17.584,   9.756,   2.710,  16.653,   9.175,   2.549, 68,  0,   0.651,   0.333,   0.093,   0.019,   0.039,   0.011,  30.000,  44.000,  71.000,   0.000,   0.000,    4,   0.000
00:25:21:793, 48250885698241,    0.617,   12.000, 3800,  15.829,  11.516,   3.199,  15.067,  10.851,   3.014, 65,  0,   0.463,   0.385,   0.107,   0.017,   0.041,   0.011,  30.000,  44.000,  71.000,   0.000,   0.000,    4,   0.000
00:25:21:902, 48251081851544,    0.726,   11.000, 3700,  16.110,  13.272,   3.687,  15.187,  12.506,   3.474, 68,  0,   0.483,   0.438,   0.122,   0.015,   0.042,   0.012,  30.000,  44.000,  71.000,   0.000,   0.000,    4,   0.000
00:25:22:012, 48251279204728,    0.835,   11.000, 3700,  16.172,  15.045,   4.179,  15.425,  14.197,   3.944, 68,  0,   0.467,   0.489,   0.136,   0.005,   0.043,   0.012,  30.000,  44.000,  71.000,   0.000,   0.000,    3,   0.000
00:25:22:126, 48251485648878,    0.950,   12.000, 3800,  15.708,  16.846,   4.680,  15.000,  15.918,   4.422, 75,  0,   0.392,   0.534,   0.148,   0.016,   0.045,   0.012,  30.000,  44.000,  71.000,   0.000,   0.000,    4,   0.000
00:25:22:222, 48251657948476,    1.046,   12.000, 3700,  16.198,  18.397,   5.110,  15.417,  17.393,   4.831, 66,  0,   0.491,   0.581,   0.161,   0.017,   0.046,   0.013,  30.000,  44.000,  71.000,   0.000,   0.000,    3,   0.000
00:25:22:341, 48251871350057,    1.164,   23.000, 3700,  23.759,  21.214,   5.893,  22.939,  20.113,   5.587, 62,  0,   0.579,   0.649,   0.180,   0.054,   0.053,   0.015,  30.000,  44.000,  71.000,   0.000,   0.000,    7,   0.371
00:25:22:451, 48252070271055,    1.275,   23.000, 3700,  33.729,  24.941,   6.928,  32.962,  23.755,   6.599, 63,  0,   0.430,   0.697,   0.194,   0.014,   0.054,   0.015,  30.000,  44.000,  71.000,   0.000,   0.000,    9,   0.000
00:25:22:562, 48252269068306,    1.385,   23.000, 3700,  34.035,  28.700,   7.972,  33.276,  27.430,   7.620, 65,  0,   0.406,   0.742,   0.206,   0.013,   0.056,   0.015,  30.000,  44.000,  71.000,   0.000,   0.000,    4,   0.000
00:25:22:673, 48252469828595,    1.497,   23.000, 3700,  32.879,  32.367,   8.991,  31.952,  30.994,   8.610, 64,  0,   0.430,   0.790,   0.219,   0.013,   0.057,   0.016,  30.000,  44.000,  71.000,   0.000,   0.000,    4,   0.000
00:25:22:769, 48252641521426,    1.592,   24.000, 3700,  38.378,  36.028,  10.008,  37.815,  34.601,   9.611, 65,  0,   0.413,   0.829,   0.230,   0.027,   0.060,   0.017,  30.000,  44.000,  71.000,   0.000,   0.000,    4,   0.000
00:25:22:880, 48252842782755,    1.704,   23.000, 3700,  35.401,  39.986,  11.107,  34.481,  38.457,  10.682, 64,  0,   0.430,   0.877,   0.244,   0.015,   0.061,   0.017,  30.000,  44.000,  71.000,   0.000,   0.000,    4,   0.000
00:25:22:991, 48253041969106,    1.814,   22.000, 3700,  33.629,  43.708,  12.141,  32.821,  42.088,  11.691, 65,  0,   0.402,   0.922,   0.256,   0.018,   0.063,   0.018,  30.000,  44.000,  71.000,   0.000,   0.000,    4,   0.000
00:25:23:101, 48253239022816,    1.924,   22.000, 3700,  31.445,  47.150,  13.097,  30.747,  45.454,  12.626, 66,  0,   0.399,   0.965,   0.268,   0.022,   0.066,   0.018,  30.000,  44.000,  71.000,   0.000,   0.000,    3,   0.000
00:25:23:213, 48253440818655,    2.036,   23.000, 3700,  34.234,  50.988,  14.163,  33.332,  49.191,  13.664, 64,  0,   0.411,   1.011,   0.281,   0.036,   0.070,   0.019,  30.000,  44.000,  71.000,   0.000,   0.000,  545,   0.000
00:25:23:323, 48253640210616,    2.147,   29.000, 3700,  37.736,  55.168,  15.324,  36.941,  53.283,  14.801, 67,  0,   0.528,   1.070,   0.297,   0.052,   0.075,   0.021,  30.000,  44.000,  71.000,   0.000,   0.000,    5,   0.195
00:25:23:434, 48253839632722,    2.258,   23.000, 3700,  34.984,  59.044,  16.401,  34.049,  57.056,  15.849, 66,  0,   0.423,   1.117,   0.310,   0.013,   0.077,   0.021,  30.000,  44.000,  71.000,   0.000,   0.000,   16,   0.000
00:25:23:546, 48254041332575,    2.370,   22.000, 3700,  32.985,  62.740,  17.428,  32.143,  60.657,  16.849, 67,  0,   0.409,   1.163,   0.323,   0.019,   0.079,   0.022,  30.000,  44.000,  71.000,   0.000,   0.000,    5,   0.000
00:25:23:657, 48254240278257,    2.480,   23.000, 3700,  32.844,  66.370,  18.436,  32.051,  64.200,  17.833, 67,  0,   0.429,   1.210,   0.336,   0.016,   0.081,   0.022,  30.000,  44.000,  71.000,   0.000,   0.000,    5,   0.000
00:25:23:766, 48254437061018,    2.590,   22.000, 3700,  31.652,  69.831,  19.397,  30.939,  67.582,  18.773, 66,  0,   0.404,   1.254,   0.348,   0.008,   0.082,   0.023,  30.000,  44.000,  71.000,   0.000,   0.000,    5,   0.000
00:25:23:877, 48254636242704,    2.700,   23.000, 3700,  37.819,  74.015,  20.560,  36.932,  71.669,  19.908, 66,  0,   0.408,   1.299,   0.361,   0.014,   0.083,   0.023,  30.000,  44.000,  71.000,   0.000,   0.000,    3,   0.000
00:25:23:987, 48254834406620,    2.810,   24.000, 3700,  38.002,  78.199,  21.722,  37.233,  75.768,  21.047, 68,  0,   0.416,   1.345,   0.374,   0.013,   0.084,   0.023,  30.000,  44.000,  71.000,   0.000,   0.000,    3,   0.000
00:25:24:099, 48255035490622,    2.922,   25.000, 3700,  43.251,  83.031,  23.064,  42.754,  80.544,  22.373, 67,  0,   0.428,   1.393,   0.387,   0.008,   0.085,   0.024,  30.000,  44.000,  71.000,   0.000,   0.000,    4,   0.000
00:25:24:209, 48255234504337,    3.033,   23.000, 3700,  35.471,  86.953,  24.153,  34.438,  84.352,  23.431, 67,  0,   0.409,   1.438,   0.399,   0.018,   0.087,   0.024,  30.000,  44.000,  71.000,   0.000,   0.000,    4,   0.000
00:25:24:320, 48255434621776,    3.144,   29.000, 3700,  25.092,  89.742,  24.928,  24.261,  87.049,  24.180, 69,  0,   0.515,   1.495,   0.415,   0.029,   0.091,   0.025,  30.000,  44.000,  71.000,   0.000,   0.000,    6,   0.336
