System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
00:25:29:340, 48264470331162,    0.173,   21.000, 3800,  19.451,   3.367,   0.935,  18.394,   3.184,   0.885, 62,  0,   0.668,   0.116,   0.032,   0.093,   0.016,   0.004,  30.000,  44.000,  71.000,   0.000,   0.000,   16,   1.025
00:25:29:451, 48264669259049,    0.284,   12.000, 3700,  17.012,   5.247,   1.458,  16.083,   4.962,   1.378, 63,  0,   0.559,   0.177,   0.049,   0.022,   0.019,   0.005,  30.000,  44.000,  71.000,   0.000,   0.000,   10,   0.236
00:25:29:561, 48264867703743,    0.394,   14.000, 3700,  17.102,   7.133,   1.981,  16.145,   6.742,   1.873, 64,  0,   0.713,   0.256,   0.071,   0.030,   0.022,   0.006,  30.000,  44.000,  71.000,   0.000,   0.000,  659,   0.000
00:25:29:673, 48265069428336,    0.506,   12.000, 3700,  15.541,   8.875,   2.465,  14.676,   8.387,   2.330, 63,  0,   0.556,   0.318,   0.088,   0.015,   0.024,   0.007,  30.000,  44.000,  71.000,   0.000,   0.000,    4,   0.000
00:25:29:783, 48265267259564,    0.616,   12.000, 3700,  15.583,  10.587,   2.941,  14.846,  10.018,   2.783, 64,  0,   0.443,   0.367,   0.102,   0.013,   0.025,   0.007,  30.000,  44.000,  71.000,   0.000,   0.000,    3,   0.000
00:25:29:892, 48265463378750,    0.725,   12.000, 3800,  16.212,  12.354,   3.432,  15.387,  11.695,   3.249, 66,  0,   0.461,   0.417,   0.116,   0.030,   0.028,   0.008,  30.000,  44.000,  71.000,   0.000,   0.000,  656,   0.000
00:25:30:000, 48265658152941,    0.833,   12.000, 3800,  15.813,  14.065,   3.907,  15.019,  13.320,   3.700, 64,  0,   0.468,   0.468,   0.130,   0.012,   0.030,   0.008,  30.000,  44.000,  71.000,   0.000,   0.000,    3,   0.000
00:25:30:112, 48265860435381,    0.945,   12.000, 3700,  19.050,  16.206,   4.502,  18.181,  15.363,   4.268, 72,  0,   0.396,   0.512,   0.142,   0.011,   0.031,   0.009,  30.000,  44.000,  71.000,   0.000,   0.000,    3,   0.000
00:25:30:228, 48266069046183,    1.061,   12.000, 3700,  15.730,  18.029,   5.008,  14.936,  17.094,   4.748, 64,  0,   0.487,   0.569,   0.158,   0.011,   0.032,   0.009,  30.000,  44.000,  71.000,   0.000,   0.000,    3,   0.000
00:25:30:345, 48266278127411,    1.177,   39.000, 3700,  24.994,  20.932,   5.814,  24.037,  19.886,   5.524, 64,  0,   0.819,   0.664,   0.184,   0.006,   0.033,   0.009,  30.000,  44.000,  71.000,   0.000,   0.000,    3,   0.000
