System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
00:55:29:415, 51504608504501,    0.184,   14.000, 3700,  19.222,   3.532,   0.981,  17.818,   3.274,   0.909, 70,  0,   0.640,   0.117,   0.033,   0.102,   0.019,   0.005,  30.000,  44.000,  71.000,   0.000,   0.000,   36,   2.286
00:55:29:531, 51504816070523,    0.299,   15.000, 3700,  20.256,   5.867,   1.630,  19.257,   5.494,   1.526, 71,  0,   0.584,   0.185,   0.051,   0.055,   0.025,   0.007,  30.000,  44.000,  71.000,   0.000,   0.000,    8,   0.366
00:55:29:646, 51505022922212,    0.414,   12.000, 3700,  15.830,   7.687,   2.135,  15.141,   7.234,   2.009, 66,  0,   0.471,   0.239,   0.066,   0.011,   0.026,   0.007,  30.000,  44.000,  71.000,   0.000,   0.000,    6,   0.000
00:55:29:759, 51505227616558,    0.528,   14.000, 3700,  16.396,   9.551,   2.653,  15.310,   8.975,   2.493, 75,  0,   0.786,   0.328,   0.091,   0.013,   0.028,   0.008,  30.000,  44.000,  71.000,   0.000,   0.000,    3,   0.000
00:55:29:875, 51505436189616,    0.644,   12.000, 3700,  18.798,  11.729,   3.258,  17.985,  11.059,   3.072, 65,  0,   0.442,   0.380,   0.105,   0.009,   0.029,   0.008,  30.000,  44.000,  71.000,   0.000,   0.000,    3,   0.000
00:55:29:978, 51505621673468,    0.747,   12.000, 3700,  15.516,  13.328,   3.702,  14.742,  12.578,   3.494, 72,  0,   0.466,   0.428,   0.119,   0.012,   0.030,   0.008,  30.000,  44.000,  71.000,   0.000,   0.000,    3,   0.000
00:55:30:086, 51505815105913,    0.854,   11.000, 3700,  15.839,  15.030,   4.175,  15.033,  14.194,   3.943, 76,  0,   0.441,   0.475,   0.132,   0.007,   0.031,   0.009,  30.000,  44.000,  71.000,   0.000,   0.000,    3,   0.000
00:55:30:191, 51506004944032,    0.960,   12.000, 3700,  15.346,  16.649,   4.625,  14.586,  15.732,   4.370, 68,  0,   0.404,   0.518,   0.144,   0.014,   0.032,   0.009,  30.000,  44.000,  71.000,   0.000,   0.000,    3,   0.000
00:55:30:321, 51506237889609,    1.089,   14.000, 3800,  16.001,  18.719,   5.200,  15.359,  17.720,   4.922, 64,  0,   0.574,   0.592,   0.164,   0.011,   0.034,   0.009,  30.000,  44.000,  71.000,   0.000,   0.000,    3,   0.000
00:55:30:429, 51506431870136,    1.197,   30.000, 3700,  25.062,  21.420,   5.950,  23.317,  20.233,   5.620, 69,  0,   1.509,   0.755,   0.210,   0.028,   0.037,   0.010,  30.000,  44.000,  71.000,   0.000,   0.000,  633,   0.000
00:55:30:544, 51506639298612,    1.312,   35.000, 3400,  24.567,  24.251,   6.736,  22.902,  22.872,   6.353, 68,  0,   1.730,   0.954,   0.265,   0.049,   0.042,   0.012,  30.000,  44.000,  71.000,   0.000,   0.000,    8,   0.360
00:55:30:645, 51506821505556,    1.413,   34.000, 3300,  25.004,  26.782,   7.440,  23.126,  25.213,   7.004, 66,  0,   1.831,   1.139,   0.316,   0.022,   0.045,   0.012,  30.000,  44.000,  71.000,   0.000,   0.000,    7,   0.000
00:55:30:770, 51507045755669,    1.538,   28.000, 3300,  22.598,  29.598,   8.222,  21.191,  27.853,   7.737, 61,  0,   1.548,   1.332,   0.370,   0.020,   0.047,   0.013,  30.000,  44.000,  71.000,   0.000,   0.000,    5,   0.000
00:55:30:891, 51507263456849,    1.659,   29.000, 3500,  24.747,  32.591,   9.053,  23.295,  30.670,   8.519, 70,  0,   1.583,   1.524,   0.423,   0.018,   0.049,   0.014,  30.000,  44.000,  71.000,   0.000,   0.000,    3,   0.000
00:55:30:994, 51507450182281,    1.762,   30.000, 3700,  26.571,  35.347,   9.819,  24.860,  33.249,   9.236, 69,  0,   1.553,   1.685,   0.468,   0.019,   0.051,   0.014,  30.000,  44.000,  71.000,   0.000,   0.000,    4,   0.000
00:55:31:097, 51507635559516,    1.865,   26.000, 3700,  23.273,  37.744,  10.484,  21.825,  35.497,   9.860, 65,  0,   1.636,   1.853,   0.515,   0.017,   0.053,   0.015,  30.000,  44.000,  71.000,   0.000,   0.000,    4,   0.000
00:55:31:221, 51507858002538,    1.989,   29.000, 3500,  24.656,  40.791,  11.331,  22.952,  38.333,  10.648, 66,  0,   1.573,   2.047,   0.569,   0.020,   0.055,   0.015,  30.000,  44.000,  71.000,   0.000,   0.000,    5,   0.000
00:55:31:341, 51508073850232,    2.109,   27.000, 3600,  23.291,  43.584,  12.107,  21.433,  40.903,  11.362, 66,  0,   1.592,   2.238,   0.622,   0.018,   0.058,   0.016,  30.000,  44.000,  71.000,   0.000,   0.000,    4,   0.000
00:55:31:483, 51508329682630,    2.251,   48.000, 3700,  26.635,  47.369,  13.158,  24.804,  44.429,  12.341, 73,  0,   1.607,   2.467,   0.685,   0.034,   0.062,   0.017,  30.000,  44.000,  71.000,   0.000,   0.000,    3,   0.129
00:55:31:577, 51508499829899,    2.346,   36.000, 3700,  29.141,  50.124,  13.923,  27.490,  47.027,  13.063, 75,  0,   1.931,   2.649,   0.736,   0.046,   0.067,   0.019,  30.000,  44.000,  71.000,   0.000,   0.000,   54,   1.524
00:55:31:684, 51508692069771,    2.452,   40.000, 3700,  27.742,  53.087,  14.746,  25.830,  49.786,  13.829, 75,  0,   2.021,   2.865,   0.796,   0.019,   0.069,   0.019,  30.000,  44.000,  71.000,   0.000,   0.000,    4,   0.000
00:55:31:790, 51508882956078,    2.558,   40.000, 3700,  27.717,  56.026,  15.563,  25.851,  52.527,  14.591, 76,  0,   2.009,   3.078,   0.855,   0.017,   0.071,   0.020,  30.000,  44.000,  71.000,   0.000,   0.000,    3,   0.000
00:55:31:899, 51509078765335,    2.667,   29.000, 3300,  25.916,  58.845,  16.346,  24.155,  55.155,  15.321, 63,  0,   1.752,   3.269,   0.908,   0.026,   0.073,   0.020,  30.000,  44.000,  71.000,   0.000,   0.000,    4,   0.000
00:55:32:022, 51509300074924,    2.790,   29.000, 3600,  25.475,  61.977,  17.216,  23.926,  58.097,  16.138, 70,  0,   1.566,   3.461,   0.961,   0.023,   0.076,   0.021,  30.000,  44.000,  71.000,   0.000,   0.000,  622,   0.000
00:55:32:143, 51509517173032,    2.911,   28.000, 3700,  24.081,  64.882,  18.023,  22.705,  60.835,  16.899, 67,  0,   1.558,   3.649,   1.014,   0.014,   0.078,   0.022,  30.000,  44.000,  71.000,   0.000,   0.000,    3,   0.000
00:55:32:263, 51509733591542,    3.031,   29.000, 3400,  27.499,  68.188,  18.941,  25.761,  63.932,  17.759, 65,  0,   1.598,   3.841,   1.067,   0.018,   0.080,   0.022,  30.000,  44.000,  71.000,   0.000,   0.000,    4,   0.000
00:55:32:366, 51509919802012,    3.134,   30.000, 3700,  25.750,  70.852,  19.681,  24.354,  66.452,  18.459, 69,  0,   1.543,   4.001,   1.111,   0.019,   0.082,   0.023,  30.000,  44.000,  71.000,   0.000,   0.000,    3,   0.000
00:55:32:489, 51510141989600,    3.258,   50.000, 3800,  24.122,  73.829,  20.508,  22.633,  69.246,  19.235, 71,  0,   1.600,   4.198,   1.166,   0.033,   0.086,   0.024,  30.000,  44.000,  71.000,   0.000,   0.000,    3,   0.096
00:55:32:581, 51510306901380,    3.349,   38.000, 3700,  27.588,  76.357,  21.210,  25.754,  71.605,  19.890, 72,  0,   1.960,   4.378,   1.216,   0.054,   0.091,   0.025,  30.000,  44.000,  71.000,   0.000,   0.000,   59,   2.154
00:55:32:705, 51510530590528,    3.474,   37.000, 3400,  26.882,  79.698,  22.138,  24.923,  74.702,  20.751, 71,  0,   2.049,   4.633,   1.287,   0.013,   0.093,   0.026,  30.000,  44.000,  71.000,   0.000,   0.000,    4,   0.000
00:55:32:840, 51510771818886,    3.608,   39.000, 3700,  28.576,  83.527,  23.202,  26.765,  78.289,  21.747, 77,  0,   2.003,   4.901,   1.361,   0.029,   0.097,   0.027,  30.000,  44.000,  71.000,   0.000,   0.000,    4,   0.065
00:55:32:960, 51510988116559,    3.728,   28.000, 3400,  24.745,  86.501,  24.028,  23.168,  81.073,  22.520, 64,  0,   1.590,   5.092,   1.414,   0.015,   0.098,   0.027,  30.000,  44.000,  71.000,   0.000,   0.000,    6,   0.000
00:55:33:078, 51511200402885,    3.846,   28.000, 3300,  21.985,  89.094,  24.748,  20.408,  83.480,  23.189, 68,  0,   1.593,   5.280,   1.467,   0.022,   0.101,   0.028,  30.000,  44.000,  71.000,   0.000,   0.000,    4,   0.000
00:55:33:186, 51511395297895,    3.954,   30.000, 3800,  24.031,  91.696,  25.471,  22.415,  85.907,  23.863, 70,  0,   1.543,   5.447,   1.513,   0.019,   0.103,   0.029,  30.000,  44.000,  71.000,   0.000,   0.000,    3,   0.000
00:55:33:291, 51511585281682,    4.060,   27.000, 3800,  22.402,  94.060,  26.128,  21.088,  88.133,  24.481, 70,  0,   1.619,   5.618,   1.561,   0.023,   0.105,   0.029,  30.000,  44.000,  71.000,   0.000,   0.000,    6,   0.000
00:55:33:408, 51511795270556,    4.176,   29.000, 3500,  23.386,  96.788,  26.886,  21.692,  90.663,  25.184, 63,  0,   1.605,   5.805,   1.613,   0.025,   0.108,   0.030,  30.000,  44.000,  71.000,   0.000,   0.000,  652,   0.000
00:55:33:534, 51512020992811,    4.302,   36.000, 3400,  25.056,  99.930,  27.758,  23.451,  93.604,  26.001, 69,  0,   1.665,   6.014,   1.671,   0.055,   0.115,   0.032,  30.000,  44.000,  71.000,   0.000,   0.000,    6,   0.277
00:55:33:651, 51512232925374,    4.420,   41.000, 3700,  27.592, 103.179,  28.661,  25.757,  96.637,  26.844, 76,  0,   1.996,   6.249,   1.736,   0.021,   0.118,   0.033,  30.000,  44.000,  71.000,   0.000,   0.000,   23,   0.000
00:55:33:756, 51512420700946,    4.524,   39.000, 3700,  26.678, 105.962,  29.434,  24.982,  99.243,  27.567, 77,  0,   2.004,   6.458,   1.794,   0.019,   0.120,   0.033,  30.000,  44.000,  71.000,   0.000,   0.000,    3,   0.000
00:55:33:872, 51512629272523,    4.640,   34.000, 3600,  23.331, 108.666,  30.185,  21.369, 101.719,  28.255, 72,  0,   1.890,   6.677,   1.855,   0.017,   0.122,   0.034,  30.000,  44.000,  71.000,   0.000,   0.000,    4,   0.000
00:55:33:991, 51512844985924,    4.760,   29.000, 3400,  24.442, 111.595,  30.999,  22.875, 104.460,  29.017, 64,  0,   1.600,   6.869,   1.908,   0.020,   0.124,   0.034,  30.000,  44.000,  71.000,   0.000,   0.000,    4,   0.000
00:55:34:110, 51513059119434,    4.879,   29.000, 3500,  22.265, 114.243,  31.734,  20.729, 106.926,  29.702, 71,  0,   1.585,   7.057,   1.960,   0.022,   0.127,   0.035,  30.000,  44.000,  71.000,   0.000,   0.000,    4,   0.000
00:55:34:217, 51513251386609,    4.985,   30.000, 3700,  23.765, 116.782,  32.439,  22.203, 109.298,  30.361, 72,  0,   1.539,   7.222,   2.006,   0.030,   0.130,   0.036,  30.000,  44.000,  71.000,   0.000,   0.000,  538,   0.000
00:55:34:321, 51513438665387,    5.089,   29.000, 3700,  22.657, 119.139,  33.094,  21.049, 111.488,  30.969, 71,  0,   1.697,   7.398,   2.055,   0.016,   0.132,   0.037,  30.000,  44.000,  71.000,   0.000,   0.000,    3,   0.000
00:55:34:447, 51513664698453,    5.215,   31.000, 3300,  22.899, 122.015,  33.893,  21.434, 114.179,  31.717, 65,  0,   1.566,   7.595,   2.110,   0.019,   0.134,   0.037,  30.000,  44.000,  71.000,   0.000,   0.000,    4,   0.000
00:55:34:557, 51513863176714,    5.325,   44.000, 3700,  26.560, 124.943,  34.706,  24.736, 116.907,  32.474, 76,  0,   1.744,   7.787,   2.163,   0.058,   0.140,   0.039,  30.000,  44.000,  71.000,   0.000,   0.000,    5,   0.235
00:55:34:661, 51514050720020,    5.429,   41.000, 3700,  27.098, 127.767,  35.491,  25.298, 119.543,  33.206, 77,  0,   2.047,   8.000,   2.222,   0.015,   0.142,   0.039,  30.000,  44.000,  71.000,   0.000,   0.000,   26,   0.000
00:55:34:768, 51514243371502,    5.536,   40.000, 3700,  28.600, 130.828,  36.341,  26.685, 122.399,  34.000, 79,  0,   2.060,   8.221,   2.284,   0.017,   0.144,   0.040,  30.000,  44.000,  71.000,   0.000,   0.000,    4,   0.000
00:55:34:878, 51514440508266,    5.646,   30.000, 3400,  24.259, 133.485,  37.079,  22.646, 124.879,  34.689, 72,  0,   1.737,   8.411,   2.336,   0.016,   0.146,   0.040,  30.000,  44.000,  71.000,   0.000,   0.000,    4,   0.000
00:55:34:999, 51514658655346,    5.767,   28.000, 3500,  22.772, 136.244,  37.846,  21.084, 127.434,  35.398, 65,  0,   1.590,   8.604,   2.390,   0.020,   0.148,   0.041,  30.000,  44.000,  71.000,   0.000,   0.000,    4,   0.000
00:55:35:102, 51514844628971,    5.870,   30.000, 3700,  22.816, 138.602,  38.500,  21.422, 129.647,  36.013, 75,  0,   1.528,   8.762,   2.434,   0.020,   0.150,   0.042,  30.000,  44.000,  71.000,   0.000,   0.000,    3,   0.000
00:55:35:211, 51515040285213,    5.979,   27.000, 3600,  21.077, 140.893,  39.137,  19.422, 131.758,  36.600, 67,  0,   1.623,   8.938,   2.483,   0.016,   0.152,   0.042,  30.000,  44.000,  71.000,   0.000,   0.000,    4,   0.000
00:55:35:328, 51515251563882,    6.097,   28.000, 3400,  22.319, 143.513,  39.865,  20.765, 134.196,  37.277, 65,  0,   1.602,   9.126,   2.535,   0.015,   0.154,   0.043,  30.000,  44.000,  71.000,   0.000,   0.000,    5,   0.000
00:55:35:435, 51515443484673,    6.203,   30.000, 3700,  24.389, 146.113,  40.587,  22.835, 136.631,  37.953, 71,  0,   1.546,   9.291,   2.581,   0.011,   0.155,   0.043,  30.000,  44.000,  71.000,   0.000,   0.000,    3,   0.000
00:55:35:542, 51515637034965,    6.311,   35.000, 3700,  23.027, 148.589,  41.275,  21.664, 138.960,  38.600, 71,  0,   1.639,   9.467,   2.630,   0.029,   0.158,   0.044,  30.000,  44.000,  71.000,   0.000,   0.000,    8,   0.313
00:55:35:642, 51515817163477,    6.411,   39.000, 3300,  27.574, 151.348,  42.041,  25.445, 141.506,  39.307, 73,  0,   2.072,   9.675,   2.687,   0.054,   0.163,   0.045,  30.000,  44.000,  71.000,   0.000,   0.000,    8,   0.000
00:55:35:763, 51516034659982,    6.532,   41.000, 3700,  29.185, 154.875,  43.021,  27.343, 144.810,  40.225, 80,  0,   2.039,   9.921,   2.756,   0.030,   0.167,   0.046,  30.000,  44.000,  71.000,   0.000,   0.000,  674,   0.000
00:55:35:878, 51516240991170,    6.646,   34.000, 3400,  25.745, 157.826,  43.841,  23.815, 147.540,  40.983, 67,  0,   1.897,  10.138,   2.816,   0.018,   0.169,   0.047,  30.000,  44.000,  71.000,   0.000,   0.000,    5,   0.000
00:55:36:002, 51516463483016,    6.770,   28.000, 3400,  22.375, 160.592,  44.609,  20.893, 150.123,  41.701, 68,  0,   1.550,  10.330,   2.869,   0.040,   0.174,   0.048,  30.000,  44.000,  71.000,   0.000,   0.000,  697,   0.000
00:55:36:104, 51516647896407,    6.872,   30.000, 3700,  23.429, 162.992,  45.276,  21.736, 152.350,  42.319, 71,  0,   1.544,  10.488,   2.913,   0.022,   0.176,   0.049,  30.000,  44.000,  71.000,   0.000,   0.000,    4,   0.000
