System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
00:34:16:420, 49213214027929,    0.171,   16.000, 3700,  19.744,   3.374,   0.937,  18.598,   3.179,   0.883, 65,  0,   0.735,   0.126,   0.035,   0.090,   0.015,   0.004,  30.000,  44.000,  71.000,   0.000,   0.000,   37,   2.226
00:34:16:523, 49213400460135,    0.274,   12.000, 3700,  16.586,   5.092,   1.414,  15.920,   4.827,   1.341, 69,  0,   0.530,   0.181,   0.050,   0.004,   0.016,   0.004,  30.000,  44.000,  71.000,   0.000,   0.000,    3,   0.000
00:34:16:641, 49213612641674,    0.392,   12.000, 3700,  17.991,   7.213,   2.004,  17.200,   6.855,   1.904, 68,  0,   0.481,   0.237,   0.066,   0.018,   0.018,   0.005,  30.000,  44.000,  71.000,   0.000,   0.000,    4,   0.000
00:34:16:739, 49213788853264,    0.490,   12.000, 3800,  15.409,   8.721,   2.423,  14.480,   8.273,   2.298, 70,  0,   0.574,   0.294,   0.082,   0.026,   0.021,   0.006,  30.000,  44.000,  71.000,   0.000,   0.000,    4,   0.000
00:34:16:863, 49214011967280,    0.614,   11.000, 3700,  14.970,  10.577,   2.938,  14.159,  10.028,   2.785, 68,  0,   0.444,   0.349,   0.097,   0.015,   0.022,   0.006,  30.000,  44.000,  71.000,   0.000,   0.000,    4,   0.000
00:34:16:984, 49214229731796,    0.735,   18.000, 3800,  18.243,  12.784,   3.551,  17.261,  12.116,   3.365, 66,  0,   0.779,   0.443,   0.123,   0.042,   0.027,   0.008,  30.000,  44.000,  71.000,   0.000,   0.000,    6,   0.290
00:34:17:091, 49214423298567,    0.843,   11.000, 3800,  16.366,  14.544,   4.040,  15.460,  13.778,   3.827, 70,  0,   0.502,   0.497,   0.138,   0.014,   0.029,   0.008,  30.000,  44.000,  71.000,   0.000,   0.000,   28,   0.000
00:34:17:193, 49214607330950,    0.945,   12.000, 3800,  15.480,  16.127,   4.480,  14.727,  15.284,   4.246, 74,  0,   0.386,   0.536,   0.149,   0.008,   0.030,   0.008,  30.000,  44.000,  71.000,   0.000,   0.000,    3,   0.000
00:34:17:308, 49214812915886,    1.059,   12.000, 3800,  16.070,  17.962,   4.989,  15.288,  17.030,   4.731, 69,  0,   0.533,   0.597,   0.166,   0.014,   0.031,   0.009,  30.000,  44.000,  71.000,   0.000,   0.000,    3,   0.000
00:34:17:418, 49215010771019,    1.169,   23.000, 3700,  21.561,  20.332,   5.648,  20.367,  19.269,   5.352, 65,  0,   1.149,   0.723,   0.201,   0.017,   0.033,   0.009,  30.000,  44.000,  71.000,   0.000,   0.000,    3,   0.000
00:34:17:525, 49215204563442,    1.277,   32.000, 3800,  26.689,  23.205,   6.446,  24.945,  21.955,   6.098, 68,  0,   1.697,   0.906,   0.252,   0.032,   0.037,   0.010,  30.000,  44.000,  71.000,   0.000,   0.000,    6,   0.000
00:34:17:628, 49215388606065,    1.379,   27.000, 3400,  23.889,  25.648,   7.124,  22.465,  24.252,   6.737, 61,  0,   1.478,   1.057,   0.294,   0.021,   0.039,   0.011,  30.000,  44.000,  71.000,   0.000,   0.000,    8,   0.000
00:34:17:747, 49215603830677,    1.499,   28.000, 3700,  24.145,  28.535,   7.926,  22.536,  26.946,   7.485, 70,  0,   1.487,   1.235,   0.343,   0.026,   0.042,   0.012,  30.000,  44.000,  71.000,   0.000,   0.000,    6,   0.000
00:34:17:851, 49215790966625,    1.603,   27.000, 3600,  23.453,  30.973,   8.604,  22.176,  29.252,   8.125, 65,  0,   1.460,   1.387,   0.385,   0.028,   0.045,   0.012,  30.000,  44.000,  71.000,   0.000,   0.000,  569,   0.000
00:34:17:971, 49216006934097,    1.723,   41.000, 3700,  25.563,  34.040,   9.456,  24.048,  32.137,   8.927, 68,  0,   1.491,   1.566,   0.435,   0.044,   0.050,   0.014,  30.000,  44.000,  71.000,   0.000,   0.000,    6,   0.200
00:34:18:077, 49216196957650,    1.828,   29.000, 3700,  24.536,  36.630,  10.175,  22.977,  34.563,   9.601, 68,  0,   1.530,   1.727,   0.480,   0.042,   0.055,   0.015,  30.000,  44.000,  71.000,   0.000,   0.000,    9,   0.105
00:34:18:181, 49216384679459,    1.932,   27.000, 3700,  23.671,  39.099,  10.861,  22.203,  36.878,  10.244, 67,  0,   1.467,   1.880,   0.522,   0.026,   0.057,   0.016,  30.000,  44.000,  71.000,   0.000,   0.000,    9,   0.000
00:34:18:284, 49216570194210,    2.035,   27.000, 3200,  24.398,  41.614,  11.559,  22.832,  39.231,  10.898, 63,  0,   1.485,   2.033,   0.565,   0.040,   0.061,   0.017,  30.000,  44.000,  71.000,   0.000,   0.000,  521,   0.000
00:34:18:398, 49216775802180,    2.150,   32.000, 3800,  28.599,  44.880,  12.467,  26.938,  42.308,  11.752, 71,  0,   1.597,   2.216,   0.615,   0.019,   0.064,   0.018,  30.000,  44.000,  71.000,   0.000,   0.000,    4,   0.000
00:34:18:518, 49216990752128,    2.269,   32.000, 3400,  25.374,  47.911,  13.308,  23.845,  45.156,  12.543, 71,  0,   1.687,   2.417,   0.671,   0.025,   0.067,   0.018,  30.000,  44.000,  71.000,   0.000,   0.000,    7,   0.000
00:34:18:637, 49217205341943,    2.388,   38.000, 3300,  26.933,  51.121,  14.200,  25.058,  48.143,  13.373, 70,  0,   1.973,   2.652,   0.737,   0.032,   0.070,   0.020,  30.000,  44.000,  71.000,   0.000,   0.000,  568,   0.000
00:34:18:753, 49217414788747,    2.505,   38.000, 3400,  28.615,  54.451,  15.125,  26.623,  51.241,  14.234, 72,  0,   1.963,   2.881,   0.800,   0.020,   0.073,   0.020,  30.000,  44.000,  71.000,   0.000,   0.000,    3,   0.000
00:34:18:873, 49217629805304,    2.624,   29.000, 3400,  25.682,  57.519,  15.977,  24.233,  54.136,  15.038, 68,  0,   1.555,   3.067,   0.852,   0.015,   0.075,   0.021,  30.000,  44.000,  71.000,   0.000,   0.000,    3,   0.000
00:34:18:979, 49217820514767,    2.730,   42.000, 3700,  25.115,  60.180,  16.717,  23.634,  56.640,  15.733, 66,  0,   1.502,   3.226,   0.896,   0.049,   0.080,   0.022,  30.000,  44.000,  71.000,   0.000,   0.000,   15,   0.312
00:34:19:082, 49218006691114,    2.833,   28.000, 3600,  25.153,  62.781,  17.439,  23.170,  59.036,  16.399, 67,  0,   1.514,   3.382,   0.940,   0.060,   0.086,   0.024,  30.000,  44.000,  71.000,   0.000,   0.000,   12,   0.173
00:34:19:189, 49218199671285,    2.941,   27.000, 3500,  25.005,  65.462,  18.184,  22.832,  61.484,  17.079, 70,  0,   1.501,   3.543,   0.984,   0.036,   0.090,   0.025,  30.000,  44.000,  71.000,   0.000,   0.000,  715,   0.000
00:34:19:308, 49218413408393,    3.059,   27.000, 3600,  23.078,  68.202,  18.945,  21.712,  64.062,  17.795, 65,  0,   1.481,   3.719,   1.033,   0.014,   0.091,   0.025,  30.000,  44.000,  71.000,   0.000,   0.000,    3,   0.000
00:34:19:408, 49218593715124,    3.160,   28.000, 3400,  22.091,  70.415,  19.560,  20.398,  66.106,  18.363, 62,  0,   1.515,   3.871,   1.075,   0.026,   0.094,   0.026,  30.000,  44.000,  71.000,   0.000,   0.000,    6,   0.000
00:34:19:534, 49218820261158,    3.285,   34.000, 3300,  24.177,  73.458,  20.405,  22.729,  68.966,  19.157, 72,  0,   1.718,   4.087,   1.135,   0.023,   0.097,   0.027,  30.000,  44.000,  71.000,   0.000,   0.000,    5,   0.000
00:34:19:647, 49219023176910,    3.398,   39.000, 3200,  26.554,  76.452,  21.237,  24.594,  71.739,  19.927, 73,  0,   1.965,   4.309,   1.197,   0.035,   0.101,   0.028,  30.000,  44.000,  71.000,   0.000,   0.000,  681,   0.000
00:34:19:756, 49219220228580,    3.508,   36.000, 3600,  26.742,  79.379,  22.050,  24.843,  74.458,  20.683, 67,  0,   1.897,   4.516,   1.255,   0.027,   0.104,   0.029,  30.000,  44.000,  71.000,   0.000,   0.000,    6,   0.000
00:34:19:873, 49219430568321,    3.625,   28.000, 3600,  24.441,  82.235,  22.843,  22.865,  77.130,  21.425, 67,  0,   1.510,   4.693,   1.304,   0.022,   0.106,   0.030,  30.000,  44.000,  71.000,   0.000,   0.000,    3,   0.000
00:34:19:990, 49219641289690,    3.742,   40.000, 3800,  24.355,  85.086,  23.635,  22.828,  79.803,  22.167, 69,  0,   1.538,   4.873,   1.354,   0.048,   0.112,   0.031,  30.000,  44.000,  71.000,   0.000,   0.000,    7,   0.270
00:34:20:091, 49219822910673,    3.843,   28.000, 3300,  22.976,  87.405,  24.279,  21.577,  81.980,  22.772, 70,  0,   1.544,   5.029,   1.397,   0.030,   0.115,   0.032,  30.000,  44.000,  71.000,   0.000,   0.000,   48,   0.912
00:34:20:191, 49220003246039,    3.943,   29.000, 3300,  22.851,  89.694,  24.915,  21.232,  84.107,  23.363, 69,  0,   1.536,   5.182,   1.440,   0.023,   0.117,   0.033,  30.000,  44.000,  71.000,   0.000,   0.000,    4,   0.000
00:34:20:309, 49220214121574,    4.060,   28.000, 3500,  22.385,  92.316,  25.643,  20.887,  86.554,  24.043, 66,  0,   1.507,   5.359,   1.489,   0.029,   0.121,   0.034,  30.000,  44.000,  71.000,   0.000,   0.000,  613,   0.000
00:34:20:425, 49220423434595,    4.176,   28.000, 3600,  22.647,  94.950,  26.375,  21.234,  89.023,  24.729, 67,  0,   1.509,   5.534,   1.537,   0.019,   0.123,   0.034,  30.000,  44.000,  71.000,   0.000,   0.000,    4,   0.000
00:34:20:534, 49220619870856,    4.285,   34.000, 3300,  24.701,  97.646,  27.124,  23.061,  91.540,  25.428, 69,  0,   1.737,   5.724,   1.590,   0.018,   0.125,   0.035,  30.000,  44.000,  71.000,   0.000,   0.000,    4,   0.000
00:34:20:652, 49220831666720,    4.403,   38.000, 3500,  25.679, 100.667,  27.963,  23.731,  94.332,  26.203, 70,  0,   1.932,   5.951,   1.653,   0.021,   0.127,   0.035,  30.000,  44.000,  71.000,   0.000,   0.000,    4,   0.000
00:34:20:763, 49221031682116,    4.514,   38.000, 3400,  26.637, 103.627,  28.785,  24.866,  97.095,  26.971, 70,  0,   1.977,   6.171,   1.714,   0.013,   0.129,   0.036,  30.000,  44.000,  71.000,   0.000,   0.000,    4,   0.000
00:34:20:877, 49221237612394,    4.628,   29.000, 3600,  26.332, 106.640,  29.622,  24.838,  99.937,  27.760, 70,  0,   1.528,   6.346,   1.763,   0.037,   0.133,   0.037,  30.000,  44.000,  71.000,   0.000,   0.000,    6,   0.000
00:34:20:994, 49221448359828,    4.746,   44.000, 3700,  26.319, 109.721,  30.478,  24.778, 102.838,  28.566, 70,  0,   1.547,   6.527,   1.813,   0.047,   0.139,   0.039,  30.000,  44.000,  71.000,   0.000,   0.000,   10,   0.257
00:34:21:110, 49221657341395,    4.862,   28.000, 3600,  24.093, 112.518,  31.255,  22.386, 105.437,  29.288, 71,  0,   1.552,   6.707,   1.863,   0.040,   0.143,   0.040,  30.000,  44.000,  71.000,   0.000,   0.000,   73,   2.122
00:34:21:211, 49221838811356,    4.962,   28.000, 3600,  22.856, 114.823,  31.895,  21.472, 107.602,  29.889, 66,  0,   1.498,   6.858,   1.905,   0.024,   0.146,   0.040,  30.000,  44.000,  71.000,   0.000,   0.000,    3,   0.000
00:34:21:328, 49222048414107,    5.079,   28.000, 3300,  23.050, 117.507,  32.641,  21.428, 110.097,  30.582, 71,  0,   1.520,   7.035,   1.954,   0.026,   0.149,   0.041,  30.000,  44.000,  71.000,   0.000,   0.000,    7,   0.000
00:34:21:443, 49222256722585,    5.195,   29.000, 3800,  23.332, 120.207,  33.391,  21.787, 112.618,  31.283, 70,  0,   1.532,   7.212,   2.003,   0.028,   0.152,   0.042,  30.000,  44.000,  71.000,   0.000,   0.000,   10,   0.000
00:34:21:553, 49222453826188,    5.304,   36.000, 3700,  26.760, 123.137,  34.205,  25.114, 115.368,  32.047, 79,  0,   1.795,   7.409,   2.058,   0.056,   0.158,   0.044,  30.000,  44.000,  71.000,   0.000,   0.000,    8,   0.000
