System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
00:36:29:326, 49452445948250,    0.165,   14.000, 3700,  18.743,   3.085,   0.857,  17.244,   2.838,   0.788, 65,  0,   0.644,   0.106,   0.029,   0.108,   0.018,   0.005,  30.000,  44.000,  71.000,   0.000,   0.000,   34,   2.105
00:36:29:430, 49452632619571,    0.268,   12.000, 3700,  16.370,   4.782,   1.328,  15.595,   4.455,   1.238, 68,  0,   0.499,   0.158,   0.044,   0.015,   0.019,   0.005,  30.000,  44.000,  71.000,   0.000,   0.000,    4,   0.000
00:36:29:547, 49452843168899,    0.385,   12.000, 3700,  15.697,   6.619,   1.838,  14.978,   6.207,   1.724, 75,  0,   0.483,   0.214,   0.060,   0.016,   0.021,   0.006,  30.000,  44.000,  71.000,   0.000,   0.000,    3,   0.000
00:36:29:661, 49453048703726,    0.499,   12.000, 3700,  15.353,   8.372,   2.325,  14.459,   7.858,   2.183, 67,  0,   0.563,   0.279,   0.077,   0.015,   0.023,   0.006,  30.000,  44.000,  71.000,   0.000,   0.000,    3,   0.000
00:36:29:801, 49453299704495,    0.639,   24.000, 3700,  16.349,  10.651,   2.959,  15.420,  10.009,   2.780, 68,  0,   0.492,   0.347,   0.096,   0.032,   0.027,   0.008,  30.000,  44.000,  71.000,   0.000,   0.000,    3,   0.104
00:36:29:907, 49453491895700,    0.746,   14.000, 3800,  17.406,  12.510,   3.475,  16.342,  11.754,   3.265, 69,  0,   0.770,   0.429,   0.119,   0.053,   0.033,   0.009,  30.000,  44.000,  71.000,   0.000,   0.000,   63,   2.751
00:36:30:014, 49453684753165,    0.853,   11.000, 3700,  15.855,  14.209,   3.947,  15.130,  13.375,   3.715, 73,  0,   0.479,   0.481,   0.134,   0.013,   0.034,   0.010,  30.000,  44.000,  71.000,   0.000,   0.000,    4,   0.000
00:36:30:116, 49453867517444,    0.954,   12.000, 3700,  15.684,  15.801,   4.389,  14.975,  14.895,   4.138, 78,  0,   0.387,   0.520,   0.144,   0.013,   0.036,   0.010,  30.000,  44.000,  71.000,   0.000,   0.000,    4,   0.000
00:36:30:229, 49454071490239,    1.068,   12.000, 3800,  18.421,  17.889,   4.969,  17.462,  16.874,   4.687, 72,  0,   0.544,   0.582,   0.162,   0.016,   0.038,   0.010,  30.000,  44.000,  71.000,   0.000,   0.000,    3,   0.000
00:36:30:343, 49454277140869,    1.182,   21.000, 3700,  25.797,  20.836,   5.788,  24.940,  19.723,   5.479, 66,  0,   0.641,   0.655,   0.182,   0.010,   0.039,   0.011,  30.000,  44.000,  71.000,   0.000,   0.000,    3,   0.000
00:36:30:452, 49454472788309,    1.291,   25.000, 3700,  32.497,  24.368,   6.769,  31.150,  23.109,   6.419, 69,  0,   0.891,   0.752,   0.209,   0.037,   0.043,   0.012,  30.000,  44.000,  71.000,   0.000,   0.000,    7,   0.000
00:36:30:562, 49454670742568,    1.401,   25.000, 3700,  33.485,  28.051,   7.792,  32.537,  26.687,   7.413, 68,  0,   0.873,   0.848,   0.235,   0.031,   0.046,   0.013,  30.000,  44.000,  71.000,   0.000,   0.000,  662,   0.000
00:36:30:672, 49454868158745,    1.510,   26.000, 3700,  34.668,  31.853,   8.848,  33.371,  30.347,   8.430, 69,  0,   0.885,   0.945,   0.262,   0.018,   0.048,   0.013,  30.000,  44.000,  71.000,   0.000,   0.000,    4,   0.000
00:36:30:782, 49455066372127,    1.620,   26.000, 3700,  35.772,  35.792,   9.942,  34.609,  34.158,   9.488, 69,  0,   0.895,   1.043,   0.290,   0.012,   0.049,   0.014,  30.000,  44.000,  71.000,   0.000,   0.000,    3,   0.000
00:36:30:891, 49455263653153,    1.730,   28.000, 3700,  32.191,  39.320,  10.922,  30.755,  37.529,  10.425, 69,  0,   0.976,   1.150,   0.319,   0.053,   0.055,   0.015,  30.000,  44.000,  71.000,   0.000,   0.000,    7,   0.333
00:36:31:002, 49455463338076,    1.841,   25.000, 3700,  31.688,  42.836,  11.899,  30.490,  40.911,  11.364, 69,  0,   0.884,   1.248,   0.347,   0.019,   0.057,   0.016,  30.000,  44.000,  71.000,   0.000,   0.000,   10,   0.000
00:36:31:112, 49455659813085,    1.950,   24.000, 3700,  29.450,  46.050,  12.792,  28.217,  43.991,  12.220, 70,  0,   0.873,   1.343,   0.373,   0.016,   0.059,   0.016,  30.000,  44.000,  71.000,   0.000,   0.000,    4,   0.000
00:36:31:222, 49455858662727,    2.061,   25.000, 3700,  34.460,  49.857,  13.849,  33.144,  47.653,  13.237, 70,  0,   0.883,   1.441,   0.400,   0.013,   0.060,   0.017,  30.000,  44.000,  71.000,   0.000,   0.000,    4,   0.000
00:36:31:332, 49456056277859,    2.170,   28.000, 3700,  36.517,  53.866,  14.963,  35.543,  51.555,  14.321, 70,  0,   0.906,   1.541,   0.428,   0.016,   0.062,   0.017,  30.000,  44.000,  71.000,   0.000,   0.000,    6,   0.000
00:36:31:445, 49456259561030,    2.283,   15.000, 2400,  14.123,  55.461,  15.406,  12.500,  52.967,  14.713, 64,  0,   1.304,   1.688,   0.469,   0.056,   0.068,   0.019,  30.000,  44.000,  71.000,   0.000,   0.000,  531,   0.000
00:36:31:496, 49456352747598,    2.335,   18.000, 3300,   7.450,  55.847,  15.513,   6.386,  53.297,  14.805, 61,  0,   0.997,   1.739,   0.483,   0.035,   0.070,   0.019,  30.000,  44.000,  71.000,   0.000,   0.000,    4,   0.000

Total Elapsed Time (sec) = 2.335023
Measured RDTSC Frequency (GHz) = 1.800

Cumulative Processor Energy_0 (Joules) = 55.846680
Cumulative Processor Energy_0 (mWh) = 15.512967
Average Processor Power_0 (Watt) = 23.916969

Cumulative IA Energy_0 (Joules) = 53.297302
Cumulative IA Energy_0 (mWh) = 14.804806
Average IA Power_0 (Watt) = 22.825169

Cumulative DRAM Energy_0 (Joules) = 1.739380
Cumulative DRAM Energy_0 (mWh) = 0.483161
Average DRAM Power_0 (Watt) = 0.744909

Cumulative GT Energy_0 (Joules) = 0.070190
Cumulative GT Energy_0 (mWh) = 0.019497
Average GT Power_0 (Watt) = 0.030060
