System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
00:32:37:319, 49034832830872,    0.152,   15.000, 3700,  18.479,   2.815,   0.782,  17.444,   2.657,   0.738, 64,  0,   0.678,   0.103,   0.029,   0.098,   0.015,   0.004,  30.000,  44.000,  71.000,   0.000,   0.000,   44,   2.685
00:32:37:450, 49035070421472,    0.284,   24.000, 3800,  19.277,   5.359,   1.489,  18.495,   5.099,   1.416, 62,  0,   0.517,   0.171,   0.048,   0.039,   0.020,   0.006,  30.000,  44.000,  71.000,   0.000,   0.000,    4,   0.188
00:32:37:552, 49035251489533,    0.385,   12.000, 3700,  15.660,   6.935,   1.926,  14.866,   6.594,   1.832, 70,  0,   0.535,   0.225,   0.063,   0.036,   0.024,   0.007,  30.000,  44.000,  71.000,   0.000,   0.000,   45,   1.568
00:32:37:661, 49035449095428,    0.495,   12.000, 3800,  15.883,   8.678,   2.411,  14.975,   8.238,   2.288, 71,  0,   0.580,   0.289,   0.080,   0.017,   0.025,   0.007,  30.000,  44.000,  71.000,   0.000,   0.000,    5,   0.000
00:32:37:780, 49035663751080,    0.614,   12.000, 3700,  18.131,  10.840,   3.011,  17.374,  10.310,   2.864, 69,  0,   0.448,   0.342,   0.095,   0.018,   0.028,   0.008,  30.000,  44.000,  71.000,   0.000,   0.000,    3,   0.000
00:32:37:882, 49035847672358,    0.716,   12.000, 3800,  16.057,  12.481,   3.467,  15.099,  11.853,   3.292, 70,  0,   0.511,   0.395,   0.110,   0.009,   0.029,   0.008,  30.000,  44.000,  71.000,   0.000,   0.000,    3,   0.000
00:32:38:001, 49036060442838,    0.834,   11.000, 3700,  15.675,  14.334,   3.982,  14.901,  13.614,   3.782, 70,  0,   0.448,   0.448,   0.124,   0.015,   0.030,   0.008,  30.000,  44.000,  71.000,   0.000,   0.000,    4,   0.000
00:32:38:108, 49036253409802,    0.942,   12.000, 3700,  15.401,  15.985,   4.440,  14.704,  15.190,   4.220, 72,  0,   0.401,   0.491,   0.136,   0.014,   0.032,   0.009,  30.000,  44.000,  71.000,   0.000,   0.000,    4,   0.000
00:32:38:211, 49036439311905,    1.045,   14.000, 3700,  16.768,  17.717,   4.921,  15.796,  16.822,   4.673, 74,  0,   0.728,   0.566,   0.157,   0.044,   0.036,   0.010,  30.000,  44.000,  71.000,   0.000,   0.000,  749,   0.000
00:32:38:325, 49036643421224,    1.158,   21.000, 3700,  24.788,  20.528,   5.702,  23.727,  19.512,   5.420, 64,  0,   0.601,   0.634,   0.176,   0.015,   0.038,   0.011,  30.000,  44.000,  71.000,   0.000,   0.000,    4,   0.000
00:32:38:450, 49036867740481,    1.283,   36.000, 3700,  26.903,  23.880,   6.633,  25.579,  22.700,   6.306, 67,  0,   0.745,   0.727,   0.202,   0.027,   0.042,   0.012,  30.000,  44.000,  71.000,   0.000,   0.000,    4,   0.160
00:32:38:545, 49037038853477,    1.378,   23.000, 3700,  26.189,  26.370,   7.325,  25.155,  25.091,   6.970, 65,  0,   0.642,   0.788,   0.219,   0.040,   0.045,   0.013,  30.000,  44.000,  71.000,   0.000,   0.000,   54,   1.103
00:32:38:655, 49037238115961,    1.489,   23.000, 3700,  25.569,  29.201,   8.111,  24.557,  27.810,   7.725, 63,  0,   0.588,   0.853,   0.237,   0.019,   0.047,   0.013,  30.000,  44.000,  71.000,   0.000,   0.000,    7,   0.000
00:32:38:765, 49037435286543,    1.598,   24.000, 3700,  26.741,  32.130,   8.925,  25.638,  30.618,   8.505, 68,  0,   0.618,   0.921,   0.256,   0.016,   0.049,   0.014,  30.000,  44.000,  71.000,   0.000,   0.000,    3,   0.000
00:32:38:873, 49037631032288,    1.707,   23.000, 3700,  26.865,  35.051,   9.736,  26.293,  33.477,   9.299, 65,  0,   0.511,   0.976,   0.271,   0.019,   0.051,   0.014,  30.000,  44.000,  71.000,   0.000,   0.000,    4,   0.000
00:32:38:983, 49037827275682,    1.816,   23.000, 3700,  25.850,  37.870,  10.519,  24.982,  36.201,  10.056, 63,  0,   0.530,   1.034,   0.287,   0.021,   0.054,   0.015,  30.000,  44.000,  71.000,   0.000,   0.000,    5,   0.000
00:32:39:093, 49038025894520,    1.926,   23.000, 3700,  27.759,  40.933,  11.370,  26.751,  39.153,  10.876, 67,  0,   0.525,   1.092,   0.303,   0.015,   0.055,   0.015,  30.000,  44.000,  71.000,   0.000,   0.000,    4,   0.000
00:32:39:203, 49038223661831,    2.036,   23.000, 3800,  26.045,  43.794,  12.165,  25.087,  41.909,  11.641, 67,  0,   0.557,   1.153,   0.320,   0.012,   0.057,   0.016,  30.000,  44.000,  71.000,   0.000,   0.000,    3,   0.000
