System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
00:54:45:386, 51425356123906,    0.210,   18.000, 3800,  21.260,   4.456,   1.238,  20.187,   4.231,   1.175, 73,  0,   0.803,   0.168,   0.047,   0.108,   0.023,   0.006,  30.000,  44.000,  71.000,   0.000,   0.000,   16,   0.972
00:54:45:489, 51425541165557,    0.312,   11.000, 3700,  16.613,   6.164,   1.712,  15.709,   5.846,   1.624, 73,  0,   0.479,   0.217,   0.060,   0.017,   0.024,   0.007,  30.000,  44.000,  71.000,   0.000,   0.000,    5,   0.000
00:54:45:602, 51425744838863,    0.426,   12.000, 3700,  15.680,   7.938,   2.205,  14.932,   7.535,   2.093, 80,  0,   0.474,   0.271,   0.075,   0.017,   0.026,   0.007,  30.000,  44.000,  71.000,   0.000,   0.000,    5,   0.000
00:54:45:711, 51425939522353,    0.534,   12.000, 3700,  15.427,   9.607,   2.668,  14.527,   9.107,   2.530, 70,  0,   0.564,   0.332,   0.092,   0.016,   0.028,   0.008,  30.000,  44.000,  71.000,   0.000,   0.000,    3,   0.000
00:54:45:814, 51426126409925,    0.638,   12.000, 3700,  16.037,  11.272,   3.131,  15.267,  10.692,   2.970, 71,  0,   0.442,   0.378,   0.105,   0.011,   0.029,   0.008,  30.000,  44.000,  71.000,   0.000,   0.000,    4,   0.000
00:54:45:935, 51426344104270,    0.758,   12.000, 3800,  18.837,  13.550,   3.764,  18.019,  12.871,   3.575, 77,  0,   0.474,   0.435,   0.121,   0.016,   0.031,   0.009,  30.000,  44.000,  71.000,   0.000,   0.000,    3,   0.000
00:54:46:038, 51426528640055,    0.861,   12.000, 3700,  16.414,  15.233,   4.231,  15.160,  14.425,   4.007, 78,  0,   0.426,   0.479,   0.133,   0.014,   0.033,   0.009,  30.000,  44.000,  71.000,   0.000,   0.000,    3,   0.000
00:54:46:148, 51426726541969,    0.971,   12.000, 3700,  16.502,  17.047,   4.735,  15.149,  16.091,   4.470, 78,  0,   0.431,   0.526,   0.146,   0.016,   0.034,   0.010,  30.000,  44.000,  71.000,   0.000,   0.000,    4,   0.000
00:54:46:252, 51426913930915,    1.075,   18.000, 3700,  19.770,  19.105,   5.307,  18.468,  18.013,   5.004, 70,  0,   0.625,   0.591,   0.164,   0.080,   0.043,   0.012,  30.000,  44.000,  71.000,   0.000,   0.000,    8,   0.264
00:54:46:362, 51427111614403,    1.185,   27.000, 3700,  30.120,  22.413,   6.226,  28.992,  21.197,   5.888, 74,  0,   0.438,   0.640,   0.178,   0.019,   0.045,   0.012,  30.000,  44.000,  71.000,   0.000,   0.000,   13,   0.000
00:54:46:471, 51427308840434,    1.294,   27.000, 3700,  29.426,  25.637,   7.121,  28.579,  24.329,   6.758, 72,  0,   0.416,   0.685,   0.190,   0.025,   0.048,   0.013,  30.000,  44.000,  71.000,   0.000,   0.000,    4,   0.000
00:54:46:595, 51427531651947,    1.418,   27.000, 3700,  29.547,  29.295,   8.137,  28.708,  27.882,   7.745, 73,  0,   0.410,   0.736,   0.204,   0.030,   0.051,   0.014,  30.000,  44.000,  71.000,   0.000,   0.000,  655,   0.000
00:54:46:703, 51427726575852,    1.527,   27.000, 3700,  28.431,  32.373,   8.993,  27.679,  30.880,   8.578, 76,  0,   0.410,   0.780,   0.217,   0.014,   0.053,   0.015,  30.000,  44.000,  71.000,   0.000,   0.000,    3,   0.000
00:54:46:813, 51427923251564,    1.636,   27.000, 3700,  29.635,  35.611,   9.892,  28.909,  34.038,   9.455, 74,  0,   0.403,   0.824,   0.229,   0.014,   0.054,   0.015,  30.000,  44.000,  71.000,   0.000,   0.000,    4,   0.000
00:54:46:923, 51428122632803,    1.747,   27.000, 3700,  29.798,  38.912,  10.809,  29.018,  37.253,  10.348, 72,  0,   0.425,   0.871,   0.242,   0.017,   0.056,   0.016,  30.000,  44.000,  71.000,   0.000,   0.000,    6,   0.000
00:54:47:035, 51428323106626,    1.858,   27.000, 3700,  29.155,  42.159,  11.711,  28.129,  40.386,  11.218, 74,  0,   0.409,   0.917,   0.255,   0.013,   0.058,   0.016,  30.000,  44.000,  71.000,   0.000,   0.000,    3,   0.000
00:54:47:144, 51428518877177,    1.967,   27.000, 3700,  29.178,  45.333,  12.592,  28.538,  43.489,  12.080, 73,  0,   0.406,   0.961,   0.267,   0.016,   0.059,   0.016,  30.000,  44.000,  71.000,   0.000,   0.000,    3,   0.000
00:54:47:252, 51428714307640,    2.075,   31.000, 3700,  31.827,  48.788,  13.552,  30.813,  46.835,  13.010, 72,  0,   0.542,   1.020,   0.283,   0.051,   0.065,   0.018,  30.000,  44.000,  71.000,   0.000,   0.000,    8,   0.391
00:54:47:362, 51428911607416,    2.185,   27.000, 3700,  30.031,  52.080,  14.467,  29.346,  50.052,  13.903, 74,  0,   0.427,   1.067,   0.296,   0.017,   0.067,   0.019,  30.000,  44.000,  71.000,   0.000,   0.000,   11,   0.000
00:54:47:472, 51429110655650,    2.295,   27.000, 3700,  29.135,  55.302,  15.362,  28.197,  53.170,  14.769, 74,  0,   0.413,   1.113,   0.309,   0.011,   0.068,   0.019,  30.000,  44.000,  71.000,   0.000,   0.000,    4,   0.000
00:54:47:582, 51429308714292,    2.405,   27.000, 3700,  28.838,  58.475,  16.243,  28.114,  56.263,  15.629, 74,  0,   0.404,   1.157,   0.321,   0.019,   0.070,   0.019,  30.000,  44.000,  71.000,   0.000,   0.000,    4,   0.000
00:54:47:693, 51429507294098,    2.516,   18.000, 2400,  15.995,  60.240,  16.733,  14.560,  57.869,  16.075, 65,  0,   1.080,   1.276,   0.354,   0.014,   0.071,   0.020,  30.000,  44.000,  71.000,   0.000,   0.000,    4,   0.000
00:54:47:751, 51429613467721,    2.575,   17.000, 3300,   9.463,  60.798,  16.888,   8.399,  58.365,  16.212, 66,  0,   1.085,   1.340,   0.372,   0.066,   0.075,   0.021,  30.000,  44.000,  71.000,   0.000,   0.000,  650,   0.000

Total Elapsed Time (sec) = 2.574778
Measured RDTSC Frequency (GHz) = 1.800

Cumulative Processor Energy_0 (Joules) = 60.797668
Cumulative Processor Energy_0 (mWh) = 16.888241
Average Processor Power_0 (Watt) = 23.612784

Cumulative IA Energy_0 (Joules) = 58.364868
Cumulative IA Energy_0 (mWh) = 16.212463
Average IA Power_0 (Watt) = 22.667926

Cumulative DRAM Energy_0 (Joules) = 1.340149
Cumulative DRAM Energy_0 (mWh) = 0.372264
Average DRAM Power_0 (Watt) = 0.520491

Cumulative GT Energy_0 (Joules) = 0.075378
Cumulative GT Energy_0 (mWh) = 0.020938
Average GT Power_0 (Watt) = 0.029276
