System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
00:27:16:384, 48457149953345,    0.168,   14.000, 3800,  19.528,   3.274,   0.909,  18.443,   3.092,   0.859, 65,  0,   0.688,   0.115,   0.032,   0.120,   0.020,   0.006,  30.000,  44.000,  71.000,   0.000,   0.000,   43,   2.706
00:27:16:498, 48457353850827,    0.281,   14.000, 3700,  17.667,   5.275,   1.465,  16.749,   4.989,   1.386, 63,  0,   0.740,   0.199,   0.055,   0.013,   0.022,   0.006,  30.000,  44.000,  71.000,   0.000,   0.000,    4,   0.000
00:27:16:608, 48457552866559,    0.391,   12.000, 3700,  16.002,   7.044,   1.957,  15.123,   6.661,   1.850, 66,  0,   0.460,   0.250,   0.069,   0.018,   0.024,   0.007,  30.000,  44.000,  71.000,   0.000,   0.000,    4,   0.000
00:27:16:710, 48457736880790,    0.494,   12.000, 3800,  16.023,   8.682,   2.412,  15.224,   8.218,   2.283, 70,  0,   0.468,   0.298,   0.083,   0.019,   0.026,   0.007,  30.000,  44.000,  71.000,   0.000,   0.000,    4,   0.000
00:27:16:822, 48457937128955,    0.605,   13.000, 3700,  15.869,  10.448,   2.902,  15.072,   9.894,   2.748, 64,  0,   0.602,   0.365,   0.101,   0.021,   0.028,   0.008,  30.000,  44.000,  71.000,   0.000,   0.000,    5,   0.000
00:27:16:929, 48458131536484,    0.713,   16.000, 3800,  19.916,  12.599,   3.500,  18.316,  11.873,   3.298, 63,  0,   0.592,   0.429,   0.119,   0.093,   0.038,   0.011,  30.000,  44.000,  71.000,   0.000,   0.000,   10,   0.536
00:27:17:040, 48458330567358,    0.824,   12.000, 3700,  19.037,  14.704,   4.084,  18.146,  13.879,   3.855, 69,  0,   0.489,   0.483,   0.134,   0.012,   0.039,   0.011,  30.000,  44.000,  71.000,   0.000,   0.000,   10,   0.000
00:27:17:150, 48458528383461,    0.933,   12.000, 3800,  15.750,  16.435,   4.565,  14.941,  15.521,   4.311, 71,  0,   0.412,   0.528,   0.147,   0.017,   0.041,   0.011,  30.000,  44.000,  71.000,   0.000,   0.000,    4,   0.000
00:27:17:262, 48458729366350,    1.045,   12.000, 3700,  15.877,  18.208,   5.058,  15.190,  17.217,   4.783, 70,  0,   0.472,   0.581,   0.161,   0.008,   0.042,   0.012,  30.000,  44.000,  71.000,   0.000,   0.000,    4,   0.000
00:27:17:363, 48458911733477,    1.146,   14.000, 3800,  17.501,  19.981,   5.550,  16.652,  18.904,   5.251, 66,  0,   0.478,   0.629,   0.175,   0.013,   0.043,   0.012,  30.000,  44.000,  71.000,   0.000,   0.000,    3,   0.000
