System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
00:52:32:420, 51186016307925,    0.168,   14.000, 3800,  19.515,   3.272,   0.909,  18.458,   3.094,   0.860, 66,  0,   0.723,   0.121,   0.034,   0.159,   0.027,   0.007,  30.000,  44.000,  71.000,   0.000,   0.000,   43,   2.965
00:52:32:523, 51186201089735,    0.270,   12.000, 3700,  18.664,   5.188,   1.441,  17.752,   4.917,   1.366, 67,  0,   0.501,   0.173,   0.048,   0.012,   0.028,   0.008,  30.000,  44.000,  71.000,   0.000,   0.000,    5,   0.000
00:52:32:639, 51186409825909,    0.386,   12.000, 3700,  15.617,   6.999,   1.944,  14.782,   6.631,   1.842, 68,  0,   0.472,   0.227,   0.063,   0.016,   0.030,   0.008,  30.000,  44.000,  71.000,   0.000,   0.000,    4,   0.000
00:52:32:749, 51186608803674,    0.497,   12.000, 3800,  15.851,   8.751,   2.431,  14.893,   8.277,   2.299, 68,  0,   0.612,   0.295,   0.082,   0.028,   0.033,   0.009,  30.000,  44.000,  71.000,   0.000,   0.000,    3,   0.033
00:52:32:855, 51186799024233,    0.602,   12.000, 3700,  15.995,  10.441,   2.900,  15.297,   9.894,   2.748, 68,  0,   0.464,   0.344,   0.096,   0.016,   0.035,   0.010,  30.000,  44.000,  71.000,   0.000,   0.000,   61,   0.000
00:52:32:971, 51187007324020,    0.718,   11.000, 3700,  15.872,  12.278,   3.411,  15.009,  11.631,   3.231, 71,  0,   0.465,   0.398,   0.111,   0.011,   0.036,   0.010,  30.000,  44.000,  71.000,   0.000,   0.000,    3,   0.000
00:52:33:075, 51187195584210,    0.823,   11.000, 3700,  15.997,  13.951,   3.875,  15.269,  13.228,   3.674, 65,  0,   0.467,   0.447,   0.124,   0.014,   0.037,   0.010,  30.000,  44.000,  71.000,   0.000,   0.000,    3,   0.000
00:52:33:177, 51187380240358,    0.925,   12.000, 3700,  15.524,  15.544,   4.318,  14.719,  14.738,   4.094, 73,  0,   0.389,   0.487,   0.135,   0.014,   0.039,   0.011,  30.000,  44.000,  71.000,   0.000,   0.000,    3,   0.000
00:52:33:291, 51187584350399,    1.039,   14.000, 3700,  16.776,  17.446,   4.846,  15.912,  16.542,   4.595, 69,  0,   0.723,   0.569,   0.158,   0.013,   0.040,   0.011,  30.000,  44.000,  71.000,   0.000,   0.000,    3,   0.000
00:52:33:408, 51187794074995,    1.155,   25.000, 3700,  25.572,  20.426,   5.674,  24.343,  19.378,   5.383, 65,  0,   0.903,   0.674,   0.187,   0.049,   0.046,   0.013,  30.000,  44.000,  71.000,   0.000,   0.000,    5,   0.162
00:52:33:517, 51187990037740,    1.264,   26.000, 3700,  30.346,  23.729,   6.591,  29.091,  22.545,   6.263, 66,  0,   0.956,   0.778,   0.216,   0.028,   0.049,   0.014,  30.000,  44.000,  71.000,   0.000,   0.000,  631,   0.000
00:52:33:626, 51188187367096,    1.374,   26.000, 3700,  30.587,  27.082,   7.523,  29.517,  25.781,   7.161, 67,  0,   0.946,   0.882,   0.245,   0.019,   0.051,   0.014,  30.000,  44.000,  71.000,   0.000,   0.000,    4,   0.000
00:52:33:735, 51188384172839,    1.483,   27.000, 3700,  30.513,  30.419,   8.450,  29.100,  28.963,   8.045, 66,  0,   0.967,   0.987,   0.274,   0.014,   0.053,   0.015,  30.000,  44.000,  71.000,   0.000,   0.000,    4,   0.000
00:52:33:845, 51188580425204,    1.592,   27.000, 3700,  30.525,  33.747,   9.374,  29.277,  32.155,   8.932, 66,  0,   1.007,   1.097,   0.305,   0.019,   0.055,   0.015,  30.000,  44.000,  71.000,   0.000,   0.000,    5,   0.000
00:52:33:952, 51188774298520,    1.700,   27.000, 3700,  30.746,  37.058,  10.294,  29.361,  35.317,   9.810, 68,  0,   0.974,   1.202,   0.334,   0.011,   0.056,   0.016,  30.000,  44.000,  71.000,   0.000,   0.000,    3,   0.000
00:52:34:060, 51188968986366,    1.808,   27.000, 3700,  29.217,  40.219,  11.172,  27.964,  38.342,  10.651, 67,  0,   0.961,   1.306,   0.363,   0.020,   0.058,   0.016,  30.000,  44.000,  71.000,   0.000,   0.000,    5,   0.000
00:52:34:170, 51189166203364,    1.918,   27.000, 3700,  31.244,  43.642,  12.123,  30.157,  41.646,  11.568, 67,  0,   0.956,   1.411,   0.392,   0.018,   0.060,   0.017,  30.000,  44.000,  71.000,   0.000,   0.000,    4,   0.000
00:52:34:280, 51189363828851,    2.027,   27.000, 3700,  30.911,  47.035,  13.065,  29.652,  44.902,  12.473, 68,  0,   0.981,   1.518,   0.422,   0.012,   0.061,   0.017,  30.000,  44.000,  71.000,   0.000,   0.000,    3,   0.000
00:52:34:388, 51189558519497,    2.136,   31.000, 3700,  31.829,  50.478,  14.022,  30.446,  48.195,  13.387, 68,  0,   1.102,   1.637,   0.455,   0.042,   0.066,   0.018,  30.000,  44.000,  71.000,   0.000,   0.000,    6,   0.161
00:52:34:497, 51189754641554,    2.245,   27.000, 3700,  30.586,  53.811,  14.947,  29.287,  51.386,  14.274, 68,  0,   0.968,   1.743,   0.484,   0.037,   0.070,   0.019,  30.000,  44.000,  71.000,   0.000,   0.000,    6,   0.000
00:52:34:607, 51189952280692,    2.354,   27.000, 3700,  30.973,  57.211,  15.892,  29.708,  54.648,  15.180, 68,  0,   0.967,   1.849,   0.514,   0.037,   0.074,   0.021,  30.000,  44.000,  71.000,   0.000,   0.000,  694,   0.000
