System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
00:53:37:383, 51302949566691,    0.191,   14.000, 3700,  18.700,   3.572,   0.992,  17.622,   3.366,   0.935, 65,  0,   0.647,   0.124,   0.034,   0.104,   0.020,   0.005,  30.000,  44.000,  71.000,   0.000,   0.000,   32,   4.397
00:53:37:501, 51303161801807,    0.309,   12.000, 3700,  16.537,   5.522,   1.534,  15.704,   5.217,   1.449, 68,  0,   0.542,   0.187,   0.052,   0.009,   0.021,   0.006,  30.000,  44.000,  71.000,   0.000,   0.000,    3,   0.000
00:53:37:612, 51303361833764,    0.420,   12.000, 3700,  15.625,   7.258,   2.016,  14.841,   6.867,   1.907, 74,  0,   0.465,   0.239,   0.066,   0.014,   0.022,   0.006,  30.000,  44.000,  71.000,   0.000,   0.000,    3,   0.000
00:53:37:723, 51303561195693,    0.531,   26.000, 3700,  16.802,   9.119,   2.533,  15.937,   8.632,   2.398, 69,  0,   0.616,   0.307,   0.085,   0.051,   0.028,   0.008,  30.000,  44.000,  71.000,   0.000,   0.000,    6,   0.295
00:53:37:842, 51303776610111,    0.650,   14.000, 3700,  17.300,  11.189,   3.108,  16.111,  10.560,   2.933, 71,  0,   0.739,   0.396,   0.110,   0.033,   0.032,   0.009,  30.000,  44.000,  71.000,   0.000,   0.000,   54,   1.597
00:53:37:944, 51303959616399,    0.752,   15.000, 3700,  18.037,  13.023,   3.618,  17.167,  12.305,   3.418, 65,  0,   0.537,   0.450,   0.125,   0.007,   0.033,   0.009,  30.000,  44.000,  71.000,   0.000,   0.000,    3,   0.000
00:53:38:052, 51304154806422,    0.861,   12.000, 3700,  15.552,  14.710,   4.086,  14.851,  13.916,   3.865, 78,  0,   0.428,   0.497,   0.138,   0.014,   0.034,   0.010,  30.000,  44.000,  71.000,   0.000,   0.000,    4,   0.000
00:53:38:158, 51304345137259,    0.966,   12.000, 3700,  15.740,  16.374,   4.548,  14.848,  15.486,   4.302, 67,  0,   0.468,   0.546,   0.152,   0.013,   0.036,   0.010,  30.000,  44.000,  71.000,   0.000,   0.000,    3,   0.000
00:53:38:279, 51304563406716,    1.088,   14.000, 3700,  17.342,  18.477,   5.132,  16.519,  17.489,   4.858, 63,  0,   0.563,   0.615,   0.171,   0.011,   0.037,   0.010,  30.000,  44.000,  71.000,   0.000,   0.000,    3,   0.000
00:53:38:389, 51304761276289,    1.198,   26.000, 3700,  27.981,  21.553,   5.987,  26.752,  20.430,   5.675, 66,  0,   0.946,   0.719,   0.200,   0.026,   0.040,   0.011,  30.000,  44.000,  71.000,   0.000,   0.000,    4,   0.000
