timestamp,n_samples,n_features,hidden_layer_sizes,classes,activation,solver,iterations,train_score,test_score
2022-03-24T00:24:19.512023,2000,100,"(500,)",3,relu,adam,67,1.0,0.884
2022-03-24T00:24:27.550650,5000,100,"(100,)",3,relu,adam,103,1.0,0.9008
2022-03-24T00:24:36.128777,5000,100,"(200,)",3,relu,adam,74,1.0,0.9192
2022-03-24T00:24:46.805563,5000,100,"(500,)",3,relu,adam,59,1.0,0.9336
2022-03-24T00:24:53.274354,1000,100,"(100,)",7,relu,adam,192,1.0,0.408
2022-03-24T00:25:00.581561,1000,100,"(200,)",7,relu,adam,141,1.0,0.42
2022-03-24T00:25:07.971537,1000,100,"(500,)",7,relu,adam,98,1.0,0.496
2022-03-24T00:25:16.132374,2000,100,"(100,)",7,relu,adam,193,1.0,0.524
2022-03-24T00:25:24.547009,2000,100,"(200,)",7,relu,adam,140,1.0,0.562
2022-03-24T00:25:33.521452,2000,100,"(500,)",7,relu,adam,99,1.0,0.596
2022-03-24T00:25:43.234684,5000,100,"(100,)",7,relu,adam,172,1.0,0.6976
2022-03-24T00:25:54.345332,5000,100,"(200,)",7,relu,adam,119,1.0,0.732
2022-03-24T00:26:06.953087,5000,100,"(500,)",7,relu,adam,85,1.0,0.7752
2022-03-24T00:26:14.271349,1000,20,"(100, 100)",2,relu,adam,137,1.0,0.908
2022-03-24T00:26:21.858581,1000,20,"(200, 200)",2,relu,adam,92,1.0,0.904
2022-03-24T00:26:32.761613,1000,20,"(500, 500)",2,relu,adam,67,1.0,0.92
2022-03-24T00:26:39.698715,2000,20,"(100, 100)",2,relu,adam,107,1.0,0.95
2022-03-24T00:26:47.795261,2000,20,"(200, 200)",2,relu,adam,80,1.0,0.956
2022-03-24T00:27:00.918672,2000,20,"(500, 500)",2,relu,adam,57,1.0,0.964
2022-03-24T00:27:11.184113,5000,20,"(100, 100)",2,relu,adam,106,1.0,0.9624
2022-03-24T00:27:22.259152,5000,20,"(200, 200)",2,relu,adam,69,1.0,0.9648
2022-03-24T00:27:43.676670,5000,20,"(500, 500)",2,relu,adam,48,1.0,0.9696
2022-03-24T00:27:50.568542,1000,20,"(100, 100)",3,relu,adam,156,1.0,0.884
2022-03-24T00:27:57.964249,1000,20,"(200, 200)",3,relu,adam,113,1.0,0.884
2022-03-24T00:28:09.358613,1000,20,"(500, 500)",3,relu,adam,77,1.0,0.908
2022-03-24T00:28:17.410033,2000,20,"(100, 100)",3,relu,adam,141,1.0,0.918
2022-03-24T00:28:26.168227,2000,20,"(200, 200)",3,relu,adam,103,1.0,0.922
2022-03-24T00:28:41.473662,2000,20,"(500, 500)",3,relu,adam,67,1.0,0.93
2022-03-24T00:28:51.809576,5000,20,"(100, 100)",3,relu,adam,120,1.0,0.9264
2022-03-24T00:29:03.021606,5000,20,"(200, 200)",3,relu,adam,84,1.0,0.9368
2022-03-24T00:29:27.316954,5000,20,"(500, 500)",3,relu,adam,56,1.0,0.9416
2022-03-24T00:29:34.922851,1000,20,"(100, 100)",7,relu,adam,200,1.0,0.66
2022-03-24T00:29:43.798955,1000,20,"(200, 200)",7,relu,adam,153,1.0,0.656
2022-03-24T00:29:56.085799,1000,20,"(500, 500)",7,relu,adam,101,1.0,0.672
2022-03-24T00:30:05.427659,2000,20,"(100, 100)",7,relu,adam,200,1.0,0.762
2022-03-24T00:30:15.508259,2000,20,"(200, 200)",7,relu,adam,133,1.0,0.774
2022-03-24T00:30:33.340379,2000,20,"(500, 500)",7,relu,adam,90,1.0,0.788
2022-03-24T00:30:46.284007,5000,20,"(100, 100)",7,relu,adam,184,1.0,0.8496
