timestamp,n_samples,n_features,hidden_layer_sizes,classes,activation,solver,iterations,train_score,test_score
2022-03-23T14:52:33.514487,2000,100,"(500,)",3,relu,adam,67,1.0,0.884
2022-03-23T14:52:41.983211,5000,100,"(100,)",3,relu,adam,103,1.0,0.9008
2022-03-23T14:52:51.306152,5000,100,"(200,)",3,relu,adam,74,1.0,0.9192
2022-03-23T14:53:02.245834,5000,100,"(500,)",3,relu,adam,59,1.0,0.9336
2022-03-23T14:53:09.125871,1000,100,"(100,)",7,relu,adam,192,1.0,0.408
2022-03-23T14:53:16.723602,1000,100,"(200,)",7,relu,adam,141,1.0,0.42
2022-03-23T14:53:23.967678,1000,100,"(500,)",7,relu,adam,98,1.0,0.496
2022-03-23T14:53:32.358301,2000,100,"(100,)",7,relu,adam,193,1.0,0.524
2022-03-23T14:53:41.438173,2000,100,"(200,)",7,relu,adam,140,1.0,0.562
2022-03-23T14:53:50.850893,2000,100,"(500,)",7,relu,adam,99,1.0,0.596
2022-03-23T14:54:00.960327,5000,100,"(100,)",7,relu,adam,172,1.0,0.6976
2022-03-23T14:54:14.509371,5000,100,"(200,)",7,relu,adam,119,1.0,0.732
2022-03-23T14:54:28.149641,5000,100,"(500,)",7,relu,adam,85,1.0,0.7752
2022-03-23T14:54:35.993353,1000,20,"(100, 100)",2,relu,adam,137,1.0,0.908
2022-03-23T14:54:43.837141,1000,20,"(200, 200)",2,relu,adam,92,1.0,0.904
2022-03-23T14:54:53.073220,1000,20,"(500, 500)",2,relu,adam,67,1.0,0.92
2022-03-23T14:55:01.966423,2000,20,"(100, 100)",2,relu,adam,107,1.0,0.95
2022-03-23T14:55:11.159326,2000,20,"(200, 200)",2,relu,adam,80,1.0,0.956
2022-03-23T14:55:24.102054,2000,20,"(500, 500)",2,relu,adam,57,1.0,0.964
2022-03-23T14:55:37.383350,5000,20,"(100, 100)",2,relu,adam,106,1.0,0.9624
2022-03-23T14:55:49.794682,5000,20,"(200, 200)",2,relu,adam,69,1.0,0.9648
2022-03-23T14:56:09.396863,5000,20,"(500, 500)",2,relu,adam,48,1.0,0.9696
2022-03-23T14:56:16.870704,1000,20,"(100, 100)",3,relu,adam,156,1.0,0.884
2022-03-23T14:56:23.933200,1000,20,"(200, 200)",3,relu,adam,113,1.0,0.884
2022-03-23T14:56:34.767900,1000,20,"(500, 500)",3,relu,adam,77,1.0,0.908
2022-03-23T14:56:43.174183,2000,20,"(100, 100)",3,relu,adam,141,1.0,0.918
2022-03-23T14:56:52.580433,2000,20,"(200, 200)",3,relu,adam,103,1.0,0.922
2022-03-23T14:57:06.267960,2000,20,"(500, 500)",3,relu,adam,67,1.0,0.93
2022-03-23T14:57:18.767907,5000,20,"(100, 100)",3,relu,adam,120,1.0,0.9264
2022-03-23T14:57:31.049156,5000,20,"(200, 200)",3,relu,adam,84,1.0,0.9368
2022-03-23T14:57:54.287819,5000,20,"(500, 500)",3,relu,adam,56,1.0,0.9416
2022-03-23T14:58:02.402297,1000,20,"(100, 100)",7,relu,adam,200,1.0,0.66
2022-03-23T14:58:11.174496,1000,20,"(200, 200)",7,relu,adam,153,1.0,0.656
2022-03-23T14:58:23.473812,1000,20,"(500, 500)",7,relu,adam,101,1.0,0.672
2022-03-23T14:58:33.661347,2000,20,"(100, 100)",7,relu,adam,200,1.0,0.762
2022-03-23T14:58:44.817597,2000,20,"(200, 200)",7,relu,adam,133,1.0,0.774
2022-03-23T14:59:01.458196,2000,20,"(500, 500)",7,relu,adam,90,1.0,0.788
2022-03-23T14:59:17.489437,5000,20,"(100, 100)",7,relu,adam,184,1.0,0.8496
2022-03-23T14:59:36.161661,5000,20,"(200, 200)",7,relu,adam,124,1.0,0.8544
2022-03-23T15:00:04.552250,5000,20,"(500, 500)",7,relu,adam,75,1.0,0.868
2022-03-23T15:00:11.395997,1000,50,"(100, 100)",2,relu,adam,97,1.0,0.9
2022-03-23T15:00:18.583539,1000,50,"(200, 200)",2,relu,adam,75,1.0,0.908
2022-03-23T15:00:28.005919,1000,50,"(500, 500)",2,relu,adam,62,1.0,0.908
2022-03-23T15:00:36.318381,2000,50,"(100, 100)",2,relu,adam,80,1.0,0.942
2022-03-23T15:00:44.505977,2000,50,"(200, 200)",2,relu,adam,61,1.0,0.944
2022-03-23T15:00:56.328645,2000,50,"(500, 500)",2,relu,adam,50,1.0,0.954
2022-03-23T15:01:06.052453,5000,50,"(100, 100)",2,relu,adam,57,1.0,0.9648
2022-03-23T15:01:16.568059,5000,50,"(200, 200)",2,relu,adam,45,1.0,0.9704
2022-03-23T15:01:33.924380,5000,50,"(500, 500)",2,relu,adam,38,1.0,0.9768
2022-03-23T15:01:41.507593,1000,50,"(100, 100)",3,relu,adam,128,1.0,0.852
2022-03-23T15:01:48.533152,1000,50,"(200, 200)",3,relu,adam,90,1.0,0.852
2022-03-23T15:01:58.153195,1000,50,"(500, 500)",3,relu,adam,66,1.0,0.868
2022-03-23T15:02:06.408251,2000,50,"(100, 100)",3,relu,adam,101,1.0,0.872
2022-03-23T15:02:14.330127,2000,50,"(200, 200)",3,relu,adam,68,1.0,0.874
2022-03-23T15:02:26.726805,2000,50,"(500, 500)",3,relu,adam,52,1.0,0.912
2022-03-23T15:02:36.492369,5000,50,"(100, 100)",3,relu,adam,78,1.0,0.9296
2022-03-23T15:02:46.867405,5000,50,"(200, 200)",3,relu,adam,56,1.0,0.9376
2022-03-23T15:03:05.478163,5000,50,"(500, 500)",3,relu,adam,43,1.0,0.9528
2022-03-23T15:03:12.915601,1000,50,"(100, 100)",7,relu,adam,160,1.0,0.536
2022-03-23T15:03:21.431537,1000,50,"(200, 200)",7,relu,adam,114,1.0,0.62
2022-03-23T15:03:32.230473,1000,50,"(500, 500)",7,relu,adam,78,1.0,0.62
