timestamp,n_samples,n_features,classes,activation,solver,iterations,train_score,test_score,system,layers,layer_size,energy,avg_iteration_energy,cost
2022-03-23T14:48:11.808711,1000,50,3,relu,adam,110,1.0,0.892,Dyon,1,500,78.448242,0.7131658363636363,1.1547835112178948
2022-03-23T14:48:18.933709,2000,50,3,relu,adam,171,1.0,0.882,Dyon,1,100,84.045044,0.491491485380117,1.237170248006099
2022-03-23T14:48:26.782512,2000,50,3,relu,adam,126,1.0,0.874,Dyon,1,200,77.557007,0.6155318015873016,1.141664243578726
2022-03-23T14:48:35.199690,2000,50,3,relu,adam,94,1.0,0.896,Dyon,1,500,118.234924,1.257818340425532,1.7404563468140046
2022-03-23T14:48:45.090347,5000,50,3,relu,adam,151,1.0,0.9496,Dyon,1,100,154.096619,1.0205074105960266,2.2683521034878793
2022-03-23T14:48:54.637222,5000,50,3,relu,adam,107,1.0,0.9472,Dyon,1,200,135.139038,1.262981663551402,1.9892903757390576
2022-03-23T14:49:06.401740,5000,50,3,relu,adam,79,1.0,0.9584,Dyon,1,500,223.863525,2.833715506329114,3.2953435391594246
2022-03-23T14:49:13.182989,1000,50,7,relu,adam,200,1.0,0.544,Dyon,1,100,59.107544,0.29553772,0.8700821772371421
2022-03-23T14:49:21.280771,1000,50,7,relu,adam,200,1.0,0.548,Dyon,1,200,93.602295,0.468011475,1.3778560758334548
2022-03-23T14:49:29.802241,1000,50,7,relu,adam,152,1.0,0.6,Dyon,1,500,109.451843,0.7200779144736842,1.6111665519389176
2022-03-23T14:49:37.302943,2000,50,7,relu,adam,200,1.0,0.674,Dyon,1,100,96.516907,0.48258453500000004,1.4207601077580683
2022-03-23T14:49:47.622330,2000,50,7,relu,adam,198,1.0,0.728,Dyon,1,200,171.179932,0.8645451111111111,2.5198239996888714
2022-03-23T14:49:58.179480,2000,50,7,relu,adam,139,1.0,0.786,Dyon,1,500,181.74823,1.3075412230215828,2.6753927665713344
2022-03-23T14:50:09.554482,5000,50,7,relu,adam,200,1.0,0.8104,Dyon,1,100,201.024658,1.00512329,2.9591480253517535
2022-03-23T14:50:25.167370,5000,50,7,relu,adam,171,1.0,0.8424,Dyon,1,200,346.573181,2.0267437485380118,5.101669389215057
2022-03-23T14:50:41.247961,5000,50,7,relu,adam,113,1.0,0.8664,Dyon,1,500,339.501953,3.0044420619469028,4.9975786245238325
2022-03-23T14:50:47.896003,1000,100,2,relu,adam,106,1.0,0.82,Dyon,1,100,48.240173,0.4550959716981132,0.7101109590027357
2022-03-23T14:50:53.911629,1000,100,2,relu,adam,83,1.0,0.864,Dyon,1,200,49.587891,0.597444469879518,0.7299498041379977
2022-03-23T14:51:01.049016,1000,100,2,relu,adam,62,1.0,0.856,Dyon,1,500,58.224304,0.9391016774193548,0.857080598585474
2022-03-23T14:51:08.580265,2000,100,2,relu,adam,92,1.0,0.92,Dyon,1,100,67.120361,0.7295691413043478,0.9880334367440976
2022-03-23T14:51:15.752177,2000,100,2,relu,adam,77,1.0,0.926,Dyon,1,200,73.033813,0.9484910779220779,1.0750813640128625
2022-03-23T14:51:23.033393,2000,100,2,relu,adam,57,1.0,0.932,Dyon,1,500,81.739868,1.4340327719298245,1.2032373112392658
2022-03-23T14:51:32.502140,5000,100,2,relu,adam,85,1.0,0.94,Dyon,1,100,122.559265,1.441873705882353,1.8041120458631112
2022-03-23T14:51:41.955325,5000,100,2,relu,adam,70,1.0,0.9624,Dyon,1,200,132.889648,1.8984235428571428,1.9561786269467976
2022-03-23T14:51:52.550725,5000,100,2,relu,adam,52,1.0,0.9664,Dyon,1,500,153.970276,2.9609668461538465,2.266492293638249
2022-03-23T14:51:58.738254,1000,100,3,relu,adam,137,1.0,0.668,Dyon,1,100,48.285339,0.3524477299270073,0.7107758171402536
2022-03-23T14:52:04.831975,1000,100,3,relu,adam,98,1.0,0.704,Dyon,1,200,48.639282,0.49631920408163266,0.7159859726503158
2022-03-23T14:52:11.238261,1000,100,3,relu,adam,69,1.0,0.78,Dyon,1,500,59.390381,0.8607301594202899,0.8742456294144686
2022-03-23T14:52:18.379160,2000,100,3,relu,adam,121,1.0,0.854,Dyon,1,100,67.758545,0.5599879752066116,0.9974277117658766
2022-03-23T14:52:25.691661,2000,100,3,relu,adam,91,1.0,0.872,Dyon,1,200,72.019043,0.7914180549450549,1.0601436211928439
2022-03-23T14:52:33.514487,2000,100,3,relu,adam,67,1.0,0.884,Dyon,1,500,98.030396,1.46314023880597,1.4430391556634332
2022-03-23T14:52:41.983211,5000,100,3,relu,adam,103,1.0,0.9008,Dyon,1,100,116.15509,1.1277193203883495,1.7098405172168243
2022-03-23T14:52:51.306152,5000,100,3,relu,adam,74,1.0,0.9192,Dyon,1,200,121.239136,1.6383667027027027,1.7846793197367494
2022-03-23T14:53:02.245834,5000,100,3,relu,adam,59,1.0,0.9336,Dyon,1,500,185.367249,3.1418177796610167,2.7286658975101292
2022-03-23T14:53:09.125871,1000,100,7,relu,adam,192,1.0,0.408,Dyon,1,100,58.670288,0.3055744166666667,0.8636456274036725
2022-03-23T14:53:16.723602,1000,100,7,relu,adam,141,1.0,0.42,Dyon,1,200,74.978943,0.5317655531914893,1.1037143071344595
2022-03-23T14:53:23.967678,1000,100,7,relu,adam,98,1.0,0.496,Dyon,1,500,82.885681,0.8457722551020409,1.2201040494300224
2022-03-23T14:53:32.358301,2000,100,7,relu,adam,193,1.0,0.524,Dyon,1,100,95.769348,0.49621423834196887,1.4097557973381796
2022-03-23T14:53:41.438173,2000,100,7,relu,adam,140,1.0,0.562,Dyon,1,200,127.617981,0.9115570071428571,1.878577982585239
2022-03-23T14:53:50.850893,2000,100,7,relu,adam,99,1.0,0.596,Dyon,1,500,142.217346,1.4365388484848485,2.093485360321653
2022-03-23T14:54:00.960327,5000,100,7,relu,adam,172,1.0,0.6976,Dyon,1,100,180.701233,1.0505885639534884,2.659980631881374
2022-03-23T14:54:14.509371,5000,100,7,relu,adam,119,1.0,0.732,Dyon,1,200,249.609131,2.0975557226890755,3.674327191783692
2022-03-23T14:54:28.149641,5000,100,7,relu,adam,85,1.0,0.7752,Dyon,1,500,274.577454,3.230322988235294,4.0418689870882005
2022-03-23T14:54:35.993353,1000,20,2,relu,adam,137,1.0,0.908,Dyon,2,100,84.088135,0.61378200729927,1.237804561472064
2022-03-23T14:54:43.837141,1000,20,2,relu,adam,92,1.0,0.904,Dyon,2,200,80.853271,0.8788399021739132,1.1901863164611388
2022-03-23T14:54:53.073220,1000,20,2,relu,adam,67,1.0,0.92,Dyon,2,500,152.06897,2.2696861194029854,2.238504453979845
2022-03-23T14:55:01.966423,2000,20,2,relu,adam,107,1.0,0.95,Dyon,2,100,115.952698,1.083670074766355,1.7068612414747062
2022-03-23T14:55:11.159326,2000,20,2,relu,adam,80,1.0,0.956,Dyon,2,200,122.272888,1.5284111,1.7998964837400997
2022-03-23T14:55:24.102054,2000,20,2,relu,adam,57,1.0,0.964,Dyon,2,500,244.470154,4.288950070175439,3.5986797871659064
2022-03-23T14:55:37.383350,5000,20,2,relu,adam,106,1.0,0.9624,Dyon,2,100,252.295837,2.3801494056603776,3.7138763736288403
2022-03-23T14:55:49.794682,5000,20,2,relu,adam,69,1.0,0.9648,Dyon,2,200,231.650513,3.3572538115942026,3.409970522699114
2022-03-23T14:56:09.396863,5000,20,2,relu,adam,48,1.0,0.9696,Dyon,2,500,479.179565,9.982907604166668,7.053678278406335
2022-03-23T14:56:16.870704,1000,20,3,relu,adam,156,1.0,0.884,Dyon,2,100,84.165161,0.5395202628205128,1.2389384091207478
2022-03-23T14:56:23.933200,1000,20,3,relu,adam,113,1.0,0.884,Dyon,2,200,86.745117,0.7676559026548672,1.276916196417341
2022-03-23T14:56:34.767900,1000,20,3,relu,adam,77,1.0,0.908,Dyon,2,500,173.98407,2.2595333766233767,2.561101818579695
2022-03-23T14:56:43.174183,2000,20,3,relu,adam,141,1.0,0.918,Dyon,2,100,131.337219,0.9314696382978723,1.9333263696388967
2022-03-23T14:56:52.580433,2000,20,3,relu,adam,103,1.0,0.922,Dyon,2,200,138.549316,1.3451389902912623,2.039490771600945
2022-03-23T14:57:06.267960,2000,20,3,relu,adam,67,1.0,0.93,Dyon,2,500,286.462097,4.275553686567164,4.216814778392373
2022-03-23T14:57:18.767907,5000,20,3,relu,adam,120,1.0,0.9264,Dyon,2,100,251.479553,2.095662941666667,3.7018604089668026
2022-03-23T14:57:31.049156,5000,20,3,relu,adam,84,1.0,0.9368,Dyon,2,200,255.0755,3.036613095238095,3.7547939125985788
2022-03-23T14:57:54.287819,5000,20,3,relu,adam,56,1.0,0.9416,Dyon,2,500,623.567993,11.135142732142857,9.179122668416658
2022-03-23T14:58:02.402297,1000,20,7,relu,adam,200,1.0,0.66,Dyon,2,100,102.288818,0.51144409,1.5057245056985245
2022-03-23T14:58:11.174496,1000,20,7,relu,adam,153,1.0,0.656,Dyon,2,200,130.387939,0.8522087516339869,1.9193526608140523
2022-03-23T14:58:23.473812,1000,20,7,relu,adam,101,1.0,0.672,Dyon,2,500,227.057495,2.24809400990099,3.342359811255421
2022-03-23T14:58:33.661347,2000,20,7,relu,adam,200,1.0,0.762,Dyon,2,100,177.125183,0.885625915,2.60734001852906
2022-03-23T14:58:44.817597,2000,20,7,relu,adam,133,1.0,0.774,Dyon,2,200,215.25708,1.6184742857142858,3.1686538833707876
2022-03-23T14:59:01.458196,2000,20,7,relu,adam,90,1.0,0.788,Dyon,2,500,391.285767,4.347619633333333,5.7598531259100385
2022-03-23T14:59:17.489437,5000,20,7,relu,adam,184,1.0,0.8496,Dyon,2,100,377.836914,2.053461489130435,5.561881657165164
2022-03-23T14:59:36.161661,5000,20,7,relu,adam,124,1.0,0.8544,Dyon,2,200,459.07251,3.702197661290323,6.757695921361911
2022-03-23T15:00:04.552250,5000,20,7,relu,adam,75,1.0,0.868,Dyon,2,500,752.339233,10.031189773333335,11.074676996722475
2022-03-23T15:00:11.395997,1000,50,2,relu,adam,97,1.0,0.9,Dyon,2,100,65.799561,0.6783459896907216,0.9685908332805732
2022-03-23T15:00:18.583539,1000,50,2,relu,adam,75,1.0,0.908,Dyon,2,200,71.229797,0.9497306266666667,1.0485256646413808
2022-03-23T15:00:28.005919,1000,50,2,relu,adam,62,1.0,0.908,Dyon,2,500,148.708435,2.3985231451612905,2.189036291176775
2022-03-23T15:00:36.318381,2000,50,2,relu,adam,80,1.0,0.942,Dyon,2,100,94.516968,1.1814621,1.3913203584180946
2022-03-23T15:00:44.505977,2000,50,2,relu,adam,61,1.0,0.944,Dyon,2,200,101.620789,1.665914573770492,1.4958909026177136
2022-03-23T15:00:56.328645,2000,50,2,relu,adam,50,1.0,0.954,Dyon,2,500,223.081848,4.46163696,3.2838370007375914
2022-03-23T15:01:06.052453,5000,50,2,relu,adam,57,1.0,0.9648,Dyon,2,100,149.116577,2.616080298245614,2.195044273507794
2022-03-23T15:01:16.568059,5000,50,2,relu,adam,45,1.0,0.9704,Dyon,2,200,164.655334,3.6590074222222224,2.4237798055089015
2022-03-23T15:01:33.924380,5000,50,2,relu,adam,38,1.0,0.9768,Dyon,2,500,395.197205,10.39992644736842,5.8174307591672765
2022-03-23T15:01:41.507593,1000,50,3,relu,adam,128,1.0,0.852,Dyon,2,100,73.34436,0.5730028125,1.0796527163582494
2022-03-23T15:01:48.533152,1000,50,3,relu,adam,90,1.0,0.852,Dyon,2,200,74.670044,0.8296671555555556,1.099167213882431
2022-03-23T15:01:58.153195,1000,50,3,relu,adam,66,1.0,0.868,Dyon,2,500,155.355042,2.3538642727272725,2.28687649732372
2022-03-23T15:02:06.408251,2000,50,3,relu,adam,101,1.0,0.872,Dyon,2,100,104.396179,1.0336255346534653,1.536745541644539
2022-03-23T15:02:14.330127,2000,50,3,relu,adam,68,1.0,0.874,Dyon,2,200,101.121643,1.4870829852941176,1.488543311954173
2022-03-23T15:02:26.726805,2000,50,3,relu,adam,52,1.0,0.912,Dyon,2,500,236.100281,4.540390019230769,3.4754725477813975
2022-03-23T15:02:36.492369,5000,50,3,relu,adam,78,1.0,0.9296,Dyon,2,100,174.494263,2.2371059358974357,2.568612024658485
2022-03-23T15:02:46.867405,5000,50,3,relu,adam,56,1.0,0.9376,Dyon,2,200,180.506775,3.2233352678571427,2.6571181471870147
2022-03-23T15:03:05.478163,5000,50,3,relu,adam,43,1.0,0.9528,Dyon,2,500,450.979675,10.48789941860465,6.638566770997941
2022-03-23T15:03:12.915601,1000,50,7,relu,adam,160,1.0,0.536,Dyon,2,100,87.0979,0.544361875,1.282109276351981
2022-03-23T15:03:21.431537,1000,50,7,relu,adam,114,1.0,0.62,Dyon,2,200,103.580139,0.9085977105263158,1.5247331687414694
2022-03-23T15:03:32.230473,1000,50,7,relu,adam,78,1.0,0.62,Dyon,2,500,188.764038,2.4200517692307693,2.7786677309264385
2022-03-23T15:03:41.386756,2000,50,7,relu,adam,143,1.0,0.666,Dyon,2,100,138.455322,0.9682190349650349,2.0381071495007403
2022-03-23T15:03:51.558632,2000,50,7,relu,adam,102,1.0,0.71,Dyon,2,200,171.784058,1.684157431372549,2.5287169299281236
2022-03-23T15:04:05.817042,2000,50,7,relu,adam,66,1.0,0.756,Dyon,2,500,304.289917,4.610453287878788,4.479246058585504
2022-03-23T15:04:18.072082,5000,50,7,relu,adam,122,1.0,0.7696,Dyon,2,100,263.065063,2.1562710081967214,3.872402865699613
2022-03-23T15:04:32.775271,5000,50,7,relu,adam,80,1.0,0.8168,Dyon,2,200,316.567627,3.9570953375,4.659977923341825
2022-03-23T15:04:55.608323,5000,50,7,relu,adam,55,1.0,0.8632,Dyon,2,500,585.981934,10.654216981818182,8.625843715589864
2022-03-23T15:05:02.295817,1000,100,2,relu,adam,85,1.0,0.856,Dyon,2,100,62.491943,0.7351993294117647,0.9199016258435536
2022-03-23T15:05:09.592693,1000,100,2,relu,adam,70,1.0,0.816,Dyon,2,200,70.485596,1.0069370857142856,1.037570785068275
2022-03-23T15:05:18.561483,1000,100,2,relu,adam,54,1.0,0.852,Dyon,2,500,137.381836,2.544108074074074,2.0223050881578835
2022-03-23T15:05:26.311444,2000,100,2,relu,adam,78,1.0,0.916,Dyon,2,100,96.131165,1.2324508333333333,1.4150818606765823
2022-03-23T15:05:34.530229,2000,100,2,relu,adam,57,1.0,0.932,Dyon,2,200,102.296692,1.7946788070175437,1.5058404135268644
2022-03-23T15:05:46.592762,2000,100,2,relu,adam,50,1.0,0.934,Dyon,2,500,229.211609,4.58423218,3.3740690664925705
2022-03-23T15:05:56.623944,5000,100,2,relu,adam,63,1.0,0.9416,Dyon,2,100,166.895447,2.649134079365079,2.4567549938587545
2022-03-23T15:06:06.941625,5000,100,2,relu,adam,46,1.0,0.9392,Dyon,2,200,178.269409,3.8754219347826084,2.6241833955662
2022-03-23T15:06:26.293706,5000,100,2,relu,adam,42,1.0,0.9592,Dyon,2,500,450.035461,10.715130023809524,6.624667635332656
2022-03-23T15:06:33.220592,1000,100,3,relu,adam,108,1.0,0.684,Dyon,2,100,66.32489,0.6141193518518518,0.9763238461779761
2022-03-23T15:06:40.595592,1000,100,3,relu,adam,82,1.0,0.712,Dyon,2,200,74.985962,0.9144629512195122,1.1038176290860877
2022-03-23T15:06:49.695758,1000,100,3,relu,adam,56,1.0,0.728,Dyon,2,500,140.345276,2.5061656428571433,2.0659278840451845
2022-03-23T15:06:57.295513,2000,100,3,relu,adam,95,1.0,0.83,Dyon,2,100,101.186401,1.0651200105263159,1.489496570672443
2022-03-23T15:07:05.998704,2000,100,3,relu,adam,72,1.0,0.826,Dyon,2,200,115.971008,1.6107084444444444,1.7071307706005519
2022-03-23T15:07:19.316556,2000,100,3,relu,adam,55,1.0,0.856,Dyon,2,500,254.02301,4.618600181818182,3.739300919170865
2022-03-23T15:07:29.254058,5000,100,3,relu,adam,74,1.0,0.8752,Dyon,2,100,170.045532,2.2979125945945946,2.5031252645518163
2022-03-23T15:07:40.254371,5000,100,3,relu,adam,54,1.0,0.8896,Dyon,2,200,189.397278,3.507357,2.7879892286681422
2022-03-23T15:08:00.395449,5000,100,3,relu,adam,45,1.0,0.92,Dyon,2,500,479.743774,10.660972755555555,7.061983617486855
2022-03-23T15:08:07.822352,1000,100,7,relu,adam,146,1.0,0.376,Dyon,2,100,83.256836,0.570252301369863,1.225567571150574
2022-03-23T15:08:15.280613,1000,100,7,relu,adam,96,1.0,0.424,Dyon,2,200,95.076233,0.9903774270833333,1.3995529202185397
2022-03-23T15:08:25.280578,1000,100,7,relu,adam,62,1.0,0.46,Dyon,2,500,157.460144,2.539679741935484,2.3178642800586324
2022-03-23T15:08:34.358702,2000,100,7,relu,adam,136,1.0,0.48,Dyon,2,100,135.349731,0.9952186102941176,1.9923918448877103
2022-03-23T15:08:44.456988,2000,100,7,relu,adam,90,1.0,0.542,Dyon,2,200,165.13269,1.8348076666666666,2.4308066403203292
2022-03-23T15:08:58.708871,2000,100,7,relu,adam,64,1.0,0.604,Dyon,2,500,301.763489,4.715054515625,4.442056220772705
2022-03-23T15:09:10.380723,5000,100,7,relu,adam,106,1.0,0.6528,Dyon,2,100,238.208862,2.2472534150943395,3.506511542522253
2022-03-23T15:09:24.648288,5000,100,7,relu,adam,74,1.0,0.6672,Dyon,2,200,304.030151,4.108515554054054,4.475422218994873
2022-03-23T15:09:46.824427,5000,100,7,relu,adam,52,1.0,0.7248,Dyon,2,500,571.384277,10.988159173076923,8.410961480166225
2022-03-23T15:09:53.652586,1000,20,2,relu,adam,78,1.0,0.912,Dyon,3,100,75.859863,0.9725623461538462,1.116681734635283
2022-03-23T15:10:00.527548,1000,20,2,relu,adam,51,1.0,0.92,Dyon,3,200,73.801086,1.4470801176470587,1.0863758708929874
2022-03-23T15:10:09.767005,1000,20,2,relu,adam,35,1.0,0.924,Dyon,3,500,147.125977,4.203599342857143,2.1657419972702927
2022-03-23T15:10:17.615810,2000,20,2,relu,adam,64,1.0,0.958,Dyon,3,100,109.373657,1.708963390625,1.6100156287148115
2022-03-23T15:10:25.740847,2000,20,2,relu,adam,43,1.0,0.952,Dyon,3,200,108.922241,2.5330753720930232,1.6033706390986016
2022-03-23T15:10:38.365849,2000,20,2,relu,adam,34,1.0,0.96,Dyon,3,500,263.140625,7.739430147058823,3.873515162794488
2022-03-23T15:10:49.475184,5000,20,2,relu,adam,54,1.0,0.9584,Dyon,3,100,201.661255,3.7344676851851855,2.968518939219916
2022-03-23T15:11:00.678350,5000,20,2,relu,adam,38,1.0,0.9616,Dyon,3,200,206.788452,5.441801368421053,3.043992938425225
2022-03-23T15:11:23.366256,5000,20,2,relu,adam,33,1.0,0.9688,Dyon,3,500,590.538635,17.89511015151515,8.692919829039928
2022-03-23T15:11:30.507155,1000,20,3,relu,adam,87,1.0,0.88,Dyon,3,100,75.804443,0.8713154367816093,1.1158659342991624
2022-03-23T15:11:37.819693,1000,20,3,relu,adam,64,1.0,0.896,Dyon,3,200,82.220032,1.284688,1.2103054807194746
2022-03-23T15:11:47.975965,1000,20,3,relu,adam,45,1.0,0.896,Dyon,3,500,183.991821,4.088707133333333,2.7084191522068064
2022-03-23T15:11:56.975904,2000,20,3,relu,adam,87,1.0,0.928,Dyon,3,100,128.075378,1.4721307816091953,1.885311014457139
2022-03-23T15:12:06.210284,2000,20,3,relu,adam,58,1.0,0.916,Dyon,3,200,131.366638,2.2649420344827584,1.9337594268400575
2022-03-23T15:12:20.710603,2000,20,3,relu,adam,40,1.0,0.926,Dyon,3,500,305.414856,7.6353713999999995,4.495805524740602
2022-03-23T15:12:32.069925,5000,20,3,relu,adam,71,1.0,0.9216,Dyon,3,100,232.723389,3.2777942112676057,3.4257636046445503
2022-03-23T15:12:44.148103,5000,20,3,relu,adam,45,1.0,0.9288,Dyon,3,200,225.76593,5.017020666666666,3.323347556453508
2022-03-23T15:13:08.882441,5000,20,3,relu,adam,36,1.0,0.9408,Dyon,3,500,637.700439,17.713901083333333,9.387156847359472
2022-03-23T15:13:16.460580,1000,20,7,relu,adam,141,1.0,0.66,Dyon,3,100,110.126892,0.7810417872340425,1.62110349169168
2022-03-23T15:13:24.882455,1000,20,7,relu,adam,91,1.0,0.668,Dyon,3,200,119.267151,1.310628032967033,1.7556510623238042
2022-03-23T15:13:36.773086,1000,20,7,relu,adam,61,1.0,0.664,Dyon,3,500,241.888611,3.9653870655737706,3.5606786387156966
